month,lemonde,lefigaro,lesechos,libé,lacroix,lemonde_percentage,lefigaro_percentage,libé_percentage,lesechos_percentage,lacroix_percentage
2013-01,7,3,5,4,3,0.22435897435897434,0.05150214592274679,0.17452006980802792,0.14273479874393377,0.1323918799646955
2013-02,10,3,5,3,3,0.3179650238473768,0.05377307761247536,0.13736263736263737,0.1492982979994028,0.16474464579901155
2013-03,3,4,3,4,3,0.08542141230068337,0.06972285166463307,0.18509949097639983,0.08333333333333334,0.1632208922742111
2013-04,9,1,5,9,5,0.2816020025031289,0.018351991191044227,0.40522287257991896,0.1440922190201729,0.2587991718426501
2013-05,17,3,4,3,5,0.49261083743842365,0.06038647342995169,0.13979496738117428,0.1278363694471077,0.2942907592701589
2013-06,13,10,5,3,2,0.39501671224551804,0.19204916458613405,0.13327410039982232,0.14017381553125877,0.102880658436214
2013-07,8,2,3,1,5,0.26693360026693363,0.05104645227156713,0.043706293706293704,0.08955223880597014,0.25614754098360654
2013-08,15,2,2,2,6,0.6206040546131568,0.06798096532970768,0.10095911155981827,0.08,0.3395585738539898
2013-09,18,5,10,11,9,0.5847953216374269,0.11042402826855124,0.5147402901263454,0.29188558085230587,0.48439181916038754
2013-10,11,3,2,3,3,0.3442879499217527,0.06185567010309278,0.12345679012345678,0.0515729757607014,0.1492537313432836
2013-11,15,6,8,5,3,0.4749841671944269,0.13111888111888112,0.2179598953792502,0.25228634500157676,0.16008537886872998
2013-12,5,5,0,5,2,0.17470300489168414,0.11289230074508919,0.2295684113865932,0.0,0.11198208286674133
2014-01,9,4,5,6,6,0.3144654088050315,0.08722197993894462,0.27210884353741494,0.14330753797649756,0.2818224518553311
2014-02,13,1,5,4,0,0.46001415428167025,0.023121387283236993,0.19455252918287938,0.149655791679138,0.0
2014-03,7,3,5,2,4,0.21505376344086022,0.061025223759153785,0.08768084173608066,0.13954786491766677,0.20020020020020018
2014-04,10,3,6,5,6,0.27862914460852606,0.06568863586599519,0.2360717658168083,0.182648401826484,0.32858707557502737
2014-05,15,4,4,3,1,0.2950432730133753,0.08674907829104316,0.12875536480686695,0.1287415513356936,0.05405405405405406
