,date,publication,words,author,title,intro
0,2015-03-07,La Croix,1112mots,BILLET Catherine,"Une aumône juste pour un climat apaisé. Catherine Billet, déléguée générale Pax Christi France","    ...  des hommes en souffrance mais il les voit dans une création en souffrance... Le réchauffement  climatique, amorcé depuis le milieu du XXe siècle, n'est plus à démontrer. Beaucoup de mouvements et ...  "
1,2015-02-21,La Croix,1009mots,KOPP Martin,"Martin Kopp. Chargé de plaidoyer de la Fédération luthérienne mondiale. Du jeûne, ou la faim au commencement pour la « [...]","    ...  donc, mais plus précisément, du Carême 2015. Or cette année, la France accueille la conférence  climat de l'ONU où doit être signé le premier accord universel sur le  climat, et le ...  "
2,2015-02-02,La Croix,669mots,DARDARD Marianne,Les Philippins vivent le dérèglement climatique au présent,    ...  Philippines pour l'année de la présidence française du sommet des Nations unies sur le  climat: un symbole.  « Il nous reste dix mois avant le début de la conférence de Paris. »  Une ...  
3,2015-03-03,La Croix,540mots,LANG Dominique,Bidouille climatique.,"    ...  Conseil national de la recherche américain, est consacré aux moyens de lutte contre le réchauffement  climatique. Que des scientifiques posent la question des « moyens techniques » au moment même où le champ politique ...  "
4,2015-04-29,La Croix,516mots,LESEGRETAIN Claire,Le pape François et Ban Ki-moon font cause commune pour le climat,"    À sept mois de la conférence  climat Paris 2015 des Nations unies (COP21), qui doit aboutir à l'adoption d'un accord universel sur le  climat, le secrétaire général de l'ONU ...  "
5,2015-02-02,La Croix,509mots,BESMOND DE SENNEVILLE Loup,Les protestants préparent leur mobilisation sur le climat,    ...  chargé par la Fédération luthérienne mondiale de faire entendre la voix protestante sur la  « justice  climatique »  (Lire  La Croix  du 1er juillet 2014). Il est devenu familier des arènes internationales de négociations ...  
6,2015-02-20,La Croix,704mots,REJU Emmanuelle,L'agriculture s'engage prudemment pour le climat,"    ...  du réchauffement. Et ils ont aussi la faculté d'agir sur l'origine du dérèglement  climatique. Après le transport et le chauffage, l'agriculture est en effet la troisième source d'émissions ...  "
7,2015-01-23,La Croix,505mots,LAURENT Corinne,"A Davos, François Hollande veut mobiliser sur le climat","    ...  grandes entreprises et investisseurs internationaux, que François Hollande a saisie pour évoquer trois thèmes: le  climat, l'économie et la sécurité. Après les attentats de Paris, le dernier sujet est venu s ...  "
8,2015-03-27,La Croix,656mots,REJU Emmanuelle,"A Paris, trente maires européens s'engagent pour le climat","    ...  venir dans les filières de la « croissance verte », en vertu de la déclaration pour le  climat adoptée hier à Paris par trente maires de grandes villes européennes. Réunies à l'initiative de ...  "
9,2015-02-21,La Croix,488mots,BESMOND DE SENNEVILLE Loup,"PORTRAIT. Martin Kopp, chargé de plaidoyer de la Fédération luthérienne mondiale pour la « justice climatique ». Théologien de l'urgence [...]","    ...  Martin Kopp n'aurait jamais imaginé devenir un militant de la lutte contre le changement  climatique. Et pourtant. Dès la sortie du lycée, celui qui était assez brillant pour espérer intégrer une ...  "
10,2015-04-29,La Croix,256mots,GREINER Dominique,Morale climatique,    ...  de l'Académie pontificale des sciences. Une vingtaine de scientifiques et d'experts sur le  climat ainsi qu'une vingtaine de responsables religieux y étaient conviés. À huit mois de la conférence ...  
11,2015-03-31,La Croix,753mots,D'ABBUNDO Antoine,Les banques françaises passées au crible de l'éthique,"    ...  Paribas, Crédit agricole, Crédit mutuel CIC et Société générale  à travers huit thématiques: le changement  climatique, la fiscalité et la corruption, les droits humains et le droit du travail, l'environnement, le ...  "
12,2015-03-02,La Croix,570mots,DARDARD Marianne,Les Philippines et la France veulent dépasser le clivage Nord-Sud sur le climat,"    ...  à l'instar de Yeb Saño, ici figure emblématique de la lutte contre le changement  climatique, mais aussi négociateur étonnamment absent de la délégation philippine lors du dernier sommet sur le climat ...  "
13,2015-02-02,La Croix,439mots,SERGENT Denis,"Le phénomène de La Niña, plus fréquent et plus fort","    Le changement  climatique aurait une influence sur la fréquence et l'intensité du phénomène de La Niña, avec des conséquences sur l'Asie du SudEst et l'Amérique latine, selon une ...  "
14,2015-04-29,La Croix,479mots,SERGENT Denis,La France s'engage à stocker davantage de carbone dans les sols,"    ...  la fertilité et à mieux retenir l'eau, ce qui favorise l'adaptation au changement  climatique. Que peuton attendre de ce programme? L'enjeu des recherches lancées par le ministre est ...  "
15,2015-03-17,La Croix,1019mots,REJU Emmanuelle,Comme une humeur de printemps,"    ...  rôle de tout premier ordre dans l'histoire et la survie des populations humaines.  « Le  climat, en particulier les variations saisonnières de la température externe, représente (...) la contrainte majeure à laquelle ont ...  "
16,2015-03-31,La Croix,365mots,SERGENT Denis,Les premiers ruminants européens ont disparu à la suite d'un changement climatique,"    ...  mammifères). La dégradation des conditions environnementales due à un changement du couvert végétal et du  climat, associée à la compétition avec des Pecora venus d'Asie, a sonné le glas des Tragulina ...  "
17,2015-02-25,La Croix,66mots,,Démission du président du Giec,"        Le Groupe d'experts intergouvernemental sur l'évolution du  climat a annoncé hier la démission de son président, l'économiste indien Rajendra Pachauri, objet d'une plainte pour harcèlement sexuel. Cette affaire ...  "
18,2015-01-16,La Croix,371mots,HOFFNER Anne-Bénédicte,"ENTRETIEN. Elena Lasida, économiste chargée de mission à Justice et Paix-France : « Nous devons trouver un nouvel imaginaire autour [...]",    Qu'estce que l'Église catholique a à dire de spécifique sur le  climat ? Elena Lasida: Plutôt que de redire comme tout le monde que nous devrions augmenter la part des ...  
19,2015-01-13,La Croix,750mots,CESAR Nicolas,Comment Bordeaux a engagé sa transition énergétique,"    ...  la mairie de Paris lui a permis de prendre pleinement conscience des effets du réchauffement  climatique. De retour sur son siège de maire, Alain Juppé a alors fait de la transition énergétique ...  "
20,2015-02-20,La Croix,797mots,D'ABBUNDO Antoine,"ENTRETIEN. Bertrand Badré, directeur général de la Banque mondiale : « Le partenariat public-privé est une des clés du développement [...]","    ...  la communauté internationale se réunisse pour agir. Un autre chantier est celui de l'action  climatique. Là encore, comment s'y prendre ? B. B.: Les pessimistes souligneront les maigres résultats enregistrés jusqu ...  "
21,2015-01-06,La Croix,500mots,D'ABBUNDO Antoine,Le projet de taxe sur les transactions financières en Europe relancé,    ...  plus large possible »  et que son produit soit  « mis au service de la lutte contre le réchauffement  climatique »  alors que Paris doit accueillir la conférence sur le  climat en décembre prochain.  ...  
22,2015-03-16,La Croix,716mots,VERDIER Marie,"Dévasté par le cyclone Pam, Vanuatu décrète l'état d'urgence","    ...  catastrophe nucléaire de Fukushima. Rachel Kyte, viceprésidente de la Banque mondiale, chargée du changement  climatique, a appelé les pays à faire preuve de  « responsabilité ». « Le sentiment d'urgence et les ambitions ...  "
23,2015-04-14,La Croix,717mots,CHAUSSADE Jean-Louis,"FORUM. La mise en oeuvre du droit à l'eau a besoin d'un nouvel élan. Jean-Louis Chaussade, président-directeur général de Suez [...]","    ...  Dans dix ans, la population mondiale sera urbaine pour plus des deux tiers. Le réchauffement  climatique, enfin, va accentuer la raréfaction de la ressource en eau pour certaines zones de la planète ...  "
24,2015-03-20,La Croix,436mots,REJU Emmanuelle,Vu du monde. Les pays les plus touchés sont également les plus pauvres,    ...  rapport de synthèse les scientifiques du Giec (Groupe d'experts intergouvernemental sur l'évolution du  climat). Les impacts négatifs seront d'autant plus importants que la population exposée ne cesse d'augmenter ...  
25,2015-01-13,La Croix,945mots,MAILLARD Sébastien,"Devant les diplomates du monde, le pape s'oppose au « fondamentalisme religieux »",    ...  que la géopolitique dans ce discours où l'évêque de Rome a aussi décrit le  «  climat social conflictuel »  qu'il observe en Italie. Lui qui a prévu cette année de se rendre ...  
26,2015-03-14,La Croix,990mots,LANOIR Corinne,Corinne Lanoir. Doyenne de l'Institut protestant de théologie (Paris). Après nous le déluge ?,"    Changement  climatique, limitation des ressources énergétiques qui s'épuisent, dégradation des conditions de vie, privation de plus en plus d'individus de biens environnementaux comme l'eau et la terre, urgences écologiques ...  "
27,2015-02-26,La Croix,110mots,,François Hollande aux Philippines pour plaider la cause du climat,"        ...  Hollande sera aujourd'hui et demain aux Philippines pour afficher sa détermination contre le réchauffement  climatique. Il est accompagné entre autres du patriarche orthodoxe de Constantinople Bartholomeos Ier, surnommé le « Patriarche vert ...  "
28,2015-03-20,La Croix,294mots,CARASCO Aude,« La Croix » et France Inter partenaires sur le climat,"    Pour sensibiliser aux enjeux de la conférence des Nations unies sur le changement  climatique, qui se tiendra à Paris en décembre 2015, France Inter et  La Croix  ont noué un partenariat sur ...  "
29,2015-01-02,La Croix,608mots,DARDOT Pierre|LAVAL Christian,"Donner un sens nouveau au concept de « commun ». Pierre Dardot, philosophe, et Christian Laval, sociologue (1)","    ...  leur inaction, comme l'a une nouvelle fois montré la conférence de Lima sur le  climat. Si le réchauffement  climatique interdit définitivement la poursuite sur le même modèle d'une croissance guidée ...  "
30,2015-02-14,La Croix,207mots,CARASCO Aude,RTL s'engage pour la planète,"    ...  l'environnement, en vue de sensibiliser les auditeurs aux enjeux de la conférence sur le  climat « Paris  Climat 2015 », qui se tiendra à la fin de l'année. Le ministre des affaires ...  "
31,2015-01-08,La Croix,731mots,REJU Emmanuelle,Une étude remet en cause l'utilisation des ressources fossiles,"    ...  qu'invite l'étude publiée hier dans la revue  Nature : dans un monde sous contrainte  climatique, les craintes d'épuisement concernant les ressources fossiles ne sont plus judicieuses, assurent en substance les ...  "
32,2015-02-03,La Croix,1086mots,SERGENT Denis,"Les sols, un trésor naturel malmené","    ...  montagne et dans les zones humides (marais). Dans l'optique de lutter contre le réchauffement  climatique, à l'échelle mondiale, une augmentation relative de seulement 4 pour mille par an de carbone ...  "
33,2015-02-03,La Croix,417mots,DANCER Marie,"Gaël Giraud, pressenti pour le poste de chef économiste de l'AFD","    ...  pour l'AFD, dont la moitié des actions engagées sur le terrain ont un  « bénéfice  climat »,  c'estàdire un impact positif dans la lutte contre le dérèglement  climatique. Pour cette ...  "
34,2015-02-26,La Croix,474mots,DARDARD Marianne,"Aux Philippines, un « village français » à l'épreuve des typhons","    ...  entreprises françaises ont cherché à apporter leur expertise grâce à une approche intégrée du réchauffement  climatique » , expliqueton à la chambre de commerce française, à l'initiative du projet avec l ...  "
35,2015-03-20,La Croix,1369mots,REJU Emmanuelle,"A Quiberville, le maire se bat contre la montée des eaux","    ... 'échappe au maire.  « Regardez comme il fatigue, le béton »,  montre JeanFrançois Bloc. Le changement  climatique ne devrait rien arranger. Les scientifiques prédisent une élévation du niveau de la mer qui va ...  "
36,2015-04-14,La Croix,398mots,SERGENT Denis,Les éruptions volcaniques influencent durablement le climat dans l'Atlantique nord,"    ...  que la température des eaux de l'océan Atlantique, l'un des principaux déterminants du  climat européen, variait à un rythme régulier. Des modifications de la circulation océanique, qui relie les courants ...  "
37,2015-01-30,La Croix,266mots,SERGENT Denis,Des maisons adaptées aux accidents climatiques,"    Flottantes, escamotables, végétalisées, agricoles, les maisons et autres tours d'habitation font leur révolution  climatique dans les cartons à dessin ou sur les écrans d'ordinateur des architectes futuristes, mais aussi en ...  "
38,2015-02-28,La Croix,576mots,GREINER Dominique,Une situation d'urgence,"    ...  de la situation alors que des négociations sur les moyens de lutter contre le réchauffement  climatique sont en cours (1). Ces discussions devraient s'achever lors de la conférence de Paris, prévue ...  "
39,2015-02-25,La Croix,901mots,,Courrier,        Discours du pape à Strasbourg Les femmes ont été nombreuses à s'intéresser au remarquable discours délivré par le pape au Parlement européen à Strasbourg.  Plus d'une a été blessée ...  
40,2015-04-10,La Croix,432mots,D'ABBUNDO Antoine,Trois banques françaises renoncent au plus grand projet charbonnier du monde,"    Les banques françaises prendraientelles peu à peu conscience de l'urgence  climatique? L'engagement pris récemment par BNP Paribas, le Crédit agricole et la Société générale de ne pas participer au ...  "
41,2015-03-17,La Croix,590mots,QUENELLE Benjamin,Les Tatars dénoncent le climat de peur,"    ...  structures tatares parallèles,  poursuit l'ancien préfet.  Mais, contre la majorité des Tatars, un vrai  climat de peur est organisé. Des choses jamais vues avant se produisent. » Une vingtaine de membres de ...  "
42,2015-02-06,La Croix,405mots,LIEVEN Samuel,Les religieux se mettent aussi à l'écologie,"    En quoi le  climat estil un enjeu spirituel pour les communautés religieuses? La question était au coeur des échanges, en début de semaine à la Conférence des évêques (CEF), lors d ...  "
43,2015-02-23,La Croix,65mots,,Le patron du Giec accusé de harcèlement sexuel,"        Président du Groupe intergouvernemental d'experts sur le  climat (Giec) depuis 2002, l'Indien Rajendra Pachauri a dû provisoirement renoncer à ses engagements officiels pour répondre d'accusations de harcèlement sexuel dans ...  "
44,2015-01-13,La Croix,680mots,LAURENT Corinne|DE BOISSIEU Laurent,Les politiques cherchent à préserver l'union sans détruire le débat,"    ...  Paris, et celui qui sera dédié à toutes les victimes des attentats, aux Invalides. Le  climat de consensus s'est déplacé dans les rangs parlementaires, avec une multiplication de démarches transpartisanes. À ...  "
45,2015-03-06,La Croix,708mots,FERRE Jean-Luc,Climat de forte tension autour du barrage de Sivens,"    ...  échauffourées qui, de part et d'autre, sont le fait d'éléments incontrôlables, pourrissent le  climat local.  « Tout le monde joue avec le feu , reconnaît Philippe Jougla, le président de la FDSEA ...  "
46,2015-03-03,La Croix,389mots,SERGENT Denis,"Aux États-Unis, chercheurs et grand public divergent sur la science","    ...  danger, contre seulement 37 % du grand public. Le fossé est aussi profond sur le changement  climatique: 87 % des scientifiques l'attribuent en grande partie aux activités humaines, contre 50 % dans le reste ...  "
47,2015-01-16,La Croix,114mots,,Vatican Le pape demande « plus de courage » aux États sur le réchauffement climatique,"        ...  une conférence de presse, alors qu'il était interrogé sur les dangers liés au changement  climatique et les conséquences de certaines actions de l'homme comme la déforestation. Il a évoqué sa ...  "
48,2015-03-20,La Croix,152mots,,"La plus grande marée du début de siècle est attendue demain sur les côtes françaises, en particulier en Normandie et [...]","        ...  le long des littoraux déjà éprouvés par la montée des eaux.* A terme, le changement  climatique devrait accentuer les risques d'érosion et de submersion marine en France, mais aussi dans de ...  "
49,2015-03-20,La Croix,173mots,,REPÈRES. Réchauffement climatique et océans,        ...  l'océan (de zéro à 700 m) est attesté de 1971 à 2010. Ce réchauffement  climatique global a deux impacts majeurs sur les océans: L'élévation du niveau moyen mondial de la ...  
50,2015-04-21,La Croix,999mots,CHARRIER Pascal,"Les arbres, victimes collatérales de la mondialisation","    ...  Nord. Maintenant, plutôt d'Asie et notamment de Chine. » Or, la Chine connaît une gamme  climatique proche de celle du Vieux Continent, ce qui  « donne aussi une gamme très large de parasites ...  "
51,2015-02-20,La Croix,76mots,,REPERES. L'impact de l'agriculture sur les émissions mondiales,"        ...  riziculture. L'agriculture a été écartée pour le moment du champ des négociations onusiennes sur le  climat, les pays du Sud mettant en avant la priorité donnée à la sécurité alimentaire.  ...  "
52,2015-03-19,La Croix,1315mots,,COURRIER,"        Traditions Quand on sait le temps et le travail qu'a demandé à notre église la révision de ses propres traditions (pour mieux suivre la tradition biblique), on se dit que ...  "
53,2015-04-03,La Croix,68mots,,Le premier ministre accuse les grévistes de vouloir instaurer un « climat d'anarchie »,"        ...  dans les nombreux mouvements sociaux des dernières semaines au Burkina Faso de vouloir instaurer un  «  climat d'anarchie »  avant l'élection du successeur du président renversé Blaise Compaoré, prévue en octobre. Le ...  "
54,2015-01-30,La Croix,749mots,LESEGRETAIN Claire,Les Eglises protestantes examinent les enjeux des mariages interreligieux,"    Parmi les personnes de culture musulmane en France, environ  « 39 % vivent en couples mixtes »  selon des enquêtes récentes. Or, d'après la Fédération protestante de France (FPF),  « la mixité religieuse demeure ...  "
55,2015-02-24,La Croix,692mots,VARET Jacques|ABEL OLivier,Jacques Varet et Olivier Abel pour le forum de Regards protestants Baisse des prix du brut: profitons-en... pour changer de [...],"    ...  ruiner ces initiatives et a les moyens d'attendre. À la veille de la conférence  climat de Paris, face au risque de mesures contraignantes il fallait absolument émettre un signal fortement démobilisateur ...  "
56,2015-04-01,La Croix,191mots,,Les États-Unis s'engagent pour le climat,"        ...  en novembre dernier avec la Chine. Cette annonce intervient à huit mois de la conférence  climat de Paris qui vise à conclure un accord mondial. Initialement, tous les pays  « prêts à le ...  "
57,2015-02-09,La Croix,75mots,,Rencontre sur le climat à Genève,"        Durant toute la semaine, les négociateurs du  climat se retrouvent à Genève pour plancher sur le texte du futur accord de Paris, qui vise à limiter un réchauffement planétaire. C'est le ...  "
