,date,publication,words,author,title,intro
0,2018-12-03,Le Monde,1200mots,,Climat : la COP24 fait face à un grand vide politique,"        Jamais l'alarme du péril  climatique n'a retenti si fort. Début octobre, le GIEC décrivait les effets d'un monde soumis à un réchauffement de 1,5 °C et appelait à ...  "
1,2018-12-28,Le Monde,1180mots,Audrey Garric,Pétition pour le climat : un succès inédit,"    ...  organisations non gouvernementales (ONG) qui ont décidé d'attaquer l'Etat en justice pour « inaction  climatique » avaient recueilli 1,8 million de signatures dans une pétition en ligne, jeudi 27 décembre, dix ...  "
2,2018-11-21,Le Monde,1059mots,Propos recueillis par Au. G.,"Clive Hamilton : « En réalité, nous sommes tous climatosceptiques »","    ...  est philosophe, professeur d'éthique publique et ancien membre du conseil australien sur le changement  climatique. L'auteur de Requiem pour l'espèce humaine. Faire face à la réalité du changement climatique ...  "
3,2018-10-15,Le Monde,897mots,par Stéphane Foucart,"C'était quand, la « dernière chance » ?","    ... 'est, de nouveau, le rapport de la « dernière chance . Lundi 8 octobre, les experts du  climat ont rendu une nouvelle somme sur la dérive  climatique avec, comme sujet imposé par la communauté ...  "
4,2018-10-11,Le Monde,971mots,Patricia Jolly,Climat : les Pays-Bas rappelés à l'ordre par la justice,"    C'est une décision sans précédent en matière de justice  climatique. Mardi 9 octobre, la cour d'appel de La Haye a confirmé un jugement rendu en première instance, le 24 juin ...  "
5,2018-10-12,Le Monde,857mots,Antonin Pottier,"William Nordhaus, un Nobel de retard?","    ... 'Alfred Nobel, le jour même où le Groupe d'experts intergouvernemental sur l'évolution du  climat (GIEC) remettait son rapport spécial sur les impacts d'un réchauffement  climatique de 1,5 0C ...  "
6,2018-09-12,Le Monde,1132mots,Rémi Barroux,Le réchauffement aggrave la faim dans le monde,"    ...  rapport publié mardi 11 septembre. Avec les conflits et les crises économiques, la « variabilité du  climat » et ses phénomènes extrêmes sont une des principales causes de la sousnutrition et de l ...  "
7,2018-12-18,Le Monde,738mots,propos recueillispar Pierre Le Hir propos recueillispar Pierre Le Hir,Dominique Bourg : « La réalité du changement climatique est de plus en plus sensible »,"    ...  à des dangers immédiats, devant des prédateurs, et souvent par la fuite. Avec le changement  climatique, pour la première fois, l'humanité se trouve confrontée à une menace majeure mais qui est ...  "
8,2018-11-16,Le Monde,1031mots,Collectif,"Le nucléaire doit-il remplacer le carbone? - Pour se passer du charbon, l'atome est indispensable","    Pour contribuer à éviter au monde un chaos  climatique, l'Europe doit montrer l'exemple d'une économie débarrassée des énergies fossiles. Pour cela, il faudra impérativement supprimer le charbon dans la ...  "
9,2018-12-31,Le Monde,852mots,,L'émergence d'une citoyenneté écologique,        ...  France devant le tribunal administratif de Paris visant à sanctionner l'Etat français pour inaction  climatique. Comment expliquer le succès de cette campagne d'action et que signifietelle pour la ...  
