,date,publication,words,author,title,intro
0,2017-04-24,Le Parisien - Paris ,378mots,M.P.,Coup de chaud pour les rennes,"    ...  mettre un renne dehors. Les célèbres cervidés de l'Arctique sont menacés par le réchauffement  climatique. En effet, selon les dernières prévisions des experts du  climat, les températures pourraient grimper de 7 ...  "
1,2017-04-28,Le Parisien - Paris ,194mots,,climat La maire de Paris Anne Hidalgo,"  climat La maire de Paris Anne Hidalgo recevra aujourd'hui à 14 h 30 à l'Hôtel de Ville l'acteur, ancien gouverneur de Californie et président fondateur de Regions of Climate ...  "
2,2017-04-05,Le Parisien - Seine St Denis,104mots,,La transition énergétique en débat,"        ...  La rencontre est organisée en collaboration par l'Agence locale de l'énergie et du  climat (ALEC) de Plaine Commune, qui anime et appuie les démarches de transition énergétique et d'adaptation ...  "
3,2017-02-01,Le Parisien - Seine-et-Marne,101mots,,Les prénoms des 300 bébés nés en 2016 ornent cet arbre,"        ...  protection de la planète et au rôle des arbres dans la lutte contre le réchauffement  climatique, MoissyCramayel a participé à l'opération Un arbre pour le  climat en menant une action ...  "
4,2017-01-27,Le Parisien - Paris ,520mots,,Quand Le Pen s'inspire de Hollande,"        ... 'anthropocène (NDLR : la période géologique où l'activité humaine a eu un impact sur le  climat) », atelle ainsi lancé. Tout en précisant que « le changement  climatique n'est pas une ...  "
5,2017-04-10,Le Parisien - Paris ,485mots,,Où s'arrêtera Jean-Luc Mélenchon ?,"        ...  ton plus rassurant. La lutte des classes s'ouvre à la lutte contre le changement  climatique, les harangues vers les classes populaires s'orientent vers les classes moyennes. Et le professeur a ...  "
6,2017-01-07,Le Parisien - Val de Marne,318mots,,La science pour tous par les livres,"        Par Corinne Nèves Les sciences, humaines ou exactes, se mettent à la portée de tous les curieux. Dans le cadre du festival « Les sciences des Livres » les bibliothèques et/ou médiathèques ...  "
7,2017-04-29,Le Parisien - Paris,134mots,,Schwarzenegger défend le climat auprès d'Hidalgo,"        ...  de Californie, Arnold Schwarzenegger, était à Paris, hier, pour défendre la lutte contre le réchauffement  climatique. Le fondateur de Regions of Climate Change (R20) a d'abord rencontré la maire de Paris ...  "
8,2017-04-11,Le Parisien - Edition Principale ,409mots,Frédéric Mouchon,Et si la baie du Mont-Saint-Michel changeait de visage,     de la Lune. Il faudra désormais ajouter que les marées sont influencées par le changement  climatique. C'est ce qu'explique un article publié hier par le bureau de recherche géologique et ...  
9,2017-04-18,Le Parisien - Paris ,471mots,,Le bassin fait des remous,"        ...  d'écologie urbaine » retenus dans le cadre de l'appel à projets « Parisculteurs », le réservoir haussmannien risque pourtant d'y perdre sa vocation de protecteur  climatique et de réserve de biodiversité.  ...  "
10,2017-03-02,Le Parisien - Paris ,329mots,,Dix projets pour lutter contre le réchauffement climatique,"        ...  Après avoir lancé en octobre un appel à projets pour « adapter » la capitale au changement  climatique, la mairie désignera cet aprèsmidi les dix entreprises, startup ou associations dont les projets ...  "
11,2017-03-04,Le Parisien - Val de Marne,300mots,,Quand la biennale s'illumine,"        ...  du compositeur américain Michael Gordon. Au fil du spectacle, ils jouent avec les lumières, orchestrées par Sylvie Mélis, pour éveiller les sens du spectateur. Cri d'alarme contre Le réchauffement  climatique  ...  "
12,2017-04-26,Le Parisien - Val de Marne,569mots,@lucilemetout,Chronique d'un collège en détresse,"    ... Môquet, à Villejuif. Un établissement au ralenti depuis lundi. Car, las d'exercer dans un  climat de « violences » et d'« insécurité », plus de vingt enseignants refusent de faire classe jusqu'à nouvel ...  "
13,2017-03-10,Le Parisien - Paris ,490mots,,Mission : sauver la mémoire des glaciers Un défi à 6 300 m d'altitude,"        ...  au siège de l'Unesco, à Paris, consiste à créer une sorte de musée du  climat, bien au frais dans un congélateur naturel en Antarctique. Y seront stockés des échantillons de glaciers ...  "
14,2017-02-28,Le Parisien - Edition Principale ,553mots,@olivierbeaumont,Fillon à l'épreuve du salon,"    ...  une petite main de sa campagne. Dimanche, son champion a été jusqu'à qualifier le  climat de « quasiguerre civile » pour dénoncer les actions menées par des opposants d'extrême gauche pour ...  "
15,2017-03-22,Le Parisien - Val d'Oise,330mots,,« Le climat scolaire est très positif »,"        ...  Carpentier, qui a pris ses fonctions en septembre, les bons résultats s'expliquent par un «  climat scolaire très positif » : « C'est un lycée traditionnel dans son enseignement mais les élèves sont en ...  "
16,2017-04-05,Le Parisien - Paris,517mots,,Plan climat : « Il manque un comité de pilotage présidé par la maire »,        ...  restent trop cloisonnées et personne ne sait que les mesures prises sont liées au plan  climat. Réduire le nombre de voitures apparaît comme une démarche financière alors que ça n'est pas ...  
17,2017-01-10,Le Parisien - Essonne,414mots,,"Elèves, parents et mairie se liguent contre la proviseur de Yourcenar","        ...  l'inspection académique, précise une représentante de la FCPE. Ce lycée a été un établissement où les enfants avaient envie d'étudier et nous voulons retrouver un  climat favorable au travail. »  ...  "
18,2017-01-30,Le Parisien - Val d'Oise,560mots,,"Légère baisse de la délinquance, dans « un climat de violence »","        ...  tirs d'armes à feu plusieurs nuits de suite.  Des événements qui témoignent d'un  climat de violence installé dans le Vald'Oise, reconnaît le préfet. « La violence naît tout de ...  "
19,2017-04-26,Le Parisien - Paris ,100mots,,CLIMAT SANTÉ Des foetus d'agneaux ont été,"  CLIMAT SANTÉ Des foetus d'agneaux ont été développés dans un utérus artificiel avec succès pendant quatre semaines, selon les résultats d'une étude publiée hier par des chercheurs américains. Transposer ce ...  "
20,2017-02-28,Le Parisien - Seine-et-Marne,531mots,@leparisien_77,"A Meaux, Copé a reçu Fillon loin du « climat de quasi-guerre civile »",    ... 'apaisement à la Maison du brie. A fortiori au lendemain de sa déclaration sur « le  climat de quasiguerre civile » qui lui a valu les foudres de la gauche. Toute la matinée ...  
21,2017-03-11,Le Parisien - Paris ,563mots,,Ils en ont ras le béret de la France,"        ... 'en profiter tant que j'ai la forme. En Algarve, un bon resto, c'est 8 € ! Et ça n'est pas le  climat électoral qui me fera revenir, il est déprimant. »  ...  "
22,2017-03-14,Le Parisien - Oise ,641mots,,"« Il peut se passer n'importe quoi, surtout pour une fille seule le soir... »","        ...  de compagnie (c'est un bus de la TRA, du groupe Transdev), mais pas de  climat. Une quinzaine de passagers, une seule femme à l'avant. Un homme roule une cigarette, puis ...  "
23,2017-03-24,Le Parisien - Seine-et-Marne,141mots,,Grève contre la « dégradation du climat scolaire »,"        ...  prise de décisions. Autant de griefs qui auraient conduit « à une dégradation très nette du  climat scolaire ». « Les bagarres et les insultes envers les adultes se multiplient », assure Laure. Jointe par téléphone ...  "
24,2017-03-25,Le Parisien - Paris ,510mots,,Et si on pensait un peu au jeu...,"        ... Rien ne s'effacera, c'est certain, surtout dans le  climat délétère actuel entretenu par la guerre ouverte menée par la Fédération française contre la Ligue nationale. Il est temps cependant de ...  "
25,2017-01-07,Le Parisien - Edition Principale ,703mots,,« J'espère que tout ce qu'Obama a fait ne sera pas remis en cause »,"        ...  de coordination. Dans quels autres domaines nos relations ontelles progressé ? L'accord sur le  climat, la COP21, a été une grande réussite internationale mais aussi sur le plan de notre coopération ...  "
26,2017-04-21,Le Parisien - Val de Marne,276mots,M.K.,"À Champigny, les profs « se sentent en danger »","    ...  bât blesse. « Nous ne sommes pas entendus, la direction ne fait rien ! », poursuitelle. Un  climat de violence récurrent Mardi, un élève de terminale au comportement violent a insulté un de ses ...  "
27,2017-01-14,Le Parisien - Paris,373mots,,« Il n'y a pas un week-end sans incident »,"        ...  la rue depuis plus d'une quarantaine d'années. « La seule solution pour rétablir un  climat de sécurité, c'est de faire fermer les établissements de nuit », estime la riveraine attablée dans ...  "
28,2017-03-15,Le Parisien - Hauts-de-Seine,287mots,O.B.,Les enseignants lancent un SOS aux parents de l'école Louis-Aragon,"    ...  sur sa maîtresse. La décision de ne pas assurer les cours vendredi témoigne d'un  climat irrespirable dans cet établissement de 312 élèves. Dans le douloureux courrier adressé aux parents, les professeurs ...  "
29,2017-03-06,Le Parisien - Paris ,624mots,@jannickalimi1 et @henrivernet,POUR LA PROBITÉ ENCORE UN EFFORT,    ...  brisé cette promesse... et avec elle la confiance dans le pouvoir. Une tache qui a imprégné un  climat de défiance envers Hollande... qui ne se représente pas à sa propre succession.  ...  
30,2017-03-20,Le Parisien - Edition Principale ,684mots,,« Je ne veux pas m'appuyer sur les anciens »,"        ...  deux, ça ne marche pas, encore moins en rugby. Pensezvous avoir été victime du  climat actuel dans le rugby français ? Oui, c'est sûr. On a présenté ce projet dans un ...  "
31,2017-01-13,Le Parisien - Paris ,524mots,,"Après la tempête, alerte au grand froid","        ... 'était plus fréquent dans les années 1980 avant qu'on enregistre l'impact du réchauffement  climatique dans nos contrées », note Frédéric Decker, de la Chaîne Météo. De la neige en plaine La ...  "
32,2017-01-31,Le Parisien - Paris ,421mots,Frédéric Mouchon,Construire le long des côtes pourrait devenir plus facile,    ...  l'Assemblée d'une proposition de loi sur l'adaptation des territoires littoraux au changement  climatique. Ce texte vise à éviter un nouveau Xynthia en aidant les élus locaux à s'adapter ...  
