,date,publication,words,author,title,intro
0,2016-09-16,Le Parisien - Paris ,388mots,@vhacot1,Le changement climatique de Sarkozy,"    ... 'Emission politique » de France 2, Nicolas Sarkozy persiste et signe malgré la polémique. « Le changement  climatique est un défi très important mais le premier défi aujourd'hui, c'est le défi démographique ...  "
1,2016-11-15,Le Parisien - Val de Marne,344mots,,Climatologues en herbe,"        ...  représenté au Maroc depuis hier : une quarantaine d'élèves participent à la conférence sur le  climat de l'ONU. Ils sont en première sciences de l'ingénieur, en bac pro génie thermique ...  "
2,2016-09-05,Le Parisien - Paris,574mots,Julien Duffé et Benoît Hasse,"Après le départ de Paris-Plages, la Ville occupe le terrain","    ...  baptisé « Cap sur la COP22 », deux mois avant la réunion annuelle des Etats sur le  climat qui doit se dérouler à Marrakech (Maroc) en novembre. Une opération montée dans l'urgence dans ...  "
3,2016-10-03,Le Parisien - Paris ,443mots,,L'Europe enclenche enfin la première,"        ...  COP21, l'Union européenne s'apprête enfin à ratifier l'accord de Paris sur le  climat. Sauf coup de théâtre, le Parlement européen devrait en effet donner son feu vert demain lors ...  "
4,2016-11-10,Le Parisien - Paris ,570mots,,« Une triste journée pour la planète »,"        ...  où se tient depuis trois jours la 22 e conférence des Nations unies sur le  climat, la COP22, on préférait tourner en dérision le choc de l'annonce de l'élection de ...  "
5,2016-11-17,Le Parisien - Edition Principale ,117mots,,CLIMAT Les Etats-Unis « ne pourront pas revenir,  CLIMAT Les EtatsUnis « ne pourront pas revenir en arrière » sur leurs engagements pour la préservation de la planète. C'est le message qu'a martelé hier le secrétaire d'Etat américain ...  
6,2016-11-09,Le Parisien - Edition Principale ,226mots,,De plus en plus de phénomènes extrêmes,"        ...  réunis depuis lundi pour la COP22 à Marrakech (Maroc). La 22 e Conférence sur le  climat doit faciliter l'accord de Paris scellé l'an dernier, qui vise à limiter le réchauffement ...  "
7,2016-09-10,Le Parisien - Paris,426mots,B.H.,Les berges de la rive droite rouvrent aux... piétons,"    ...  lutte contre le réchauffement. Baptisé « Cap sur la COP22 » (la prochaine conférence internationale sur le  climat qui se tiendra à la fin de l'année au Maroc), cet événement se tiendra sur ...  "
8,2016-12-13,Le Parisien - Edition Principale ,468mots,,Les rennes du Père Noël à la peine,        ...  à guère plus de 48 kg pour ceux nés en 2010. En cause : le réchauffement  climatique. Une compétition accrue pour se nourrir Du fait d'hivers plus doux au cours des deux ...  
9,2016-10-01,Le Parisien - Edition Principale ,274mots,F.M.,« Un climat presque tropical »,"    ...  cultiver la terre en s'adaptant aux caprices du temps, le paysan incrimine le dérèglement  climatique. « Il y a quelques années, les pluies étaient équitablement réparties au cours de l'année, témoigne ...  "
