,date,publication,words,author,title,intro
0,2014-04-15,Le Parisien,281mots,Fl.G.,"Climat : pourquoi 2 oC, c'est important",    ...  dans le vaste rapport achevé par le Groupe d'experts intergouvernemental sur l'évolution du  climat (Giec) concernant le réchauffement  climatique. « Ce que je trouve très positif dans l'évolution de l ...  
1,2014-04-25,Le Parisien,362mots,Olivier Le Hénaff,La menace El Niño se précise Un phénomène aux répercussions mondiales,"    ... Météo. Le phénomène  climatique El Niño pourrait se reproduire cet été, estiment les experts. Des tempêtes et des précipitations importantes sont attendues, surtout en Amérique et en Asie.  ...  "
2,2014-04-01,Le Parisien,97mots,,Les experts de l'ONU alarmistes sur le climat,"        LES CONSÉQUENCES du réchauffement  climatique ne vont que s'aggraver faute d'un accord international contraignant pour limiter les gaz à effet de serre, a averti hier le Giec (Groupe d'experts ...  "
3,2014-03-26,Le Parisien,330mots,Frédéric Mouchon,Le temps se détraque vraiment,"    ... Météo. Selon les experts, les tempêtes ou les chutes de neige tardives de 2013 sont bien liées au réchauffement  climatique.  ...  "
4,2014-04-07,Le Parisien,129mots,,Réchauffement climatique : les pistes des experts,"        APRÈS SON RAPPORT  alarmant, présenté il y a une semaine, sur l'impact du réchauffement  climatique, le Giec, groupe d'experts de 195 pays de l'ONU sur l'évolution du climat ...  "
5,2014-01-16,Le Parisien,93mots,,Un débat conférence autour du climat,"        ...  sciences de l'environnement PierreSimon Laplace, animera une grande conférence sur l'avenir du  climat le jeudi 30 janvier à 20h45 au centre Montesquieu. Le scientifique, qui participe notamment aux travaux ...  "
6,2014-02-26,Le Parisien,126mots,,Le réseau Action Climat apprécie les propositions des candidats,"        ...  Najdovski (EELV), 100 ha de toitures et murs végétalisés pour Anne Hidalgo (PSPC)... Action  Climat, un réseau d'associations spécialisées sur les questions climatiques, a passé au crible les projets de ...  "
7,2014-04-18,Le Parisien,81mots,,Appel à projets contre le dérèglement climatique,"        Dans le cadre du plan  Climat énergie du ValdeMarne, le conseil général lance un appel à projets pour encourager les initiatives départementales. Les candidats, des collectivités, des associations ou des ...  "
8,2014-03-31,Le Parisien,99mots,,Climat : le bilan pessimiste des experts,"        LE GIEC,  Groupe d'experts intergouvernemental sur l'évolution du  climat, qui a conclu hier à Yokohama (Japon) une réunion sur l'état  climatique de la planète, dresse un bilan pessimiste. Dans ...  "
9,2014-04-04,Le Parisien,366mots,Frédéric Mouchon,La météo nous est indispensable,"    ...  que les Français portent à ces prévisions, le Forum international de la météo et du  climat, dont les journées grand public s'ouvrent aujourd'hui à Paris, en est déjà à sa ...  "
10,2014-01-25,Le Parisien,363mots,Nathalie Schuck,"Hollande et le pape, rencontre « normale » au Vatican","    ... Entre le chef de l'Etat et le chef de l'Eglise catholique, les sujets sensibles ne manquent pas. Mais après un accueil un peu froid le  climat s'est réchauffé...   ...  "
11,2014-01-03,Le Parisien,400mots,Arnaud Hermant,Paris rentre avec le sourire,"    ...  pluie. Ce qui, au Qatar, pays du propriétaire parisien, relève du comble tant ce désagrément  climatique n'est pas coutumier. Le PSG est reparti pour Paris quelques minutes après la rencontre, laissant ...  "
12,2014-03-26,Le Parisien,194mots,F.M.,Les coquelicots témoins capitaux,"    LE RÉCHAUFFEMENT  climatique ne se mesure pas qu'à la taille de la banquise arctique ou à l'élévation du niveau de la mer. Même en France, au coeur de nos campagnes ...  "
13,2014-03-30,Le Parisien,261mots,Frédéric Mouchon,Arbres : un inventaire très vert,"    ...  l'Hexagone et d'outremer. Pour se préparer aux effets potentiellement dévastateurs du réchauffement  climatique, qui pourraient affecter certains spécimens fragiles, le ministère de l'Agriculture a effectué un inventaire inédit ...  "
14,2014-01-30,Le Parisien,311mots,Julien Duffé,Le curé de Belleville exaspéré par les insultes,"    ...  curé, qui subodore l'oeuvre d'un groupe anarchiste. Plus largement, Stéphane Esclef déplore le  climat de violence qui règne autour du lieu de culte depuis des mois. Le 6 décembre, un ...  "
15,2014-03-23,Le Parisien,264mots,Didier Micoine,Un premier tour menacé par l'abstention,"    ... Le premier tour des municipales, c'est aujourd'hui, dans un  climat politique national qui va peser sur ce scrutin test.  ...  "
16,2014-02-13,Le Parisien,94mots,,Les éoliennes peuvent-elles modifier le climat ?,"        ...  conséquence à long terme, révèle une étude française réalisée par le Laboratoire des sciences du  climat et de l'environnement (LSCE/CNRS). Les chercheurs se sont intéressés aux grandes fermes éoliennes, comme ...  "
17,2014-03-06,Le Parisien,280mots,Rosalie Lucas,Brice Teinturier : « Le climat de défiance pèse »,    ...  de fond peuvent éventuellement expliquer la difficulté de constituer des listes. La première est le  climat de grande défiance à l'égard de nos élus. Notre enquête Ipsos  Steria de janvier a ...  
18,2014-01-15,Le Parisien,308mots,Cécile Beaulieu,Marché Dejean : haro sur les vendeurs à la sauvette,"    Vendeurs à la sauvette à foison,  climat d'agressivité oppressant, saleté : les habitants du secteur du marché Dejean (XVIIIe), en plein coeur de la zone de sécurité prioritaire (ZSP) inaugurée en septembre ...  "
19,2014-02-20,Le Parisien,73mots,,Le réchauffement arctique modifierait bien le climat,"        ...  très haute altitude (de 10 à 15 km), prévient une étude américaine. Cela impacterait le  climat sous nos latitudes, tant en Europe qu'en Amérique du Nord. La météo actuelle en est ...  "
20,2014-02-19,Le Parisien,139mots,F.D.,Deux élus démissionnent à Ormesson,"    ...  Mireille Bouvard et Colette Simon, conseillères municipales, viennent d'annoncer leur démission. Elles déplorent un  climat qui s'est « sensiblement détérioré » lors du dernier mandat de Guy Le Doeuff (exUMP, investi ...  "
21,2014-02-27,Le Parisien,84mots,,Manipuler le climat ne servira à rien,"        ...  planétaire. Alors que certains scientifiques et industriels sont partisans de tenter d'agir sur le  climat afin d'éviter un emballement des températures, une nouvelle étude montre que ces tentatives se révéleront ...  "
22,2014-03-26,Le Parisien,352mots,Erwan Benezet,Des aides à la rénovation très différentes selon les régions,"    UN  CLIMAT et un parc immobilier très diversifié... Il est normal que les Français, selon qu'ils habitent le nord, le sud, l'est ou l'ouest du pays, n'aient pas ...  "
23,2014-03-26,Le Parisien,357mots,Hubert Lizé,Il était une fois un chef-d'oeuvre !,"    ...  m'attirait », se souvient James Gray, né dans une famille juive modeste du Queens. Un  climat de tension et de désespérance Son héros, Joshua Shapira (Tim Roth), est un tueur à gages ...  "
24,2014-04-15,Le Parisien,354mots,Hervé Sénamaud,La violence gangrène le collège Edouard-Herriot,    ... NOGENTSUROISE. Pas de cours hier dans cet établissement après l'agression d'un élève. Les enseignants étaient en grève pour dénoncer un insupportable  climat de violence.  ...  
25,2014-02-20,Le Parisien,92mots,,Météo,"        ...  les nuages resteront dominants avec de rares éclaircies et un mercure globalement de saison. Un  climat qui semble retrouver les normes.  Samedi 22 février Un léger mieux. Evidemment, la perturbation est toujours ...  "
26,2014-02-24,Le Parisien,261mots,Floriane Louison,Plus d'élèves et moins de professeurs au lycée,"    ... Un  climat social déjà tendu « C'est déjà le cas dans certaines filières : ils sont 34 en Première littéraire », détaillentils, en soulignant un autre point : « Pour calculer le nombre de profs ...  "
27,2014-02-15,Le Parisien,458mots,Rosalie Lucas et Nathalie Schuck,La grande peur des socialistes,"    ...  un ministre. Chargé des élections, Manuel Valls appelle au calme et précise : « Je préfère un  climat d'inquiétude pour mobiliser à un  climat de béatitude. » A nouvelle politique, nouvelles têtes ? Agacé par ...  "
28,2014-03-15,Le Parisien,592mots,Frédéric Mouchon,"6 000 km, seul avec ses chiens Le parcours de Nicolas Vanier","    ...  il venait d'avaler plus de 5 000 km et pestait contre la clémence du  climat qui peut s'avérer mortelle lorsqu'on circule sur des fleuves partiellement gelés. La veille, Fabien ...  "
29,2014-03-26,Le Parisien,269mots,Carole Sterlé,L'entre-deux tours vire au judiciaire à Sevran,"    ... Un «  climat délétère » selon Clémentine Autain (FG) « J'ai déjà vécu ça aux législatives, c'est inadmissible à trois jours du second tour, surtout d'un ancien délégué du préfet, cette campagne ...  "
30,2014-03-22,Le Parisien,366mots,Fayçal Métaoui,Election sous tension en Algérie,"    ...  en Algérie. L'ambiance est déjà électrique avec six candidats dans la course et un  climat de fronde inédit. Abdelaziz Bouteflika, président sortant, se représente à 77 ans  et malgré de gros ...  "
31,2014-04-23,Le Parisien,373mots,Isoline Fontaine,"La carrière protégée, référence des géologues","    ...  le chercheur. Elles ont pris tellement de ce gaz à effet de serre, que le  climat s'est refroidi jusqu'à ce que la Terre devienne une boule de neige. La vie ...  "
32,2014-03-13,Le Parisien,208mots,G.B.,Tags injurieux contre une colistière UMP à Aulnay,"    ... Dans un communiqué, Bruno Beschizza déplore « un  climat de divisions et de haine », fruit, selon lui, « d'une gestion municipale partisane ». Le maire PS sortant, Gérard Ségura, dément : « Je condamne ces inscriptions ...  "
33,2014-01-05,Le Parisien,297mots,Propos recueillis par F.M.,« Il faut replanter des haies »,"    ... 'est plus draguée, ce qui gêne l'écoulement de l'eau en aval. Le changement  climatique contribuant à la hausse du niveau de la mer, à des risques de submersion du littoral ...  "
34,2014-02-08,Le Parisien,593mots,Éric Bruna,Sur la piste de Martin Fourcade,"    ...  permanence. » La problématique du prénom Derrière le comptoir désuet de la cafétéria du collègelycée  climatique et sportif PierredeCoubertin de FontRomeu, où les murs sont tapissés de photos d ...  "
35,2014-04-03,Le Parisien,292mots,,Les microbes ont failli tuer toute vie,"        COMPARÉ À LUI,  notre réchauffement  climatique apparaît comme une aimable plaisanterie : il y a environ 252 millions d'années, la température était telle sur Terre  jusqu'à 50 ou 60 oC à ...  "
36,2014-02-16,Le Parisien,357mots,Vincent Pialat,"A Font-Romeu, on chante « la Fourconnade »","    ...  Marcel, est le maire de La Llagone, un village voisin. Martin, passé par le lycée  climatique et sportif de la ville, est toujours licencié au ski club. L'écran géant du chalet ...  "
37,2014-03-09,Le Parisien,364mots,J.-M. D.,"« Le plus souvent, c'est la somme d'incidents cumulés »","    ...  route », note toutefois Gérard Feldzer. Les autorités malaisiennes et vietnamiennes n'ont signalé aucun phénomène  climatique particulier à cet endroit.  Un attentat.  « On ne peut pas l'exclure même si la Malaisie ...  "
38,2014-04-16,Le Parisien,120mots,,L'Ile-de-France lève 600 MEUR sur les marchés,"        ...  les projets financés devront répondre à onze critères. Parmi eux, la lutte contre le changement  climatique. Les fonds seront également affectés au développement des transports en commun, des énergies renouvelables et à ...  "
39,2014-01-15,Le Parisien,323mots,Hervé Rachynski,La mini-centrale mobile d'ERDF testée,"    ...  une semaine, une unité mobile de production d'électricité pouvant alimenter, en cas d'accident  climatique majeur, jusqu'à 3000 foyers. Soit l'équivalent d'une commune de 10000 habitants. Cette centrale ...  "
