,date,publication,words,author,title,intro
0,2014-09-22,Les Echos,478mots,VINCENT CHAMPAIN,Climat : l'innovation peut-elle sauver le monde ?,"    L'urgence de lutter contre le changement  climatique s'impose à tous : selon le dernier rapport du Groupe intergouvernemental d'experts sur l'évolution du  climat, les atteintes au  climat seront graves ...  "
1,2014-09-29,Les Echos,495mots,,Climat : il est de notre intérêt d'agir maintenant,        ...  faudrait choisir entre la prospérité économique d'un côté et la lutte contre le changement  climatique de l'autre. Résultat : dans un contexte de chômage de masse dans les pays riches et ...  
2,2014-11-03,Les Echos,369mots,JOEL COSSARDEAUX,Réchauffement climatique : le GIEC déclenche la sirène,"    ...  Rajendra Kumar Pachauri, le président du Giec (Groupe d'experts intergouvernemental sur l'évolution du  climat) qui, ironie du sort, se réunissait dans la capitale danoise pour livrer la synthèse de son ...  "
3,2014-12-05,Les Echos,737mots,,Trois grands pays tièdes face à l'enjeu climatique,        ...  s'est démobilisé Dire que le Canada est peu combatif dans la bataille pour le  climat relève de l'euphémisme. Il l'a désertée en dénonçant en 2011 sa participation à la ...  
4,2014-12-05,Les Echos,855mots,,Accord sur le climat : étape décisive à Lima,        ... Les délégations internationales s'activent dans la capitale péruvienne.Objectif : fixer les bases d'un accord sur le  climat pour dans un an à Paris.  ...  
5,2014-11-24,Les Echos,1368mots,YANN VERDO,Comment le climat a modelé l'homme,"    ...  cette bipédie associée à un  « arboricolisme rémanent »  est apparue à la suite d'un changement  climatique majeur, survenu plusieurs millions d'années avant la naissance de sa chère Lucy. Plus largement, le ...  "
6,2014-12-15,Les Echos,439mots,,Quelques points d'avancée malgré tout,"        ...  de consacrer un soutien financier accru non pas seulement aux mesures d'atténuation au changement  climatique menées par les pays pauvres, mais aussi aux dispositifs d'adaptation qu'il leur faut mettre ...  "
7,2014-12-05,Les Echos,642mots,,Pascal Canfin : « Investir dans le charbon et les énergies fossiles est devenu un business à risques »,"        ... Pascal Canfin Conseiller principal  climat pour le World Resources Institute, ancien ministre délégué au Développement  ...  "
8,2014-09-23,Les Echos,259mots,JEAN-FRANCIS PECRESSE,Changement de climat,"    ...  pompiers avant qu'il ne soit trop tard. Les espoirs nés des conférences sur le  climat ont nourri, depuis trente ans, assez de désillusions pour qu'il faille rester prudent, mais, cette ...  "
9,2014-12-16,Les Echos,339mots,,L'écolo doit voter pour le nucléaire,"        En 1988, alors que le sujet du changement  climatique était déjà couvert depuis plus d'un siècle par la science, les Nations unies décidèrent, pour permettre aux gouvernements d'y voir clair ...  "
10,2014-10-10,Les Echos,411mots,JOEL COSSARDEAUX,Des économistes prônent un bonus-malus sur les émissions de carbone,"    A un peu plus d'un an de la conférence mondiale de Paris sur le  climat, qui doit déboucher sur un accord de réduction des gaz à effet de serre opérationnel à ...  "
11,2014-12-19,Les Echos,702mots,,Contre-choc pétrolier et climat : sortir de la schizophrénie,"        ...  dans l'atmosphère. Pendant que les négociateurs de la conférence annuelle des Nations unies du  climat se mettaient d'accord sur leur communiqué, le cours du baril de pétrole est tombé en ...  "
12,2014-11-21,Les Echos,385mots,JOEL COSSARDEAUX,Le Fonds vert pour le climat frôle les 10 milliards de dollars de capitalisation,"    ...  tant promise des pays riches aux pays pauvres, pour qu'ils s'adaptent au changement  climatique sans que leur développement s'en trouve compromis, se traduit enfin en argent sonnant et trébuchant ...  "
13,2014-10-21,Les Echos,471mots,ANNE BAUER,LES Vingt-Huit divisés sur les engagements climatiques européens,"    Pour rester à la pointe de la lutte contre le changement  climatique, les leaders européens doivent s'accorder sur une baisse de 40 % de leurs émissions de gaz à effet de serre ...  "
14,2014-11-13,Les Echos,430mots,GABRIEL GRESILLON,Climat : Pékin et Washington actent une avancée décisive,"    ...  et 2025. La France, qui doit organiser à Paris, en décembre 2015, la décisive conférence  climat COP 21, a rapidement salué cet accord. Dans des termes qui démontrent toutefois la complexité de ...  "
15,2014-12-09,Les Echos,351mots,,Le changement climatique victime du chaos mondial,        Les pays ayant ratifié la conventioncadre des Nations unies pour le changement  climatique (CCNUCC) se réunissent du 1er au 12 décembre à Lima (Pérou). L'ambition de ce sommet est de ...  
16,2014-11-27,Les Echos,733mots,,Hollande mise sur l'écologie pour redorer son blason,        ... La troisième conférence environnementale s'ouvre aujourd'hui à l'Elysée.Le président se veut exemplaire à l'approche de la conférence  climat de 2015.  ...  
17,2014-09-26,Les Echos,535mots,ROGER-POL DROIT,"Le climat change, pas les esprits","    Le flot des discours sur le changement  climatique monte plus vite que le niveau des océans. Au rythme où les questions s'accumulent et s'enchevêtrent, le risque de noyade n'est ...  "
18,2014-12-08,Les Echos,436mots,,"Contre le réchauffement, savoir qui paie quoi","        ... Le financement de la lutte contre le réchauffement, clef du futur sommet de Paris sur le  climat.  ...  "
19,2014-09-29,Les Echos,261mots,HERVé LE TREUT,Climat : l'heure est à la pédagogie,"    ...  l'environnement que je suis, l'actualité récente est particulièrement riche! Les marches pour le  climat et la réunion à l'ONU de la plupart des chefs d'Etat constituent les premiers ...  "
20,2014-10-20,Les Echos,518mots,EMMANUEL GRASLAND,Jean-Pierre Clamadieu : « La chimie européenne est en état d'urgence »,    ...  doivent accepter de se coordonner. Fautil repenser la politique de lutte contre le réchauffement  climatique de l'Europe ? Nous sommes bien conscients de l'importance de la lutte contre le réchauffement ...  
21,2014-09-24,Les Echos,474mots,CORINNE LEPAGE,Pourquoi il faut revoir notre fiscalité sur l'énergie,    ... 'estàdire l'ensemble des coûts non monétarisés sur les marchés mais que nous payons tous lorsque nous respirons un air pollué ou subissons les premiers effets du changement  climatique.  ...  
22,2014-12-09,Les Echos,253mots,,Environnement : les lobbyistes contre Obama,"        ...  de ses préoccupations, pour ses deux dernières années à la MaisonBlanche, la question du  climat. L'Agence pour la protection de l'environnement (EPA) sera ainsi une cible de choix pour ...  "
23,2014-09-24,Les Echos,485mots,MATTHIEU QUIRET,Les zinzins réclament un prix pour le carbone,"    Au sommet sur le  climat de l'ONU à New York cette semaine, la finance tente de s'acheter une bonne conduite. Trois cent quarante investisseurs institutionnels mondiaux pesant 24.000 milliards ...  "
24,2014-11-19,Les Echos,520mots,JEAN-MARIE CHEVALIER,L'énergie en état de choc; revisiter les stratégies,"    ...  minimale des ressources. Elle décide de l'établissement d'une écotaxe, puis d'une contribution  climat énergie, et elle annule ensuite ces deux mesures. Elle diffère l'application des mécanismes économiques de ...  "
25,2014-12-15,Les Echos,623mots,,"Climat : après Lima, la planète semble loin d'un accord historique à Paris en 2015","        Les sirènes de l'urgence  climatique ont beau être de plus en plus stridentes, la communauté internationale a encore trouvé le temps de mégoter. Les délégations de 195 pays, réunies depuis le ...  "
26,2014-09-22,Les Echos,150mots,YANN VERDO,"Le Sahara, un désert né de la mer ?",    ...  la revue « Nature » et à laquelle ont participé des chercheurs du laboratoire des sciences du  climat et de l'environnement et de l'Institut de physique du globe de Strasbourg. Une série ...  
27,2014-11-05,Les Echos,193mots,PASCAL POGAM,Jean Jouzel Vice-président du groupe scientifique du Giec,"    ... 'années, nous ne faisons rien, ce sera très difficile, voire impossible, de limiter le réchauffement  climatique à une augmentation de 2 °C d'ici à la fin du siècle. La hausse risque ...  "
28,2014-09-25,Les Echos,348mots,KARL DE MEYER,La RATP veut faire de Paris une vitrine des bus propres,"    A New York avec François Hollande et Anne Hidalgo pour le sommet  climat de l'ONU, mardi, Pierre Mongin a détaillé aux « Echos » ses projets très ambitieux pour le parc de bus ...  "
29,2014-11-07,Les Echos,555mots,YANN VERDO,"L'audace selon Jean-Louis Etienne, explorateur : ""Sortir de sa zone de confort""",    ...  le dogme du collège unique. On connaît votre engagement pour la lutte contre le réchauffement  climatique. Réclamezvous plus d'audace de la part des chefs d'Etat et de gouvernement ? Reconnaissons ...  
30,2014-12-02,Les Echos,561mots,,La Suède et la France cherchent à raffermir leurs liens,"        ...  que des objectifs communs comme la lutte contre la pauvreté, Ebola ou encore le réchauffement  climatique. Le souverain  qui ne joue aucun rôle politique dans son pays  participera d'ailleurs à un ...  "
31,2014-10-09,Les Echos,492mots,ANNE BAUER,Les eurodéputés adoubent l'essentiel de l'équipe Juncker,"    ...  candidats sur 27 étaient encore sur la sellette : Jonathan Hill (Services financiers), Miguel Arias Canete (Climat et Energie), Alenka Bratusek (Energie) et, en bloc, tous les prochains commissaires en charge de l ...  "
32,2014-11-03,Les Echos,12mots,,Trois conséquences du réchauffement climatique,        ... Trois conséquences du réchauffement  climatique  ...  
