,date,publication,words,author,title,intro
0,2018-12-11,Libération,1519mots,Aude Massiot,"Louisiane : «Ici, on ne croit pas au changement climatique»","    ...  préoccupé. Pourtant, dès qu'on lui demande s'il est inquiet des conséquences du réchauffement  climatique, son visage se durcit.  «Ici, les gens ne croient pas au changement  climatique, répondil d ...  "
1,2018-12-03,Libération,1151mots,Aude Massiot,"COP 24 : planète chaude, pays frileux","    ...  en sabrant le champagne comme le texte qui sauverait le monde des périls du changement  climatique, en décembre 2015. Pourtant, trois ans après la COP 21, certains dirigeants aux EtatsUnis, au ...  "
2,2018-12-17,Libération,1300mots,Aude Massiot,"Climat : un petit pas de plus, à défaut d'un grand bond","    Comme toujours, les conférences onusiennes sur le  climat aiment les effets dramatiques. Quand le coup de marteau du président de la COP 24, le secrétaire d'Etat polonais à l'Environnement, Michal ...  "
3,2018-09-08,Libération,1853mots,Coralie Schaub|Aude Massiot,Huit commandements pour endiguer les dérèglements,"    Nicolas Hulot l'a martelé en démissionnant avec fracas : pour enrayer la catastrophe  climatique en cours, la politique des «petits pas» ne suffira pas. C'est tout le système économique qu'il ...  "
4,2018-12-19,Libération,1054mots,Coralie Schaub,Notre affaire à tous : «Nous demandons la reconnaissance d'une faute»,"    ...  veulent intenter une action en justice contre l'Etat français pour  «inaction» face au changement  climatique. Votre action estelle une première ? Damien Carême, le maire de GrandeSynthe, dans le Nord ...  "
5,2018-10-08,Libération,1134mots,Coralie Schaub|Aude Massiot,Climat : des leviers pour voir le vert à moitié plein,"    ...  des capacités bien plus grandes que les technologies actuelles pour lutter contre le dérèglement du  climat ? Il suffirait de protéger les espaces naturels (forêts, océans, sols) pour qu'ils absorbent le CO2 ...  "
6,2018-09-11,Libération,623mots,Ioana Marinescu,Climat : à quand la taxe carbone ?,"    ... ce que les petits pas suffisent... la réponse, est non !» Pourquoi en eston arrivé là ? Parce que le  climat n'est pas une priorité pour les citoyens des pays riches.  ...  "
7,2018-09-08,Libération,1736mots,Coralie Schaub,"James Balog : «Quand vous observez le monde réel, le changement climatique devient évident»",    ...  ne s'appuyaient que sur des modèles informatiques et que leurs conclusions sur le changement  climatique n'étaient donc pas totalement fiables. Et j'étais lié par ce réflexe typiquement humain qui ...  
8,2018-12-26,Libération,1021mots,Margaux Lacroux,Climat : plant B pour l'agriculture,    ...  pratiquée pourratelle nourrir 10 milliards de personnes en 2050 ? Certainement pas. Le changement  climatique pourrait renverser le plateaurepas de l'humanité.  «Les sécheresses et inondations sont de plus en ...  
9,2018-12-06,Libération,1932mots,Aude Massiot,Climatique-fiction,"    ...  Katowice, en Pologne, pour discuter pendant deux semaines des moyens de lutter contre le changement  climatique. Cette conférence est la 24e menée sous l'égide des Nations unies.  «Nous connaissons l'enjeu ...  "
10,2018-12-17,Libération,892mots,Aude Massiot,«Penser une transformation écologique socialement juste»,"    ...  de la COP 24 organisée à Katowice en Pologne, le commissaire européen à l'Action  climatique, Miguel Arias Cañete, chef de la délégation de l'UE, assure avoir mené un rôle de ...  "
11,2018-12-24,Libération,1064mots,Christian Losson,«Un succès qui montre l'impatience citoyenne et l'urgence d'agir»,"    ...  on sentait dans la société cette envie de bouger, de se mobiliser contre le changement  climatique, cette lucidité bien plus grande que les dirigeants politiques. Mais de là à imaginer un tel ...  "
12,2018-10-04,Libération,1048mots,Catherine Calvet,Martine Tabeaud : «Plus que le climat ce sont les choix politiques qui compteront»,"    ...  France en 2050 ? Le trait côtier vatil évoluer sous les effets du changement  climatique ? Eclairage de Martine Tabeaud, géographe à l'université ParisI PanthéonSorbonne et spécialiste de climatologie ...  "
13,2018-12-15,Libération,738mots,Aude Massiot,"COP 24 : dans les tractations, l'argent reste le nerf de la guerre","    ...  du jargon technique et des buffets organisés dans les pavillons colorés des pays, un sommet  climat de l'ONU reste une histoire d'argent. A Katowice, en Pologne, où se tient la ...  "
14,2018-12-15,Libération,896mots,Aude Massiot,COP 24 : à la recherche des ambitions perdues,"    L'année 2018 devait être cruciale pour les négociations internationales sur le  climat. Pourtant, à la COP 24, quelques heures avant la fin officielle de cette conférence des Nations unies organisée à ...  "
15,2018-09-08,Libération,894mots,,Climat : «Nous en appelons aux décideurs politiques»,"        Nous sommes d'ores et déjà pleinement entrés dans le «futur  climatique». Hausse des températures moyennes et récurrence des chaleurs extrêmes, y compris dans le nord de notre hémisphère tout cet été ...  "
16,2018-09-10,Libération,3366mots,Coralie Schaub,Climat : «Que faut-il de plus pour agir ?»,"    ...  à la situation actuelle, qui est très dangereuse, car nous devons faire face au changement  climatique, à la corruption et à tous les autres maux qui assaillent la planète. Quand j'étais ...  "
17,2018-12-12,Libération,1513mots,Sarah Bakaloglou,"En Birmanie, le changement climatique remue ciel et terres","    ...  Il va falloir qu'on achète de l'eau cette année.» A cause du changement  climatique, lié aux activités humaines, les dépenses s'accumulent pour les agriculteurs de la Dry Zone. De ...  "
18,2018-12-26,Libération,1286mots,Margaux Lacroux,Climat : le café obligé de se cacher de la chaleur,"    ...  études :  «Quand on les applique au niveau agronomique, les modèles utilisés pour mimer le changement  climatique varient entre le scénario catastrophique, le grave et le relativement maîtrisable.» Mais prévient aussi :  «De façon ...  "
19,2018-10-08,Libération,1215mots,Aude Massiot,Le rapport glaçant du Giec,"    ...  à Incheon, en Corée du Sud, le Groupe d'experts intergouvernemental sur l'évolution du  climat (Giec) publie ce lundi un rapport très attendu sur le réchauffement mondial de 1,5°C ...  "
20,2018-12-24,Libération,831mots,Laure Equy,"Climat: la pétition cartonne, l'Etat atone","    ...  recours en justice engagé par quatre ONG contre l'Etat pour «inaction face au changement  climatique», est devenue haut la main la plus signée en France. Et il n'a fallu que ...  "
21,2018-12-06,Libération,1152mots,Aude Massiot,"Jayden Foytlin, justicière en herbe","    ...  son lit aux draps décorés de pingouins. Alors que ce samedi des marches pour le  climat se tiendront à travers le monde, l'adolescente trépigne. En 2015, alors âgée de 12 ans ...  "
22,2018-09-27,Libération,954mots,Aurélie Delmas|Julien Guillot|Clara Dealberto,Sur les pas de notre empreinte carbone,"    ...  de mesure scientifique, comme le mètre ou le kilo», débute Romain Poivet, chargé de mission  climat à l'Ademe. Cette unité permet de  «quantifier l'impact d'une activité ou d'un ...  "
23,2018-11-19,Libération,1130mots,Aude Massiot,Jean-Charles Hourcade : «Politiques environnementales et sociales sont encore pensées séparément»,"    ...  l'origine des manifestations du 17 novembre, la taxe carbone sur les carburants, ou Contribution  climat énergie (CCE), a été instaurée en 2015 par la loi sur la transition énergétique. Puis elle ...  "
24,2018-12-04,Libération,824mots,Ioana Marinescu,Un dividende carbone pour compenser la hausse du carburant,    ...  de serre. Les deux pays doivent passer à l'action pour lutter contre le changement  climatique en décourageant les émissions de carbone. Alors que la France est en pleine bataille autour des ...  
25,2018-09-08,Libération,1586mots,Aude Massiot,"Epidémies, canicules, inondations... voyage dans la France de 2030","    Les projections du Groupe d'experts intergouvernemental sur l'évolution du  climat (Giec) laissent entrevoir à l'humanité, si la bataille contre les émissions de gaz à effet de serre n'est ...  "
26,2018-10-03,Libération,1822mots,Laure Equy|Coralie Schaub,Changement climatique : «Les autres combats n'ont aucun sens si celui-là est perdu»,"    ... 'actrice Juliette Binoche un appel pour une action politique  «ferme et immédiate» face au changement  climatique, signé par 200 personnalités et publié en une du  Monde.  Quelques jours plus tard, invité du ...  "
