,date,publication,words,author,title,intro
0,2022-11-05,Le Monde,3064mots,Audrey Garric,"Antonio Guterres, voix ardente pour le climat","    Les formules chocs sur le  climat sont devenues sa marque de fabrique. L’ «alerte rouge pour l’humanité» , le dérèglement climatique qui atteint  « une portée destructrice inouïe»  ou la  «course contre la ...  "
1,2022-10-28,Le Monde,1288mots,Audrey Garric,"Pour le climat, «une année gâchée»","    ...  un nouvel avertissement pour les gouvernements, à dix jours de la conférence mondiale sur le  climat (COP27), qui se tiendra du 6 au 18 novembre à CharmElCheikh, en Egypte. Malgré ...  "
2,2022-11-05,Le Monde,1280mots,Mathilde Gérard,L’agriculture et l’alimentation oubliées,"    Achaque conférence mondiale sur le  climat, la critique est récurrente, émanant d’ONG, de scientifiques, et même d’institutions internationales?: dans les débats officiels, l’agriculture et l’alimentation sont reléguées au ...  "
3,2022-10-22,Le Monde,1262mots,Propos recueillis par Audrey Garric (à Paris) Propos recueillis par Audrey Garric (à Paris) et Thomas Wieder,"«Face au réchauffement, chaque Etat doit sortir de sa zone de confort»","    ...  qui rend plus difficile la lutte contre le changement climatique, avant la conférence mondiale sur le  climat (COP27), qui se tiendra, du 6 au 18 novembre, à Charm ElCheikh (Egypte).   ...  "
4,2022-12-10,Le Monde,1159mots,Rémi Barroux,Climat : les promesses non tenues du budget 2023,"    ...  en font le constat.  L’une, rédigée par l’Institut de l’économie pour le  climat (I4CE) et présentée jeudi 8 décembre lors d’une conférence tenue avec l’Institut du développement ...  "
5,2022-09-22,Le Monde,2776mots,Audrey Garric,"Valérie Masson-Delmotte, une climatologue au sommet","    ...  août, lui a encore fait franchir une nouvelle dimension médiatique. Cette combattante infatigable pour le  climat, à 50 ans, est devenue incontournable, en France comme à l’étranger. Depuis le début du ...  "
6,2022-09-22,Le Monde,880mots,Audrey Garric,Guterres plaide pour taxer les profits dans les énergies fossiles,"    ...  communes, comme le financement» , juge Laurence Tubiana, la directrice de la Fondation européenne pour le  climat. Les Etats sont attendus en priorité sur une question désormais incontournable dans les négociations  climat: celle ...  "
7,2022-11-05,Le Monde,1952mots,Audrey Garric,Une COP pour garder le climat au premier plan,"    ...  temps, jamais le contexte géopolitique n’aura été aussi tendu, reléguant la bataille pour le  climat au second plan. Tandis que les crises énergétique, alimentaire, de l’inflation et de la dette ...  "
8,2022-11-30,Le Monde,1535mots,Matthieu Goar,Macron et la ligne de crête de l’écologie,"    ...  ministériels, elle réapparaît depuis plusieurs mois, toujours en off, notamment lorsqu’il est question d’écologie et de  climat, un domaine sensible où de nombreux acteurs réclament des contraintes plus fortes.  ...  "
9,2022-11-17,Le Monde,1395mots,Audrey Garric,COP27 : des progrès ténus,"    Comme souvent à miparcours des conférences mondiales sur le  climat, le décalage est grand entre l’urgence climatique, martelée à longueur de discours, et la réalité des avancées. Après une semaine ...  "
