,date,publication,words,author,title,intro
0,2013-01-03,La Croix,552mots,PERRET Bernard,"Forum. Une année perdue pour la planète. Bernard Perret, économiste","  Aborder la question du  changement  climatique, c'est prendre le double risque de se répéter et de passer pour un troublefête. À quoi sert, en effet, de rabâcher mois après mois ..."
1,2013-01-09,La Croix,312mots,COMETTI Laure,Le sud-est de l'Australie en flammes,"  ...  le climatologue Hervé Le Treut, il est difficile d'imputer ces événements météorologiques ponctuels au  changement  climatique.  « Plusieurs travaux montrent qu'il existe un risque d'assèchement à long terme pour l ..."
2,2013-01-29,La Croix,139mots,,Les trois quarts des Français font confiance aux scientifiques de l'environnement,"...  en 2011 sur les Français et leur connaissance de l'environnement, ainsi que de l'effet  de  serre. Bien que leurs principales préoccupations soient liées à la situation économique, les Français sont ..."
3,2013-02-01,La Croix,533mots,YVOIRE Raphaëlle d',"Les Pays-Bas se souviennent de la menace des eaux. Bruxelles, de notre correspondante","  ...  ans après la catastrophe, le pays sait que la menace de l'eau demeure : le  réchauffement  climatique global en cours laisse monter le niveau des océans, tandis que le renforcement des digues ..."
4,2013-02-19,La Croix,724mots,SERGENT Denis,"Reportage. L'Arctique, de nouvelles chances, de nouveaux risques","  «L e  réchauffement  climatique est un fait »,  a répété Carl Bildt, ministre des affaires étrangères suédois et président du Conseil de l'Arctique, lors de l'ouverture de la conférence Frontières de ..."
5,2013-02-26,La Croix,254mots,REJU Emmanuelle,"Céline Sissler-Bienvenu, Directrice France et Afrique francophone du Fonds international pour la protection des animaux (IFAW) : « Il y [...]",  ... Or il y a urgence. La régression de la banquise  due au  réchauffement  climatique  menace très nettement la survie de l'espèce. Les difficultés d'accès aux ressources vitales diminuent déjà la ...
6,2013-03-15,La Croix,459mots,LIPIETZ Alain,"Crise, pour qui sonne le glas ?Alain Lipietz, économiste, ancien député européen écologiste (1)","  ...  Deal ! Il faut relancer l'activité par de nouveaux investissements économisant l'énergie, réduisant l'effet  de  serre, rétablissant une alimentation saine et de proximité... » Mais investir massivement dans les industries « vertes ..."
7,2013-03-27,La Croix,570mots,BOURBON Jean-Claude,Vertueux profit,"  ...  prévu par l'Union européenne pour 2020: réduire de 20 % les émissions de gaz à  effet  de  serre, porter à 20 % la part des énergies renouvelables et réaliser 20 % d'économies d ..."
8,2013-03-29,La Croix,677mots,REJU Emmanuelle,"ENTRETIEN. Laurence Tubiana, directrice de la chaire «développement durable» de Sciences-Po Paris : « Nous pouvons enfin sortir des débats [...]","  ...  la France veut respecter ses engagements européens et internationaux sur ses émissions de gaz à  effet  de  serre, la réduction de notre consommation énergétique est une nécessité. Les comparaisons internationales le montrent ..."
9,2013-04-05,La Croix,473mots,BOURG Dominique,"Une troisième Chambre, pour les enjeux environnementaux. Dominique Bourg, vice président de la Fondation pour la nature et l'homme (FNH)/Université [...]","  ...  de pertes. Ce sont là des effets indirects de nos émissions passées de gaz à  effet  de  serre. En décembre 2009, à la conférence des Nations unies de Copenhague, nous avons échoué ..."
10,2013-04-08,La Croix,288mots,BALDOS Raphaël,Béatrice Cornic affronte le réchauffement climatique,"  La montée des eaux liée au  réchauffement  climatique grignote le littoral. En Inde, près de 75 000 ha de terre sont dévorés chaque année par la mer. Pour endiguer les flots qui ..."
11,2013-04-12,La Croix,331mots,REJU Emmanuelle,Les multinationales aussi s'inquiètent du changement climatique,"  ...  appel commun pour que les ÉtatsUnis prennent la tête de la lutte contre le  changement  climatique, qui menace  « la santé et la prospérité »  de leur pays et de  « leurs familles ». « Nous ..."
12,2013-04-23,La Croix,85mots,,Les objectifs affichés,"...  du siècle: L'Union européenne s'est engagée à réduire ses émissions de gaz à  effet  de  serre de 20 % en 2020, 40 % en 2030 et 60 % en 2040. Une proposition de ..."
13,2013-04-23,La Croix,697mots,REJU Emmanuelle,Les politiques climatiques dans le creux de la vague,"  ...  finit pas d'éroder les politiques mises en place pour tenter de lutter contre le  changement  climatique.  « Nous sommes dans le creux de la vague »,  reconnaît l'économiste Emmanuel Guérin (Iddri), spécialiste ..."
14,2013-05-07,La Croix,681mots,,Courrier,"...  la pollution atmosphérique fait l'amalgame entre cette pollution et les émissions de gaz à  effet  de  serre (gaz carbonique, méthane, ...) que le protocole de Kyoto (cité par le commentaire) cherche à ..."
15,2013-05-16,La Croix,137mots,REMOND Alain,Bienvenue sur Terre,"  ... 'est passé icibas, pendant leur croisière spatiale, je suis leur homme. D'abord, le  réchauffement  climatique s'accélère, le taux de concentration de gaz à  effet  de  serre dans l'atmosphère ..."
16,2013-05-22,La Croix,383mots,BOURBON Jean-Claude,L'Europe de l'énergie est en panne,"  ...  Suez. Selon lui, la priorité qui est a été donnée à la lutte contre le  réchauffement  climatique est un  « échec » . Aujourd'hui, les VingtSept n'aborderont pas, par exemple, la question ..."
17,2013-05-23,La Croix,324mots,COCHEZ Pierre,Les Islandais maîtrisent l'obscurité,"  ...  pas non plus sacrifier nos étés. »  Mais les temps changent en Islande, comme ailleurs.  « Le  changement  climatique veut dire plus d'instabilité. L'été passé a été très chaud. Les fermiers du ..."
