,year,month,number
0,2013,1,2266
1,2013,2,1821
2,2013,3,1838
3,2013,4,1932
4,2013,5,1699
5,2013,6,1944
6,2013,7,1952
7,2013,8,1767
8,2013,9,1858
9,2013,10,2010
10,2013,11,1874
11,2013,12,1786
12,2014,1,2129
13,2014,2,1790
14,2014,3,1998
15,2014,4,1826
16,2014,5,1850
17,2014,6,1926
18,2014,7,1904
19,2014,8,1795
20,2014,9,2032
21,2014,10,2088
22,2014,11,1761
23,2014,12,2048
24,2015,1,2150
25,2015,2,1815
26,2015,3,2174
27,2015,4,2312
28,2015,5,2033
29,2015,6,2502
30,2015,7,2267
31,2015,8,2145
32,2015,9,2507
33,2015,10,2412
34,2015,11,2261
35,2015,12,2382
36,2016,1,2286
37,2016,2,2066
38,2016,3,2188
39,2016,4,2045
40,2016,5,2118
41,2016,6,2299
42,2016,7,1868
43,2016,8,1947
44,2016,9,2175
45,2016,10,2005
46,2016,11,2017
47,2016,12,2231
48,2017,1,2175
49,2017,2,1874
50,2017,3,2321
51,2017,4,1924
52,2017,5,2304
53,2017,6,2136
54,2017,7,1946
55,2017,8,1953
56,2017,9,2156
57,2017,10,2084
58,2017,11,2116
59,2017,12,2029
60,2018,1,2130
61,2018,2,1901
62,2018,3,2172
63,2018,4,1920
64,2018,5,1911
65,2018,6,2200
66,2018,7,1868
67,2018,8,1906
68,2018,9,2051
69,2018,10,2130
70,2018,11,2005
71,2018,12,2059
72,2019,1,2144
73,2019,2,1925
74,2019,3,2054
75,2019,4,2013
76,2019,5,2113
77,2019,6,1975
78,2019,7,2002
79,2019,8,1824
80,2019,9,2036
81,2019,10,2001
82,2019,11,1774
83,2019,12,1819
84,2020,1,2043
85,2020,2,1541
86,2020,3,1591
87,2020,4,1165
88,2020,5,1228
89,2020,6,1800
90,2020,7,1775
91,2020,8,1669
92,2020,9,2003
93,2020,10,1879
94,2020,11,1881
95,2020,12,2012
96,2021,1,2029
97,2021,2,1162
98,2021,3,1412
99,2021,4,1191
100,2021,5,1211
101,2021,6,1417
102,2021,7,1161
103,2021,8,1108
104,2021,9,1336
105,2021,10,1268
106,2021,11,1210
107,2021,12,1292
108,2022,1,1324
109,2022,2,1089
110,2022,3,1398
111,2022,4,1310
112,2022,5,1306
113,2022,6,1311
114,2022,7,1156
115,2022,8,1073
116,2022,9,1363
117,2022,10,1248
118,2022,11,1232
119,2022,12,1295
