,year,month,number
0,2013,1,5825
1,2013,2,5579
2,2013,3,5737
3,2013,4,5449
4,2013,5,4968
5,2013,6,5207
6,2013,7,3918
7,2013,8,2942
8,2013,9,4528
9,2013,10,4850
10,2013,11,4576
11,2013,12,4429
12,2014,1,4586
13,2014,2,4325
14,2014,3,4916
15,2014,4,4567
16,2014,5,4611
17,2014,6,4484
18,2014,7,3966
19,2014,8,3187
20,2014,9,4807
21,2014,10,5011
22,2014,11,4581
23,2014,12,4213
24,2015,1,4609
25,2015,2,4283
26,2015,3,4826
27,2015,4,4543
28,2015,5,4282
29,2015,6,4689
30,2015,7,3733
31,2015,8,2904
32,2015,9,4493
33,2015,10,4604
34,2015,11,4408
35,2015,12,4269
36,2016,1,4110
37,2016,2,4302
38,2016,3,4617
39,2016,4,4323
40,2016,5,4120
41,2016,6,4597
42,2016,7,3464
43,2016,8,3387
44,2016,9,4499
45,2016,10,4264
46,2016,11,4491
47,2016,12,4109
48,2017,1,4442
49,2017,2,4080
50,2017,3,4788
51,2017,4,4306
52,2017,5,4414
53,2017,6,4749
54,2017,7,3533
55,2017,8,3127
56,2017,9,4495
57,2017,10,4540
58,2017,11,4429
59,2017,12,4147
60,2018,1,4152
61,2018,2,4202
62,2018,3,4757
63,2018,4,4096
64,2018,5,4251
65,2018,6,4569
66,2018,7,3700
67,2018,8,3238
68,2018,9,4338
69,2018,10,4532
70,2018,11,4286
71,2018,12,3962
72,2019,1,4202
73,2019,2,3991
74,2019,3,4360
75,2019,4,4451
76,2019,5,4348
77,2019,6,4087
78,2019,7,3643
79,2019,8,3075
80,2019,9,4085
81,2019,10,4552
82,2019,11,4280
83,2019,12,3993
84,2020,1,4407
85,2020,2,4310
86,2020,3,4360
87,2020,4,3957
88,2020,5,3696
89,2020,6,4011
90,2020,7,3445
91,2020,8,2864
92,2020,9,4150
93,2020,10,4382
94,2020,11,3980
95,2020,12,3619
96,2021,1,3760
97,2021,2,3542
98,2021,3,4078
99,2021,4,3820
100,2021,5,3667
101,2021,6,4211
102,2021,7,3501
103,2021,8,2895
104,2021,9,4091
105,2021,10,3920
106,2021,11,3737
107,2021,12,3507
108,2022,1,3716
109,2022,2,3655
110,2022,3,4297
111,2022,4,3939
112,2022,5,3857
113,2022,6,3870
114,2022,7,3061
115,2022,8,2921
116,2022,9,3843
117,2022,10,3888
118,2022,11,3662
119,2022,12,3472
