,date,publication,words,author,title,intro
0,2013-01-05,Le Monde,401mots,Pierre Le Hir,"Avec le réchauffement, les tourbières se transforment en émetteurs de CO2","  ...  pourraient se comporter non plus en puits, mais en sources de CO2. Renforçant ainsi l'effet  de  serre au lieu de l'atténuer. C'est ce que montre pour la première fois ..."
1,2013-01-11,Le Monde,1066mots,"Propos recueillis par Marie-Béatrice Baudet, Denis Cosnard et Pierre Le Hir","Christophe de Margerie : « Le changement climatique, c'est sérieux... »","  ...  population mondiale, 2 % des énergies primaires consommées et 1,2 % des émissions de gaz à  effet  de  serre. François Hollande appelle à la création d'une communauté européenne de l'énergie. Y ..."
2,2013-01-16,Le Monde,324mots,P. L. H.,Transition énergétique : le clair-obscur de l'Académie,"  ...  la transition énergétique n'a de vrai sens qu'en regard des menaces que le  changement  climatique fait peser sur la planète. Or, devant les journalistes, M. Candel a fait état de ..."
3,2013-01-17,Le Monde,373mots,S. Fo.,"Les particules du diesel et des feux de bois, deuxième facteur du réchauffement",  ...  évaluation de la contribution des suies  ces particules carbonées produites par des combustions incomplètes  au  changement  climatique et parvient à un résultat saisissant. Selon Tami Bond (université de l'Illinois à Urbana ...
4,2013-01-23,Le Monde,604mots,Corine Lesnes,L'Amérique solidaire et égalitaire de M. Obama,"  ... 'égalité pour les homosexuels dans un discours d'investiture, ainsi que la lutte contre le  changement  climatique :  « Nous répondrons à la menace de  changement  climatique, sachant que ne pas le faire serait ..."
5,2013-01-23,Le Monde,198mots,,Fortes émanations de gaz « non toxique » dans une usine de Rouen,... (AFP.) Un surcoût de 700 milliards de dollars par an pour éviter les dégâts du  changement  climatique Le monde devrait dépenser 700 milliards de dollars (524 milliards d'euros) supplémentaires par an ...
6,2013-01-25,Le Monde,451mots,Philippe Escande,"Au Forum de Davos, la question des risques naturels ravive les enjeux du long terme","  ...  inégalités de revenus, la dérive des budgets et la hausse des émissions de gaz à  effet  de  serre. En termes d'impact, le risque le plus grave serait une faillite financière généralisée ..."
7,2013-02-08,Le Monde,670mots,Sylvain Cypel,M. Obama de nouveau face aux défis d'une politique écologique,  ...  l'arme réglementaire et l'EPA pour tenter de limiter les émissions de gaz à  effet  de  serre. Autre question : M. Obama maintiendratil son vieil engagement de  « créer 5 millions ...
8,2013-02-09,Le Monde,2019mots,Stéphane Foucart,Notre civilisation pourrait-elle s'effondrer ? Personne ne veut y croire,"  ...  et déterminant partiellement le tout, deux phénomènes globaux liés à nos émissions de gaz à  effet  de  serre : le  réchauffement  climatique et l'acidification des océans. L'humanité a donc devant elle ..."
9,2013-02-09,Le Monde,465mots,Stéphane Foucart,La résistance inattendue des glaces du Groenland,"  ...  n'est pas un analogue parfait du climat actuel, réchauffé par une augmentation de l'effet  de  serre. Une étude comparative publiée en 2011 dans  Climate of the Past , montre de grandes ..."
10,2013-02-09,Le Monde,328mots,S. Fo.,Changement climatique : près de soixante études par jour,  Vouloir rendre compte de la recherche sur le  changement  climatique est à la fois impossible et déprimant. Déprimant parce que la majorité des études publiées dressent un tableau assez sombre de l ...
