,date,publication,words,author,title,intro
0,2013-01-03,Le Parisien,214mots,F. M.,Une énergie deux fois plus polluante que le gaz naturel,"  ...  des principaux ennemis du climat. « Le charbon émet pratiquement deux fois plus de gaz à  effet  de  serre que le gaz naturel », explique Matthieu Orphelin, porteparole de la Fondation NicolasHulot ..."
1,2013-01-18,Le Parisien,237mots,N.R.,La chaufferie au bois de Stains montrée en exemple,"  ... Une réduction de 20% des gaz à  effet  de  serre De sa grande cheminée qui surplombe de plus de 20 m le centreville, aucun panache de fumée noire. « Elle est équipée ..."
2,2013-01-24,Le Parisien,89mots,,"La suie, accélérateur du réchauffement climatique",Les mauvaises nouvelles se succèdent dans la bataille contre le  réchauffement  climatique. On vient d'apprendre que la première décennie du XXIe siècle a été la plus chaude depuis le début des ...
3,2013-02-05,Le Parisien,353mots,FRÉDÉRIC MOUCHON,On chasse encore l'ours polaire,"  ...  n'est peutêtre que... la partie émergée de l'iceberg. Car, audelà du  réchauffement  climatique qui réduit comme peau de chagrin son territoire, l'ours polaire est aussi victime des ..."
4,2013-02-07,Le Parisien,85mots,,Il va moins pleuvoir à cause du réchauffement,"...  scientifiques n'étaient pas d'accord sur le sujet. La hausse des températures, due au  réchauffement  climatique planétaire, va bien entraîner une baisse des précipitations et une augmentation des sécheresses, assure une ..."
5,2013-02-07,Le Parisien,315mots,Christine Henry,Les écoles parisiennes font la chasse aux courants d'air,  ...  du développement durable. Paris veut en effet réduire de 30% l'émission de gaz à  effet  de  serre d'ici à 2020. Pour atteindre cet objectif qu'elle s'est fixé dans ...
6,2013-02-11,Le Parisien,568mots,Propos recueillis par Émilie Torgemen,L'invité de la semaine,"  ...  le secteur du bâtiment consomme 43% de l'énergie et produit 25% des gaz à  effet  de  serre. Vinci, l'un des leaders de la construction et des travaux publics, avec ses ..."
7,2013-02-11,Le Parisien,152mots,,En savoir plus,"...  de l'Ademe pour retrouver tous les petits et grands écogestes à appliquer au quotidien : <a href=""https://www.ademe.fr."" target=""_blank""> www.ademe.fr. Le site du WWF France pour calculer ses émissions de CO2 et savoir comment les réduire ..."
8,2013-02-11,Le Parisien,476mots,,Faire des économies en réduisant son bilan carbone,"...  de son habitat ou de son alimentation sur l'environnement, c'est possible. Différents gestes simples et souvent gratuits permettent de limiter le  réchauffement  climatique et de réaliser des économies substantielles.  ..."
9,2013-02-11,Le Parisien,213mots,,Le dico de l'éco,...  de vente de produits ou de services en fonction de la quantité de gaz à  effet  de  serre (GES) que leur utilisation génère. Le principal objectif de la mise en place d ...
10,2013-02-11,Le Parisien,161mots,,En librairie,"...  le pas chez les particuliers, les entreprises et auprès des pouvoir publics. Un exemple : le  réchauffement  climatique est devenu deux fois moins préoccupant pour les Français en deux ans. Cela dit, toutes ..."
11,2013-02-25,Le Parisien,118mots,F.M.,La mer plus haute de 20 cm depuis 1900,"  ...  de cette hausse des océans est lié au dilatement thermique de l'eau consécutif au  réchauffement  climatique, explique Anny Cazenave spécialiste du niveau des mers au CNRS. L'essentiel est dû à ..."
12,2013-03-14,Le Parisien,63mots,,Depuis quand la Terre n'a-t-elle pas connu un tel réchauffement climatique?,"...  contraire grimpé de 0,8 °C. De fait, notre planète devrait en ce moment être en train de se refroidir, en préambule d'une prochaine glaciation, contrariée par le  réchauffement  climatique.  ..."
13,2013-03-21,Le Parisien,332mots,,Le volcan islandais a fertilisé l'Atlantique,"...  tenants de la « géoingénierie », partisans de solutions aussi ambitieuses que risquées pour modifier le  réchauffement  climatique. Car favoriser la prolifération du phytoplancton aurait aussi pour effet d'accroître son appétit pour ..."
14,2013-04-03,Le Parisien,152mots,E.B.,"Trois promesses déjà tenues, une autre à moitié","  ... Réduire les gaz à  effet  de  serre. Hollande a promis que la France respectera ses engagements internationaux pour la réduction des émissions de gaz à  effet  de  serre (GES). Mais, selon de ..."
15,2013-04-04,Le Parisien,175mots,Stéphanie Hancq,Un prix Nobel en conférence à la fête du Climat,"  ...  samedi la fête du Climat pour amener chacun à réduire les émissions de gaz à  effet  de  serre. Jean Jouzel, climatologue et glaciologue reconnu, prix Nobel de la paix avec Al Gore ..."
16,2013-04-09,Le Parisien,95mots,,De plus en plus de turbulences en avion,"...  sièges... Les turbulences qui perturbent le vol des avions pourraient fortement augmenter en raison du  réchauffement  climatique, selon une étude publiée hier dans « Nature Climate Change » qui cible le corridor aérien au ..."
17,2013-04-13,Le Parisien,355mots,Frédéric Mouchon (avec Erwan Benezet),Et si on taxait la clim...,"  C'est l'un des paradoxes du  réchauffement  climatique. Pour supporter des étés toujours plus chauds, la climatisation est devenue aussi incontournable que le chauffage en hiver, au bureau comme à la ..."
18,2013-04-14,Le Parisien,422mots,frédéric mouchon,Les stations se mettent au vert,"  ...  massif de skieurs n'est pas sans conséquences sur la faune, la flore et... le  réchauffement  climatique. Car il faut bien transporter ces touristes, les chauffer, leur fournir de l'électricité et ..."
19,2013-04-25,Le Parisien,111mots,,Consultation des habitants,...  la région de Compiègne (ARC) mène un plan climat énergie territorial pour lutter contre le  changement  climatique en réduisant les émissions de gaz à  effet  de  serre et en développant les énergies ...
20,2013-05-03,Le Parisien,311mots,Erwan Benezet,Le réchauffement climatique en cause,"  ... Une zone mouvante « Le  réchauffement  climatique a pour effet d'éclater le vortex polaire (NDLR : tourbillon d'air froid en permanence audessus de l'Arctique), explique Guillaume Séchet, spécialiste français du ..."
21,2013-05-05,Le Parisien,379mots,frédéric mouchon,Le réchauffement climatique chamboule la planète vin,"  ...  chiantis de Toscane restent aujourd'hui des références mondiales incontournables. Mais, à la faveur du  réchauffement  climatique, de nouveaux vins produits outreRhin, dans le sud de l'Angleterre, au Danemark ou ..."
22,2013-05-07,Le Parisien,193mots,Nicolas Sivan,Réchauffement climatique : la lutte a déjà commencé,  ...  d'informer les acteurs locaux afin qu'ils prennent conscience de leur impact sur le  réchauffement  climatique et le réduise. Le CCE 77 dispose d'une arme pour parvenir à ses fins ...
23,2013-05-12,Le Parisien,339mots,Vincent Vérier,Le téléphérique arrive en ville,"  ...  et moins cher, le téléphérique urbain est devenu en période de crise et en plein  réchauffement  climatique le moyen de transport à la mode. De Brest à Toulouse en passant par Grenoble ..."
24,2013-05-16,Le Parisien,100mots,,Tables rondes sur les transports,...  transport qu'ils utilisent et comment les améliorer pour réduire les émissions de gaz à  effet  de  serre. Des représentants d'associations et des professionnels des transports débattront sur la façon de ...
25,2013-05-22,Le Parisien,204mots,nicolas sivan,Climat : le département gagnera jusqu'à 3 °C d'ici à 2100,"  ...  plaine aride battue par des vents brûlants dignes des meilleurs films postapocalyptiques. Malgré le  réchauffement  climatique, la SeineetMarne de l'an 2100 sera tout à fait vivable. Mais avec ..."
26,2013-05-23,Le Parisien,163mots,Stéphanie Forestier,"Compiègne, l'autre pays du fromage et du vin",  ...  ce grand rendezvous populaire ont décidé de s'engager dans la lutte contre le  réchauffement  climatique et la réduction de gaz à  effet  de  serre. L'accent sera donc mis sur ...
27,2013-06-20,Le Parisien,336mots,F.M.,« Il faut revoir la prévention des inondations »,"  ...  plus le niveau de l'eau. Les scientifiques ne peuvent pas lier ces événements au  réchauffement  climatique, mais il est indéniable que la France subit actuellement une accumulation de phénomènes météo extrêmes ..."
28,2013-07-11,Le Parisien,239mots,Marine Legrand,La Seine-et-Marne teste une route écologique,"  ...  Romier, président de LéaCo, la société responsable de l'expérimentation. Ce second procédé diminue de 13,2% les émissions de gaz à  effet  de  serre comparé à l'enrobé classique ».  ..."
29,2013-09-09,Le Parisien,311mots,Frédéric Mouchon,Pourquoi on (re)mesure le mont Blanc,"  ... Evaluer l'influence du  réchauffement  climatique Considérée comme « une base de données importante pour les générations futures », cette campagne de mesures en temps réel, à l'échelle centimétrique, est la septième opération ..."
30,2013-10-31,Le Parisien,66mots,,Moins d'avalanches grâce au réchauffement climatique,"Les études sur le  réchauffement  climatique affirment toutes que les montagnes, et notamment les Alpes, connaîtront moins d'enneigement au cours des décennies à venir. Effet inattendu de cette modification du climat ..."
31,2013-11-07,Le Parisien,101mots,,SOCIÉTÉ EXPRESS,"...  des pays occidentaux, le nombre d'hyperactifs identifiés a augmenté. La concentration des gaz à  effet  de  serre a enregistré de nouveaux records en 2012,  a déploré hier l'Organisation météorologique mondiale ..."
32,2013-11-12,Le Parisien,76mots,,L'ancien Prix Nobel de la paix à Corbeil,"...  du prix Nobel de la paix en 2007, animera ce soir une conférence dédiée au  changement  climatique, au cinéma Arcel de CorbeilEssonnes. A 19 heures, le filmdocumentaire « Une vérité qui ..."
33,2013-11-16,Le Parisien,278mots,D.L.,Les bâtiments publics trop énergivores,  ...  40% sur dix ans Même constat en ce qui concerne les émissions de gaz à  effet  de  serre. Alors que l'équipement idéal doit émettre moins de 5 kg de CO2/an ...
34,2013-11-19,Le Parisien,109mots,,Un plan local contre le changement climatique,Comment faire pour minimiser autant que possible l'empreinte de son territoire sur le  changement  climatique? C'est l'enjeu auquel souhaite répondre la communauté de communes de l'Arpajonnais qui présente ...
35,2013-12-01,Le Parisien,106mots,M.P.R.,L'atlas des émissions de CO2 en ligne,"  ...  ligne par le Global Carbon Project, groupe international de chercheurs spécialisés dans les gaz à  effet  de  serre. Ce Global Carbon Atlas* permet de remonter jusqu'en 1960 afin de se rendre ..."
36,2013-12-04,Le Parisien,91mots,,SOCIÉTÉ EXPRESS,"...  le sexe et l'âge de la victime, ainsi que l'espèce du crocodile. Le  réchauffement  climatique n'intéresse toujours pas la majorité des gens,  malgré une conscience des risques grandissante, s ..."
37,2013-12-16,Le Parisien,81mots,,Le changement climatique et ses impacts,"...  Laurent Bopp, s'interrogera sur le lien de causalité entre l'augmentation des gaz à  effet  de  serre et le  changement  climatique. Robert Vautard fera le point sur le  changement  climatique en ..."
38,2014-01-30,Le Parisien,397mots,Frédéric Mouchon,« Le gaz de schiste est devenu un atout écologique »,  ...  C'est étonnant pour une navigatrice plutôt écologiste de soutenir le développement de gaz à  effet  de  serre...  L'exploitation des gaz de schiste outreAtlantique est devenu un atout écologique car ...
39,2014-03-26,Le Parisien,194mots,F.M.,Les coquelicots témoins capitaux,"  LE  RÉCHAUFFEMENT  climatique ne se mesure pas qu'à la taille de la banquise arctique ou à l'élévation du niveau de la mer. Même en France, au coeur de nos campagnes ..."
40,2014-03-26,Le Parisien,330mots,Frédéric Mouchon,Le temps se détraque vraiment,"  ... Météo. Selon les experts, les tempêtes ou les chutes de neige tardives de 2013 sont bien liées au  réchauffement  climatique.  ..."
41,2014-03-30,Le Parisien,261mots,Frédéric Mouchon,Arbres : un inventaire très vert,"  ...  de l'Hexagone et d'outremer. Pour se préparer aux effets potentiellement dévastateurs du  réchauffement  climatique, qui pourraient affecter certains spécimens fragiles, le ministère de l'Agriculture a effectué un inventaire ..."
42,2014-04-01,Le Parisien,97mots,,Les experts de l'ONU alarmistes sur le climat,"LES CONSÉQUENCES du  réchauffement  climatique ne vont que s'aggraver faute d'un accord international contraignant pour limiter les gaz à  effet  de  serre, a averti hier le Giec (Groupe d'experts ..."
43,2014-04-03,Le Parisien,292mots,,Les microbes ont failli tuer toute vie,"COMPARÉ À LUI,  notre  réchauffement  climatique apparaît comme une aimable plaisanterie : il y a environ 252 millions d'années, la température était telle sur Terre  jusqu'à 50 ou 60 oC à ..."
44,2014-04-07,Le Parisien,129mots,,Réchauffement climatique : les pistes des experts,"APRÈS SON RAPPORT  alarmant, présenté il y a une semaine, sur l'impact du  réchauffement  climatique, le Giec, groupe d'experts de 195 pays de l'ONU sur l'évolution du climat ..."
45,2014-04-15,Le Parisien,281mots,Fl.G.,"Climat : pourquoi 2 oC, c'est important",  ...  achevé par le Groupe d'experts intergouvernemental sur l'évolution du climat (Giec) concernant le  réchauffement  climatique. « Ce que je trouve très positif dans l'évolution de l'état d'esprit des ...
