,year,month,number
0,2013,1,11031
1,2013,2,10472
2,2013,3,10138
3,2013,4,10220
4,2013,5,9334
5,2013,6,9432
6,2013,7,7933
7,2013,8,6852
8,2013,9,9530
9,2013,10,9984
10,2013,11,10181
11,2013,12,9313
12,2014,1,10110
13,2014,2,10568
14,2014,3,11902
15,2014,4,10221
16,2014,5,10300
17,2014,6,9897
18,2014,7,9709
19,2014,8,8029
20,2014,9,10624
21,2014,10,11019
22,2014,11,10427
23,2014,12,10297
24,2015,1,10189
25,2015,2,8172
26,2015,3,10755
27,2015,4,10003
28,2015,5,10081
29,2015,6,9871
30,2015,7,8836
31,2015,8,7437
32,2015,9,9787
33,2015,10,11003
34,2015,11,9635
35,2015,12,9793
36,2016,1,10097
37,2016,2,9629
38,2016,3,9533
39,2016,4,9356
40,2016,5,9596
41,2016,6,9774
42,2016,7,7785
43,2016,8,7789
44,2016,9,9435
45,2016,10,9767
46,2016,11,9258
47,2016,12,8307
48,2017,1,8670
49,2017,2,8337
50,2017,3,9836
51,2017,4,9663
52,2017,5,9840
53,2017,6,9809
54,2017,7,8051
55,2017,8,7666
56,2017,9,9369
57,2017,10,9758
58,2017,11,9599
59,2017,12,8515
60,2018,1,8988
61,2018,2,8403
62,2018,3,9408
63,2018,4,8740
64,2018,5,8911
65,2018,6,9173
66,2018,7,7972
67,2018,8,7596
68,2018,9,8603
69,2018,10,8782
70,2018,11,8678
71,2018,12,7816
72,2019,1,8466
73,2019,2,7940
74,2019,3,8607
75,2019,4,8014
76,2019,5,8265
77,2019,6,8109
78,2019,7,7166
79,2019,8,6632
80,2019,9,6317
81,2019,10,6009
82,2019,11,5756
83,2019,12,5387
84,2020,1,5796
85,2020,2,5631
86,2020,3,4621
87,2020,4,2856
88,2020,5,3224
89,2020,6,3420
90,2020,7,3270
91,2020,8,3422
92,2020,9,3594
93,2020,10,3565
94,2020,11,3321
95,2020,12,3267
96,2021,1,3327
97,2021,2,3217
98,2021,3,3507
99,2021,4,3396
100,2021,5,3423
101,2021,6,3623
102,2021,7,3162
103,2021,8,3022
104,2021,9,3322
105,2021,10,3367
106,2021,11,3346
107,2021,12,3320
108,2022,1,3262
109,2022,2,3045
110,2022,3,3158
111,2022,4,3333
112,2022,5,3056
113,2022,6,3326
114,2022,7,3079
115,2022,8,2804
116,2022,9,3122
117,2022,10,3215
118,2022,11,3256
119,2022,12,2876
