,year,month,number
0,2013,1,3503
1,2013,2,3349
2,2013,3,3600
3,2013,4,3470
4,2013,5,3129
5,2013,6,3567
6,2013,7,3350
7,2013,8,2500
8,2013,9,3426
9,2013,10,3878
10,2013,11,3171
11,2013,12,3174
12,2014,1,3489
13,2014,2,3341
14,2014,3,3583
15,2014,4,3285
16,2014,5,3107
17,2014,6,3217
18,2014,7,2944
19,2014,8,2249
20,2014,9,3606
21,2014,10,3713
22,2014,11,3011
23,2014,12,3276
24,2015,1,3389
25,2015,2,3274
26,2015,3,3652
27,2015,4,3344
28,2015,5,2812
29,2015,6,3602
30,2015,7,2970
31,2015,8,2457
32,2015,9,3550
33,2015,10,3400
34,2015,11,3236
35,2015,12,3138
36,2016,1,3188
37,2016,2,3414
38,2016,3,3552
39,2016,4,3117
40,2016,5,3166
41,2016,6,3490
42,2016,7,2678
43,2016,8,2509
44,2016,9,3442
45,2016,10,3339
46,2016,11,3259
47,2016,12,2983
48,2017,1,3480
49,2017,2,3149
50,2017,3,3725
51,2017,4,2870
52,2017,5,3198
53,2017,6,3474
54,2017,7,2640
55,2017,8,2367
56,2017,9,3144
57,2017,10,3337
58,2017,11,3211
59,2017,12,2850
60,2018,1,3171
61,2018,2,3003
62,2018,3,3380
63,2018,4,2966
64,2018,5,2955
65,2018,6,3184
66,2018,7,2632
67,2018,8,2303
68,2018,9,3048
69,2018,10,3462
70,2018,11,3148
71,2018,12,2865
72,2019,1,3118
73,2019,2,2981
74,2019,3,3093
75,2019,4,2685
76,2019,5,2563
77,2019,6,2465
78,2019,7,2442
79,2019,8,1917
80,2019,9,2716
81,2019,10,3009
82,2019,11,2518
83,2019,12,2447
84,2020,1,2720
85,2020,2,2530
86,2020,3,2611
87,2020,4,2248
88,2020,5,1884
89,2020,6,2390
90,2020,7,2056
91,2020,8,1774
92,2020,9,2617
93,2020,10,2578
94,2020,11,2369
95,2020,12,2388
96,2021,1,2358
97,2021,2,2327
98,2021,3,2679
99,2021,4,2388
100,2021,5,2223
101,2021,6,2536
102,2021,7,1934
103,2021,8,1869
104,2021,9,2499
105,2021,10,2496
106,2021,11,2288
107,2021,12,2428
108,2022,1,2309
109,2022,2,2105
110,2022,3,2520
111,2022,4,2110
112,2022,5,2225
113,2022,6,2321
114,2022,7,1836
115,2022,8,1805
116,2022,9,2414
117,2022,10,2304
118,2022,11,2257
119,2022,12,2201
