,year,month,number
0,2013,1,2292
1,2013,2,2184
2,2013,3,2161
3,2013,4,2221
4,2013,5,2146
5,2013,6,2251
6,2013,7,2288
7,2013,8,1981
8,2013,9,2137
9,2013,10,2430
10,2013,11,2294
11,2013,12,2178
12,2014,1,2205
13,2014,2,2056
14,2014,3,2281
15,2014,4,2118
16,2014,5,2330
17,2014,6,2251
18,2014,7,2222
19,2014,8,1948
20,2014,9,2196
21,2014,10,2197
22,2014,11,1994
23,2014,12,2052
24,2015,1,1819
25,2015,2,1686
26,2015,3,1772
27,2015,4,1692
28,2015,5,1779
29,2015,6,1708
30,2015,7,1593
31,2015,8,1456
32,2015,9,1606
33,2015,10,1725
34,2015,11,1573
35,2015,12,1678
36,2016,1,1625
37,2016,2,1492
38,2016,3,1595
39,2016,4,1633
40,2016,5,1626
41,2016,6,1648
42,2016,7,1462
43,2016,8,1453
44,2016,9,1690
45,2016,10,1616
46,2016,11,1447
47,2016,12,1509
48,2017,1,1469
49,2017,2,1455
50,2017,3,1619
51,2017,4,1383
52,2017,5,1569
53,2017,6,1573
54,2017,7,1451
55,2017,8,1365
56,2017,9,1513
57,2017,10,1475
58,2017,11,1390
59,2017,12,1445
60,2018,1,1468
61,2018,2,1385
62,2018,3,1611
63,2018,4,1398
64,2018,5,1572
65,2018,6,1585
66,2018,7,1369
67,2018,8,1335
68,2018,9,1395
69,2018,10,1474
70,2018,11,1376
71,2018,12,1410
72,2019,1,1450
73,2019,2,1338
74,2019,3,1480
75,2019,4,1345
76,2019,5,1545
77,2019,6,1433
78,2019,7,1453
79,2019,8,1402
80,2019,9,1398
81,2019,10,1513
82,2019,11,1455
83,2019,12,1371
84,2020,1,1436
85,2020,2,1498
86,2020,3,1226
87,2020,4,1019
88,2020,5,1073
89,2020,6,1067
90,2020,7,1149
91,2020,8,1100
92,2020,9,1091
93,2020,10,1182
94,2020,11,1061
95,2020,12,1043
96,2021,1,1132
97,2021,2,1070
98,2021,3,1183
99,2021,4,1124
100,2021,5,996
101,2021,6,1198
102,2021,7,1266
103,2021,8,1100
104,2021,9,1058
105,2021,10,1179
106,2021,11,1071
107,2021,12,1122
108,2022,1,1104
109,2022,2,1044
110,2022,3,1145
111,2022,4,1174
112,2022,5,1167
113,2022,6,1105
114,2022,7,1135
115,2022,8,1126
116,2022,9,1115
117,2022,10,1223
118,2022,11,1119
119,2022,12,1294
