,date,publication,words,author,title,intro
0,2015-02-20,La Croix,704mots,REJU Emmanuelle,L'agriculture s'engage prudemment pour le climat,"  ...  le chauffage, l'agriculture est en effet la troisième source d'émissions de gaz à  effet  de  serre en France, avec 20 % du total. Contrairement aux autres secteurs, l'agriculture émet très ..."
1,2015-03-27,La Croix,656mots,REJU Emmanuelle,"A Paris, trente maires européens s'engagent pour le climat","  ...  international doit permettre aux dirigeants de la planète de trouver un accord pour contenir le  réchauffement  climatique en deçà de 2 degrés d'ici à la fin du siècle,  a rappelé hier ..."
2,2015-02-03,La Croix,1086mots,SERGENT Denis,"Les sols, un trésor naturel malmené","  ...  et culturel (paysage), héberge un immense patrimoine génétique et régule l'émission des gaz à  effet  de  serre (CO2, méthane). Des fonctions qui, parfois, sont antagonistes. Toutefois, cet écosystème est soumis à ..."
3,2015-01-08,La Croix,731mots,REJU Emmanuelle,Une étude remet en cause l'utilisation des ressources fossiles,"  ... Pour avoir 50 % de chance de contenir le  réchauffement  climatique sous les 2 degrés d'ici à la fin du XXIe siècle, les émissions cumulées de CO2 entre 2011 et 2050 devront ..."
4,2015-02-02,La Croix,439mots,SERGENT Denis,"Le phénomène de La Niña, plus fréquent et plus fort","  Le  changement  climatique aurait une influence sur la fréquence et l'intensité du phénomène de La Niña, avec des conséquences sur l'Asie du SudEst et l'Amérique latine, selon une ..."
5,2015-02-28,La Croix,576mots,GREINER Dominique,Une situation d'urgence,"  ...  des dérèglements climatiques provoqués par l'industrialisation, les concentrations urbaines, la déforestation incontrôlée, les émissions de gaz à  effet  de  serre, l'usage de certains types de désherbants, les déchets industriels...  ..."
6,2015-03-07,La Croix,1112mots,BILLET Catherine,"Une aumône juste pour un climat apaisé. Catherine Billet, déléguée générale Pax Christi France","  ...  voit des hommes en souffrance mais il les voit dans une création en souffrance... Le  réchauffement  climatique, amorcé depuis le milieu du XXe siècle, n'est plus à démontrer. Beaucoup de mouvements ..."
7,2015-03-02,La Croix,570mots,DARDARD Marianne,Les Philippines et la France veulent dépasser le clivage Nord-Sud sur le climat,"  ...  réservés, à l'instar de Yeb Saño, ici figure emblématique de la lutte contre le  changement  climatique, mais aussi négociateur étonnamment absent de la délégation philippine lors du dernier sommet sur le ..."
8,2015-02-02,La Croix,669mots,DARDARD Marianne,Les Philippins vivent le dérèglement climatique au présent,"  ...  à la communauté internationale, cela peut aider à mobiliser davantage. Car sur la question du  changement  climatique, ces deux pays représentent deux situations et deux perceptions complémentaires  » ,  soutient Nicolas Hulot. Si aux ..."
9,2015-01-16,La Croix,114mots,,Vatican Le pape demande « plus de courage » aux États sur le réchauffement climatique,"...  dans une conférence de presse, alors qu'il était interrogé sur les dangers liés au  changement  climatique et les conséquences de certaines actions de l'homme comme la déforestation. Il a évoqué ..."
10,2015-02-20,La Croix,797mots,D'ABBUNDO Antoine,"ENTRETIEN. Bertrand Badré, directeur général de la Banque mondiale : « Le partenariat public-privé est une des clés du développement [...]","  ...  récemment par la Chine ou les ÉtatsUnis pour réduire leurs émissions de gaz à  effet  de  serre. Mon rôle, en tant que banquier mondial, est de créer les conditions du succès ..."
11,2015-03-23,La Croix,467mots,SERGENT Denis,La forêt amazonienne stocke moins bien le carbone,"  ...  de carbone qu'elle n'en rejette et contribue ainsi à limiter l'impact du  réchauffement  climatique. Ce phénomène est dû à la photosynthèse, un processus au cours duquel un végétal synthétise ..."
