,date,publication,words,author,title,intro
0,2016-05-14,Le Figaro,1038mots,,« La chimie a de belles perspectives de croissance »,"...  en première ligne pour fournir des produits permettant à ses clients de lutter contre le  réchauffement  climatique. Thierry Le Hénaff, PDG d'Arkema, fête les dix ans du premier chimiste français. Il ..."
1,2016-05-26,Le Figaro,194mots,,EN BREF,"... Trump nie le  changement  climatique mais s'en protège Le  changement  climatique ? « Un canular » , dit volontiers Donald Trump. Un golf irlandais qu'il a acquis en 2013 a pourtant déposé une demande ..."
2,2016-06-30,Le Figaro,509mots,"Court, Marielle",Climat et santé : une recherche en plein développement,"  ...  la signalisation en toxicologie de l'environnement lors d'une conférence sur « Santé publique et  réchauffement  climatique » , organisée à Paris par l'Association des journalistes de l'environnement. Un certain nombre de ..."
3,2016-07-23,Le Figaro,514mots,"Cherki, Marc",Des gaz à effet de serre sur la sellette,  ...  Mais le problème a été déplacé. Les HFC (hydrofluorocarbures) qui ont remplacé les CFC comme gaz pour les réfrigérateurs et les climatiseurs ont un gros impact sur l'effet  de  serre.   ...
4,2016-06-23,Le Figaro,194mots,"Vanlerberghe, Cyrille",EN BREF,"  Les villes contre le  changement  climatique Les deux principales alliances de villes de l'UE et dans le monde engagées dans la lutte contre le  changement  climatique se sont associées, créant le ..."
5,2016-07-12,Le Figaro,310mots,"Cheyvialle, Anne",La France va taxer les centrales à charbon,"  ...  lundi, ils préconisent de pénaliser les centrales à charbon, les plus émettrices en gaz à  effet  de  serre, et de privilégier au contraire la production au gaz.  La France compte actuellement treize ..."
6,2016-08-02,Le Figaro,332mots,"Court, Marielle",Des nuages toujours plus hauts,  ...  dizaine de kilomètres en altitude) se réchauffe en raison de l'augmentation des gaz à  effet  de  serre alors que la stratosphère (audessus de la troposphère jusqu'à environ 50 kilomètres ...
7,2016-06-27,Le Figaro,938mots,"Debray-Mauduy, Alyette","Patricia Ricard, la « petite-fille » de la Méditerranée","  ...  des heures durant parler des océans, de la biodiversité marine, des planctons ou encore du  réchauffement  climatique. Elle parle d'une voix douce, son discours est clair et concis, aussi limpide que ..."
8,2016-05-05,Le Figaro,1011mots,"Hidalgo, Anne, Bloomberg, Michael",Une nouvelle coalition pour la transition de nos villes,"  ...  avec laquelle cette croissance prendra forme, déterminera si nous pouvons éviter les pires impacts du  changement  climatique. Elle aura aussi des conséquences économiques et sanitaires majeures. Les villes conçues autour d'un ..."
9,2016-05-16,Le Figaro,506mots,"Roy, Soline",Les oiseaux migrateurs paient le prix du réchauffement,  ÉCOLOGIE  Comme une démonstration de l'effet papillon : le  changement  climatique dans les zones où se reproduisent les oiseaux migrateurs pourrait avoir de lourdes conséquences sur leur survie à l'autre bout ...
10,2016-05-27,Le Figaro,204mots,"Court, Marielle",Changement climatique et culture ne font pas bon ménage,"  La sécurité alimentaire dans le monde vit sous la menace du  changement  climatique, rappelle dans un rapport publié le 20 mai le programme des Nations unies pour l'environnement. L'agence de ..."
11,2016-07-13,Le Figaro,574mots,"Cherki, Marc",Du solaire pour fabriquer du froid,"  ...  méthode permet de s'affranchir des gaz réfrigérants qui ont un fort impact sur l'effet  de  serre. Mais comme de l'ammoniac, toxique même à très faible dose, est utilisé, les ..."
