,date,publication,words,author,title,intro
0,2019-01-30,Le Parisien - Paris ,191mots,,PROTHÈSES Le tribunal administratif de Montreuil (Seine-Saint-Denis),"... CLIMAT La Chine continue à émettre toujours plus de méthane, un gaz à  effet  de  serre qui participe au  réchauffement  climatique. En 2015, ses émissions ont été de 50 % supérieures à celles ..."
1,2019-02-27,Le Parisien - Paris ,497mots,,Sale temps pour les nuages,"Quand on parle de  réchauffement  climatique, ce n'est pas nécessairement à eux qu'on pense. Les nuages, pourtant, jouent un rôle clé dans la régulation de la température sur Terre. Dans ..."
2,2019-01-31,Le Parisien - Edition Principale ,414mots,Frédéric Mouchon,Neige et froid : il y a pire que nous,"  ...  manque pas une occasion de remettre en cause l'impact des activités humaines sur le  changement  climatique. « Dans la belle région du Midwest, les températures ressenties atteignent  51 oC, le plus froid ..."
3,2019-03-25,Le Parisien - Edition Principale ,889mots,,UN DÉBAT PARSEMÉ DE CONTRE-VÉRITÉS,Par Erwan Benezet Et émilie Torgemen Les diesels contribuentils plus au  réchauffement  climatique ? Sontils plus dangereux pour notre santé ? Pas toujours simple d'y voir clair dans ce débat inflammable ...
4,2019-02-26,Le Parisien - Paris ,113mots,,La Tunisie face au changement climatique,"II e Derniers jours pour aller admirer l'exposition « La Tunisie face au  changement  climatique » organisée à la mairie du II e (8, rue de la Banque) jusqu'à vendredi. Etudiante à ..."
5,2019-03-25,Le Parisien - Val de Marne,482mots,,Comment rendre le département plus vert et moins pollué ?,...  le conseil départemental du ValdeMarne a dévoilé ses pistes pour lutter contre le  réchauffement  climatique. Les élus ont ainsi adopté la semaine dernière le nouveau Plan climat air énergie de ...
6,2019-01-04,Le Parisien - Seine-et-Marne,327mots,,"« Avec le réchauffement climatique », des cigognes passent l'hiver ici","...  cigognes migrent vers l'Afrique du Nord ou l'Espagne en hiver mais avec le  réchauffement  climatique elles n'en ont plus besoin », confie Roland Seitre, directeur de l'association Hop ! Biodiversité ..."
7,2019-02-22,Le Parisien - Paris ,642mots,,ALLONS ENFANTS DE LA PLANÈTE...,"...  pluies les plus extrêmes dans le sudest de la France est directement liée au  changement  climatique, affirme le directeur de recherche au CNRS. Les inondations qui ont touché les bassins de ..."
8,2019-02-25,Le Parisien - Oise,158mots,,Comment lutter contre le réchauffement climatique,"...  organisent une réunion à Noyon pour présenter le diagnostic et les enjeux identifiés concernant le  réchauffement  climatique sur le secteur. Le territoire doit adopter, d'ici à la fin de l'année ..."
9,2019-03-07,Le Parisien - Oise,386mots,,Comment affronter le changement climatique,Nord COmpiégnois Par Alexis Bisson Et si les réponses au  réchauffement  climatique passaient d'abord par les territoires ? « C'est un enjeu à l'échelle globale dont les conséquences se feront ressentir ...
10,2019-03-16,Le Parisien - Paris ,525mots,,Les riches sont les plus gros pollueurs Conscience et impact environnementaux par classe sociale,"...  ce qu'on appelle son empreinte écologique , notamment à travers ses émissions de gaz à  effet  de  serre, dépend du revenu et des diplômes : les personnes qui disposent de fortes ressources et ..."
11,2019-02-15,Le Parisien - Edition Principale ,664mots,,Ils sèchent pour le climat,"...  climatique et social et la réduction de 4 % par an des émissions de gaz à  effet  de  serre dans le respect des accords de Paris. Chez lui à Vizille (Isère), Robin suit ..."
12,2019-01-02,Le Parisien - Edition Principale ,458mots,Frédéric Mouchon,Les canons à poudreuse au secours des stations,  ...  d'année en année du fait de la hausse du mercure. L'Observatoire pyrénéen du  changement  climatique estime que l'épaisseur de neige dans le massif pourrait diminuer de moitié et les ...
13,2019-01-23,Le Parisien - Val de Marne,296mots,M. Fr.,"Mais si, le territoire sert à quelque chose !","  ... (PCF), en opération communication lundi devant la presse. L Réduire les déchets et combattre le  réchauffement  climatique. L'objectif affiché est de réduire le volume de déchets collectés de 10 % à l ..."
