,date,publication,words,author,title,intro
0,2013-06-26,Les Echos,421mots,,La bonne manière de répondre au changement climatique,"Si le constat d'un  changement  climatique lié aux émissions de gaz à  effet  de  serre fait aujourd'hui l'objet d'un consensus (à de rares exceptions près), la manière de ..."
1,2013-06-24,Les Echos,909mots,YANN VERDO,Jusqu'où peut-on prévoir la météo ?,"  ...  un chapitre. Mais, au fait, quelle différence avec les fameuses projections du Giec sur le  réchauffement  climatique ? En effet, cellesci s'étendent jusqu'à la fin du siècle, soit un horizon ..."
2,2013-06-25,Les Echos,310mots,KARL DE MEYER,Obama veut réduire les émissions de CO2,  ... Le président lance un plan d'action contre le  changement  climatique.  ...
3,2013-08-26,Les Echos,479mots,DENIS FAINSILBER,Comment un argument écologique engendre un solide duopole,  ...  a demandé que les industriels fournissent un nouveau fluide réfrigérant doté d'un potentiel de  réchauffement  climatique (GWP) inférieur à un indice de 150 : ces derniers sont allés bien audelà de ...
4,2013-07-02,Les Echos,836mots,JACQUES HENNO,Va-t-on devoir manipuler le climat ?,"  ... Pour lutter contre les conséquences des gaz à  effet  de  serre, certains scientifiques proposent de modifier la nature. Mais, souvent, le remède pourrait être aussi grave que le mal.  ..."
5,2013-06-17,Les Echos,268mots,HERVé LE TREUT,Climat : ne mélangeons pas tout !,"  ...  la réponse de l'atmosphère aux activités humaines et à l'augmentation des gaz à  effet  de  serre : un phénomène encore récent, essentiellement initié dans les années 1950, dont la croissance se ..."
6,2013-05-24,Les Echos,1306mots,THIBAUT MADELIN,Quand l'Allemagne retourne au charbon_,"  ...  sonnette d'alarme, s'inquiétant ouvertement  « de l'augmentation de l'émission de gaz à  effet  de  serre, à cause notamment de l'utilisation plus fréquente du charbon » _ Par la voix de ..."
7,2013-07-04,Les Echos,400mots,PAUL MOLGA,"En dix ans, la planète a essuyé plus de 500 cyclones","  ...  à 2 °C sur vingt ans pour rester dans un cadre maîtrisé d'adaptation au  réchauffement  climatique. Pis : la hausse des températures s'est accélérée, augmentant de 0,17 °C sur cette ..."
8,2013-05-21,Les Echos,946mots,YANN VERDO,Stockage du CO2 : faut-il encore y croire ?,"  ... Vingt ans après sa mise au point, la séquestration géologique du carbone peine à se concrétiser. Un outil jugé pourtant indispensable pour lutter contre le  réchauffement  climatique.  ..."
9,2013-06-13,Les Echos,168mots,NICOLAS RAULINE,Cocotiers et effet de serre,"  ... 'objectif que s'est fixé le journaliste et écrivain français Julien BlancGras. Avec le  réchauffement  climatique et la montée du niveau des océans, plusieurs îles du Pacifique devraient disparaître d'ici ..."
10,2013-07-16,Les Echos,227mots,ANNE FEITZ,EDF et Alstom testent le captage de CO2 dans une centrale à charbon au Havre,  ... Réduire l'effet  de  serre Le démonstrateur devrait permettre de capter environ une tonne de CO2 par heure. Une douzaine d'ingénieurs issus des deux groupes travaillent sur ce projet. «  Ces tests ...
11,2013-05-13,Les Echos,347mots,JOEL COSSARDEAUX,Vers un seuil record du taux de CO2 dans l'air,"  ...  de l'état de dégradation avancée de l'atmosphère et de l'accélération de l'effet  de  serre qui va être émis. Dans le cours du mois, les scientifiques de la station ..."
12,2013-05-03,Les Echos,312mots,REJANE REIBAUD,Alexandre Naulot : « Il faut affecter les revenus au développement et à la lutte contre le changement climatique »,"  ...  pour affecter les revenus de ce projet au développement et à la lutte contre le  changement  climatique. Les pays en développement ont été durement frappés par la crise depuis 2008, dont le ..."
13,2013-08-06,Les Echos,286mots,JOEL COSSARDEAUX,Les Français toujours divisés sur le nucléaire,"  ...  les climatosceptiques » , note le CGDD. Chez les personnes qui doutent de la réalité du  changement  climatique, le solde d'opinions favorables à l'atome est positif de 7 points. Il est ..."
