,date,publication,words,author,title,intro
0,2022-12-31,Libération,1535mots,Par BENJAMIN LECLERCQ,"EN 2023, LE «CLIMAT LIBÉ TOUR» DONNE DE LA VOIE","  ...  communes, souvent très friandes de lotissements et d'infrastructures. A PARIS L'ADAPTATION URBAINE AU  CHANGEMENT  CLIMATIQUE Le  réchauffement  climatique est un poison mortel pour les villes. Paris est un cas d ..."
1,2022-10-18,Libération,815mots,Recueilli par MARGAUX LACROUX,«C'est l'exemple typique du greenwashing»,"  ...  marginales mises en avant par les organisateurs ne doivent pas faire oublier l'impact environnemental massif du Mondial, à l'heure où l'humanité tente de lutter contre le  changement  climatique.  ..."
2,2022-07-11,Libération,1726mots,Par François Carrel Envoyé spécial aux Deux-Alpes (Isère),SKI D'ÉTÉ Les Deux-Alpes dans la soupe au schuss,"  Le  changement  climatique auratil la peau du ski d'été ? La station des DeuxAlpes (Isère), dans le massif des Ecrins, a fermé dimanche son domaine dédié sur le glacier ..."
3,2022-11-18,Libération,2190mots,Recueilli par AURORE COULAUD Envoyée spéciale à Charm el-Cheikh,La COP est pleine pour les pays menacés,"  ...  Tandis que la création d'un fonds de compensation pour les pays les plus vulnérables face au  changement  climatique est discuté en Egypte, plusieurs experts directement concernés témoignent de l'urgence.  ..."
4,2022-10-27,Libération,916mots,MARINE BOURRIER,Les citoyens vivent le changement climatique «dans leur chair»,"  ...  et aux EtatsUnis, porte sur la perception des citoyens sur la lutte contre le  changement  climatique en amont de la COP 27, qui se tient des 7 au 18 novembre en ..."
5,2022-11-07,Libération,804mots,Par CAROLA KLOECK,Et si on finançait enfin l'action climatique des pays du Sud ?,"  ...  nouvel objectif financier pour soutenir les efforts d'«atténuation» (réduction des émissions de gaz à  effet  de  serre) et d'«adaptation» au  réchauffement  climatique, pour reprendre le vocabulaire des négociateurs. L'autre ..."
6,2022-05-05,Libération,1010mots,Par MARGAUX LACROUX,La France en état de sobriété,"  ...  pays est censé être sur une trajectoire de réduction de ses émissions de gaz à  effet  de  serre pour limiter le  réchauffement  climatique à 1,5°C. «Cela est le signe d ..."
7,2022-08-13,Libération,1473mots,Par MARGAUX LACROUX,La sécheresse vide au drame,"  ...  placé le bassin de l'Yser en situation de crise fin juillet. Aggravée par le  changement  climatique, la sécheresse his torique du sol est en train de s'étendre aux cours d ..."
8,2022-11-21,Libération,1809mots,Par AURORE COULAUD Envoyée spéciale à Charm el-Cheikh (Egypte),COP 27 Le sceau dans le vide,"  ...  dimanche un accord minimaliste, ne prévoyant pas de sortie des énergies fossiles. Mais la conférence aura permis d'instaurer un mécanisme d'aide aux Etats les plus vulnérables au  changement  climatique.  ..."
9,2022-08-19,Libération,1749mots,éraleXANDRE LÉCHENET et MARIE MAURISSE,De l'or noir plein les cheveux gris,"  ...  pays, place les cotisations des Français en Bourse dans des secteurs émetteurs de gaz à  effet  de  serre. Sous pression, l'institution fait mine d'agir sans vraiment changer de cap.  ..."
