date,publication,words,author,title,intro
2013-01-12,Le Figaro,620mots,Joseph Nye,Ce que sera le monde en 2030,"  ...  pour résoudre les problèmes dus à la croissance démographique, à l'urbanisation rapide et au  réchauffement  climatique ? Le rôle de l'Amérique dans l'avenir est aussi un facteur susceptible de changer ..."
2013-01-15,Le Figaro,362mots,Adèle SmithÀ New York À New York,Tollé aux États-Unis face à l'arrivée d'al-Jazeera,"  ...  qualifiée de  « terroriste »  par certains conservateurs, suscite un tollé aux ÉtatsUnis.  « Le gourou du  réchauffement  climatique Al Gore devient un riche hypocrite avec la vente de Current TV à Qatar Inc ..."
2013-01-25,Le Figaro,110mots,,[hervé guiriec...],"...  Bruno Julien, appelé à de nouvelles fonctions au sein de La Banque postale.  jacques lapouge  Changement  climatique Ambassadeur en Afrique du Sud et au Lesotho depuis 2009, l'Essec et énarque de ..."
2013-02-04,Le Figaro,1060mots,PROPOS RECUEILLIS PARPhilippe Gélie PROPOS RECUEILLIS PAR,"Joe Biden : « Avec la France, nos destins sont profondément entremêlés »","  ...  l'Afghanistan à la Libye, de l'Iran au Mali, de l'économie mondialisée au  changement  climatique, les ÉtatsUnis abordent les défis de notre époque ensemble avec la France. Alors que ..."
2013-02-14,Le Figaro,565mots,Laure MandevilleCorrespondante à Washington Correspondante à Washington,Barack Obama prend de front le Congrès,"  ...  battre pour un agenda aux ambitions multiples, sur l'emploi, le contrôle des armes, le  changement  climatique, l'éducation et l'immigration. Il l'a annoncé poliment, mais fermement mardi soir devant ..."
2013-02-21,Le Figaro,276mots,Sébastien Lapaque,BIBLIOTHÈQUE DES ESSAIS,"  ...  le rapport Global Trends 2030 n'a rien de secret, contrairement au document sur le  changement  climatique commandé par le Pentagone en 2003 et tardivement rendu public (voir  Rapport secret du Pentagone ..."
2013-03-01,Le Figaro,483mots,Marielle Court,CO2 et fonte des glaces : le passé livre ses secrets,  ...  hausse des températures avait précédé de près de 800 ans l'augmentation des gaz à  effet  de  serre dans l'atmosphère. Un décalage que les scientifiques expliquaient mal et qui représentait du ...
2013-03-09,Le Figaro,383mots,Frédéric de Monicault,L'atome civil victime des gaz de schiste,"  ...  Les spécialistes en parlaient encore avant Fukushima, dans le sillage de la lutte contre le  réchauffement  climatique  l'atome civil ne produisant pas d'émission de gaz à  effet  de  serre.  « Depuis ..."
2013-03-11,Le Figaro,390mots,,Science et société : la pire ignorance est celle qui est fabriquée,"QUE CROIRE ? Et qui croire ? Maladie de la vache folle, ondes électromagnétiques, sras,  changement  climatique, gaz de schiste... Les controverses sont encore nombreuses aujourd'hui. Pas plus sans doute qu'elles ne ..."
2013-03-29,Le Figaro,520mots,yves miserey,Hiver froid : la faute à la banquise arctique,  ...  de janvier et qui devrait encore se prolonger pendant plusieurs jours estil lié au  réchauffement  climatique ? Les épisodes neigeux exceptionnels qui ont balayé à plusieurs reprises le nord des continents américain ...
2013-04-11,Le Figaro,423mots,marielle Court mcourt@lefigaro.fr mcourt@lefigaro.fr,Les températures font une pause,"  ...  l'OMM (Organisation météorologique mondiale), mais le thermomètre plafonne. Or les émissions de gaz à  effet  de  serre responsables de la hausse des températures ont, elles, augmenté sans discontinuer. De nombreuses hypothèses ..."
2013-05-03,Le Figaro,482mots,Marielle Court mcourt@lefigaro.fr mcourt@lefigaro.fr - M. C.,Fonte record de la banquise arctique en 2012,"  ...  cette normale.  Hausse du niveau des océans Cette situation correspond à   «  un signe inquiétant du  changement  climatique » ,  estime Michel Jarraud, le président de l'organisation. Et si la variabilité naturelle du climat ..."
2013-05-22,Le Figaro,720mots,Capucine Petre @capucinepetreMexico @capucinepetre,"Mario Molina, vigie « écolo »","  ...  certainement la raison pour laquelle il poursuit sans répit son chemin de croix contre le  réchauffement  climatique, au lieu de profiter tranquillement d´une retraite sous le soleil mexicain. Professeur à l ..."
2013-05-23,Le Figaro,1105mots,PROPOS RECUEILLIS PAR Pierre Rousselin,Bill Clinton : « Pourquoi je suis optimiste pour l'avenir du monde »,"  ...  comme le Brésil et le Mexique, sont en croissance, réduisent les inégalités et combattent le  changement  climatique. La Chine et l'Inde sont aussi en croissance, mais les inégalités demeurent un problème ..."
2013-06-06,Le Figaro,544mots,,Année froide... à cause du réchauffement ?,"...  le prétendent les membres du Giec, à l'augmentation dans l'atmosphère des gaz à  effet  de  serre produits très largement par les activités humaines. Enfin, depuis l998, le climat a cessé ..."
2013-06-11,Le Figaro,203mots,FABRICE NODÉ-LANGLOIS,Une hausse du plein d'essence pour sauver la planète,  ...  l'organisme basé à Paris avertit qu'au rythme actuel des rejets de gaz à  effet  de  serre dans l'atmosphère nous nous acheminons vers une hausse moyenne du thermomètre de 5 ...
2013-06-15,Le Figaro,739mots,PROPOS RECUEILLIS PARMarc Mennessier @MarcMennessier PROPOS RECUEILLIS PAR @MarcMennessier,Bjorn Lomborg : « Le réchauffement climatique n'est pas la fin du monde »,"  ...  lequel il critique, chiffres à l'appui, l'alarmisme de certaines ONG. Considérant que le  changement  climatique est un problème qu'il faut régler de façon pragmatique, ce statisticien danois, professeur à ..."
2013-06-24,Le Figaro,72mots,,Obama prépare un plan contre le changement climatique,"Barack Obama va proposer mardi un plan d'action contre le  changement  climatique, dossier qu'il avait délaissé lors de son premier mandat. Le Congrès avait bloqué peu après son élection, en ..."
2013-06-26,Le Figaro,299mots,Marielle Court@MarielleCourt @MarielleCourt,Polluer l'atmosphère accentue la sécheresse,"  ...  du projet. Elles ont ainsi un effet dit « parasol » , inverse à celui des gaz à  effet  de  serre en renvoyant une partie du rayonnement solaire vers l'espace.   « Les particules peuvent réduire ..."
2013-06-26,Le Figaro,462mots,Maurin Picard @MaurinPicardNew York @MaurinPicard New York,Barack Obama s'attaque au changement climatique,"  ...  mardi, avant de s'envoler pour l'Afrique, un ambitieux plan d'action contre le  réchauffement  climatique, après des années de paralysie à Washington et de promesses électorales non tenues.  « Les Américains ..."
2013-06-26,Le Figaro,470mots,Maurin Picard @MaurinPicardNew York @MaurinPicard New York,Barack Obama s'attaque au changement climatique,"  ...  mardi, avant de s'envoler pour l'Afrique, un ambitieux plan d'action contre le  réchauffement  climatique, après des années de paralysie du processus décisionnel à Washington et de promesses électorales non ..."
2013-06-26,Le Figaro,326mots,anne de guigné @adeguigne @adeguigne,Climat : le signal d'alarme des assureurs,"  ... 'Association, l'étude des données historiques ne permet plus d'anticiper les risques futurs. Le  réchauffement  climatique s'accompagnant d'une multiplication d'événements extrêmes : ouragans, tempêtes, inondations, sécheresses, incendies de forêts ..."
2013-06-26,Le Figaro,367mots,PROPOS RECUEILLIS PARMarielle Court et Fabrice Nodé-Langlois PROPOS RECUEILLIS PAR,Connie Hedegaard : « Le climat est devenu un enjeu économique central »,"  ...  du Climat, Connie Hedegaard était à Paris lundi, invitée par le think tank EuropaNova. LE FIGARO.  La crise économique ne metelle pas entre parenthèses la lutte contre le  changement  climatique ?  ..."
2013-06-28,Le Figaro,503mots,Marielle Court @MarielleCourt @MarielleCourt,La technologie capable de refroidir la planète n'est pas née,"  CLIMATOLOGIE   Agir sur le climat afin de contrer le  réchauffement  climatique en cours. Certains en rêvent, pour les scientifiques cela relève plutôt du cauchemar. L'idée est pourtant alléchante et les techniques ..."
