date,publication,words,author,title,intro
2013-01-04,Les Echos,478mots,,Economie verte : méfions-nous des marchands de doute,"...  Leoni, que cite aussi M. Lecaussin, est un contestataire avéré de la lutte contre le  réchauffement  climatique. A écouter ces marchands de doute, il n'y aurait jamais de bon moment pour ..."
2013-01-10,Les Echos,619mots,,Les crises de l'après-crise,"...  l'euro et le « mur budgétaire américain » ont fait passer au second plan des périls bien plus grands : le  réchauffement  climatique, le déséquilibre des échanges mondiaux et l'accroissement des inégalités.  ..."
2013-01-15,Les Echos,730mots,,Risques : les scénarios noirs de Davos,"...  large a le mérite de mêler des sujets qui font fréquemment la une des journaux (réchauffement  climatique, déficits budgétaires_) et d'autres moins médiatisés (militarisation de l'espace, tempêtes électromagnétiques_). Interconnexion Surtout ..."
2013-01-23,Les Echos,252mots,,De l'utilité des académies,"...  comme « rationnelle » et non « émotionnelle ». Elle relativise à ce titre le rôle des gaz à  effet  de  serre sur le  réchauffement  climatique, sans nier son caractère de gaz polluant, ce qu'on ..."
2013-01-23,Les Echos,273mots,,Obama a surpris par un discours très à gauche,"...  libéraux » de ses partisans. Plusieurs thèmes ont été mis en avant. la lutte contre le  changement  climatique « Nous répondrons à la menace du  changement  climatique, car ne pas le faire serait une ..."
2013-02-12,Les Echos,769mots,KARL DE MEYER,L'élan d'Obama à l'épreuve d'un Congrès bloqué,"  ...  même que les chargeurs de grande capacité. Il y a aussi la lutte contre le  changement  climatique. Dans ce cas, il n'y a pas encore de proposition sur la table, mais ..."
2013-02-19,Les Echos,42mots,JULIE CHAUVEAU,Gaz à effet de serre : les collectivités en retard,  ...  de plus de 50.000 habitants ont réalisé le bilan des émissions de gaz à  effet  de  serre lié à leur patrimoine et aux services qu'elles offrent. Un bilan qu'elles ...
2013-02-20,Les Echos,208mots,MATTHIEU QUIRET,Bilan carbone : les entreprises en retard,  Le bilan des gaz à  effet  de  serre n'est pas encore rentré dans les moeurs des entreprises. L'association Bilan Carbone a révélé en début de semaine que seules 45 % des ...
2013-02-22,Les Echos,622mots,BENOIT GEORGES,"Attention, futur dangereux","  ...  la scène avec « L'Insoutenable Vérité » : un livre et un film pour alerter sur le  réchauffement  climatique qui connurent un succès planétaire, couronnés par un prix Nobel de la paix en 2007 ..."
2013-02-25,Les Echos,312mots,KARL DE MEYER,Obama nomme son équipe environnementale,"  ... Le président s'apprête à pourvoir deux postes importants pour la lutte contre le  réchauffement  climatique, une des priorités de son second mandat.  ..."
2013-03-11,Les Echos,139mots,PAUL MOLGA,Qui du CO2 ou de la température augmente en premier ?,  Encore un argument des climatosceptiques qui vole en éclat : les gaz à  effet  de  serre seraient bien l'une des causes les plus probables du  changement  climatique subi par le pôle ...
2013-03-20,Les Echos,420mots,MATTHIEU QUIRET,Eiffage teste un fonds carbone sur la LGV,  ...  constructeur de choisir et financer des solutions de génie civil ou d'équipements offrant un  effet  de  serre réduit mais plus coûteux. «  Le fonds est un procédé unique qui a pour premier ...
2013-03-28,Les Echos,293mots,ANNE BAUER,Climat : Bruxelles veut redoubler d'effort,"  ...  à accepter de négocier au niveau international des objectifs chiffrés de diminution de gaz à  effet  de  serre, elle entend en proposer de nouveaux à l'horizon 2030 pour rester en tête ..."
2013-04-18,Les Echos,395mots,JOEL COSSARDEAUX,L'objectif de limiter le réchauffement climatique risque fort de partir en fumée,  ...  face. Il est d'autant plus élevé que près des deux tiers des gaz à  effet  de  serre émis dans le monde sont dus au CO2 issu du secteur de l'énergie ...
2013-04-18,Les Echos,756mots,LUCIE ROBEQUAIN,L'Amérique tiraillée entre écologie et croissance,"  ...  quantités d'eau et d'énergie. Son extraction rejette trois fois plus de gaz à  effet  de  serre que les hydrocarbures dits « conventionnels ». Si le président Obama rejetait l'oléoduc, il serait ..."
2013-04-23,Les Echos,863mots,,Les vignes seront-elles les prochaines victimes du changement climatique ?,"...  a truffés de capteurs pour mesurer ces variations. Pourtant, personne ne conteste la réalité du  changement  climatique. En Afrique du Sud, où l'on cultive la vigne depuis les huguenots, on plante ..."
2013-04-25,Les Echos,400mots,JOEL COSSARDEAUX|ANNE FEITZ,Transition énergétique : le Medef monte au créneau,"  ...  parmi les meilleurs élèves de la classe en matière d'émissions.  « La lutte contre le  réchauffement  climatique ne doit pas être l'objectif essentiel du débat »,  atil souligné. Ces prises ..."
2013-04-26,Les Echos,388mots,JOEL COSSARDEAUX,Les Français polluent l'air à peine moins qu'il y a trente ans,"  ...  ménages en combustibles est passée de 14 à 24 %.  « Globalement, les émissions de gaz à  effet  de  serre liées au logement sont devenues minoritaires (47 %) » , observe l'Insee. Précision importante : son étude ..."
2013-05-03,Les Echos,312mots,REJANE REIBAUD,Alexandre Naulot : « Il faut affecter les revenus au développement et à la lutte contre le changement climatique »,"  ...  pour affecter les revenus de ce projet au développement et à la lutte contre le  changement  climatique. Les pays en développement ont été durement frappés par la crise depuis 2008, dont le ..."
2013-05-13,Les Echos,347mots,JOEL COSSARDEAUX,Vers un seuil record du taux de CO2 dans l'air,"  ...  de l'état de dégradation avancée de l'atmosphère et de l'accélération de l'effet  de  serre qui va être émis. Dans le cours du mois, les scientifiques de la station ..."
2013-05-21,Les Echos,946mots,YANN VERDO,Stockage du CO2 : faut-il encore y croire ?,"  ... Vingt ans après sa mise au point, la séquestration géologique du carbone peine à se concrétiser. Un outil jugé pourtant indispensable pour lutter contre le  réchauffement  climatique.  ..."
2013-05-24,Les Echos,1306mots,THIBAUT MADELIN,Quand l'Allemagne retourne au charbon_,"  ...  sonnette d'alarme, s'inquiétant ouvertement  « de l'augmentation de l'émission de gaz à  effet  de  serre, à cause notamment de l'utilisation plus fréquente du charbon » _ Par la voix de ..."
2013-06-13,Les Echos,168mots,NICOLAS RAULINE,Cocotiers et effet de serre,"  ... 'objectif que s'est fixé le journaliste et écrivain français Julien BlancGras. Avec le  réchauffement  climatique et la montée du niveau des océans, plusieurs îles du Pacifique devraient disparaître d'ici ..."
2013-06-17,Les Echos,268mots,HERVé LE TREUT,Climat : ne mélangeons pas tout !,"  ...  la réponse de l'atmosphère aux activités humaines et à l'augmentation des gaz à  effet  de  serre : un phénomène encore récent, essentiellement initié dans les années 1950, dont la croissance se ..."
2013-06-24,Les Echos,909mots,YANN VERDO,Jusqu'où peut-on prévoir la météo ?,"  ...  un chapitre. Mais, au fait, quelle différence avec les fameuses projections du Giec sur le  réchauffement  climatique ? En effet, cellesci s'étendent jusqu'à la fin du siècle, soit un horizon ..."
2013-06-25,Les Echos,310mots,KARL DE MEYER,Obama veut réduire les émissions de CO2,  ... Le président lance un plan d'action contre le  changement  climatique.  ...
