date,publication,words,author,title,intro
2013-01-04,Libération,444mots,Eliane Patriarca|Recueilli par Éliane Patriarca,«Le Rhône devrait perdre 30 % de son débit d'ici à 2050»,  ...  cause : le quart sudest de la France est la région la plus sensible au  changement  climatique. Des pénuries d'eau sont déjà observées sur 40% de son territoire et le Rhône ...
2013-01-19,Libération,705mots,Lilian Alemagna,"«Je m'occupe de la lutte contre le changement climatique, c'est inutile ?»","  ...  ministère du Développement, de continuer ce qu'il avait commencé comme eurodéputé d'Europe Ecologieles Verts (EELV) : la lutte contre le  réchauffement  climatique et celle contre les paradis fiscaux.  ..."
2013-01-23,Libération,561mots,Sylvestre Huet,"Consommation électrique, le jus 2012","  ...  des objectifs de la transition énergétique, l'action pour diminuer les émissions de gaz à  effet  de  serre, responsables du  réchauffement  climatique. Or, avec 74,8% de nucléaire, 11,8% d'hydraulique ..."
2013-01-25,Libération,903mots,Sylvestre Huet,Le climat aussi a ses humeurs,"  ...  records de 2010. Ces coups durs de la météo ne peuvent être tous reliés au  changement  climatique, mais le glissement progressif des températures estivales augmente le pourcentage d'étés chauds au détriment ..."
2013-02-04,Libération,735mots,Anne Denis,Michel Rocard: «l'Arctique est géré comme un syndic de propriété»,"  ...  cadre juridique international protecteur, au moment où la fonte des glaces s'accélère. Avec le  réchauffement  climatique, les terres gelées (le pergélisol) se ramollissent et les constructions s'enfoncent, contraignant des dizaines ..."
2013-02-14,Libération,649mots,Lorraine Millot|Par Lorraine Millot Correspondante à Washington,"Obama, un discours plein aux actes","  ...  fiscale, relèvement du salaire minimum, réforme de l'immigration, contrôle des armes, lutte contre le  changement  climatique... «Let's get it done !»  («Faitesle !), a scandé le Président tout au long de ..."
2013-02-18,Libération,312mots,Philippe Brochen,Des pets de vache qui valent leur pesant d'euros,  ...  tour de force de réunir des journalistes pour leur expliquer que la lutte contre le  réchauffement  climatique passait par la réduction des pets de vaches. Le méthane émis par les éruptions et ...
2013-03-01,Libération,899mots,Sylvestre Huet,Une vue plongeante sur les eaux,"  ...  millimètres par an, soit plus de 6 centimètres en vingt ans.  «Un résultat direct du  changement  climatique, par la dilatation thermique de l'eau et la diminution du volume de glaces continentales ..."
2013-03-01,Libération,655mots,Christian Losson,"Le diesel, vers la fin du privilège fiscal","  ...  émet un peu moins de CO2 et permet de mieux lutter contre les gaz à  effet  de  serre ? Mais il a fait dépenser 1,5 milliard aux contribuables via un bonus écologique ..."
2013-03-08,Libération,387mots,Sylvestre Huet,L'effet de serre rattrape le sommet climatique de l'holocène,"  ...  depuis quarante ans, est attribué par les climatologues à l'injection massive de gaz à  effet  de  serre par l'usage de charbon, du gaz naturel, du pétrole et de la déforestation ..."
2013-03-22,Libération,633mots,Laure Noualhat|Recueilli par Laure Noualhat,«Nos gouvernants choisissent d'autres priorités que le climat»,"  ...  qui mettent à jour l'importance de ces sujets  celles du Parlement allemand sur le  réchauffement  climatique et la violence ou, plus récemment, celle du Centre américain pour le progrès sur les ..."
2013-04-02,Libération,719mots,Coralie Schaub|Recueilli par Coralie Schaub Photo Roberto Frankenberg,Delphine Batho: «L'Allemagne n'est pas mon modèle»,"  ...  Français. Changer pour être plus vertueux au plan social, économique et écologique. La question du  réchauffement  climatique est centrale. L'enjeu est aussi de renouer avec la maîtrise publique du bien essentiel ..."
2013-04-02,Libération,1164mots,Coralie Schaub|Par Coralie Schaub,Transition énergétique: l'heureux mix,"  ...  vers une société sobre en carbone est un impératif,  prévient le climatologue Jean Jouzel.  Le  changement  climatique se met hélas en place. Il faut faire des efforts maintenant pour éviter des conséquences ..."
2013-04-02,Libération,696mots,Christian Losson|Recueilli par Christian Losson Photo Bruno Charoy,Développement : «N'attendons pas que la force militaire démine ces enjeux»,"  ...  Il n'y a pas non plus de plans sérieux pour limiter les conséquences du  changement  climatique, qui risque d'entraîner des déplacements massifs de populations. La hausse continue des prix des ..."
2013-04-05,Libération,978mots,Sylvestre Huet,Sueur froide sur le refroidissement,  ... L'idée semble simple et bonne. La Terre se réchauffe ? Ce  changement  climatique est provoqué par nos émissions massives de gaz à  effet  de  serre ? C'est un problème car nous ne ...
2013-04-08,Libération,21mots,Jean-Christophe Féraud,Le chiffre. 85 % de réduction de gaz à effet de serre,  85 % CuveC'est la réduction de gaz à  effet  de  serre promise par le biocarburant à base d'éthanol de marc de raisin développé par Raisinor France.  ...
2013-04-08,Libération,908mots,Laure Noualhat,L'alimentation réveille son côté bestiole,"  ...  protéines équivalent, la production d'insectes émet cinq à sept fois moins de gaz à  effet  de  serre qu'un élevage de boeuf et requiert dix fois moins de terres arables.  «Et ..."
2013-04-22,Libération,263mots,Gabriel Siméon,"Gaz à effet de serre, nouveau constat sévère","  ...  moyenne, depuis 1990 ! Et pour cause : le CO2 issu des centrales thermiques à gaz ou au charbon constitue encore près de 60% des émissions planétaires de gaz à  effet  de  serre...  ..."
2013-04-22,Libération,768mots,Guillaume Maincent,Quatre pistes pour mettre les avions au régime,"  ...  6 000 tonnes de kérosène ou une réduction de 20 000 tonnes de gaz à  effet  de  serre»,  indique l'Onera, le centre français de recherche aérospatiale. Le vieil A300 ne comporte ..."
2013-04-26,Libération,282mots,Christophe Alix,Une facture énergétique à diviser par deux,"  ...  et du nucléaire afin, notamment, de respecter ses engagements en matière de lutte contre le  réchauffement  climatique, comme l'avait promis le candidat Hollande. Pour le comité des experts du forum, l ..."
2013-05-06,Libération,309mots,Iris Deroeux,"Pour Bill McKibben, c'est pas tous les jours fossiles","  ...  militant ne rate pas une occasion de dénoncer les dégâts des émissions de gaz à  effet  de  serre et de l'usage extensif du pétrole, du charbon et du gaz. Au point ..."
2013-05-17,Libération,920mots,Sylvestre Huet,«Tara» fait le tour du Nord,"  ...  mers froides, peut envisager un tel périple en un seul été, c'est grâce au  changement  climatique provoqué par nos émissions massives de gaz à  effet  de  serre. Charbon, gaz et pétrole ..."
2013-05-31,Libération,916mots,Sylvestre Huet,Le climat a un grain,"  ... 'évolution climatique en cours depuis cinquante ans, provoquée par nos émissions massives de gaz à  effet  de  serre. Ce diagnostic demeure incertain. Essentiellement du fait des émissions futures, qui ne sont pas ..."
2013-06-21,Libération,951mots,Eliane Patriarca,Mont-Blanc Encore blanc dans cent ans ?,"  ...  l'Atlas scientifique du MontBlanc ouvre une fenêtre sur le futur du massif.  «Le  réchauffement  climatique, on en parle beaucoup, mais cela reste abstrait, indique Anne Delestrade, écologue fondatrice du Crea ..."
2013-06-27,Libération,419mots,Christian Losson,Plan climat : Obama refroidit le charbon,"  ...  d'émissions de CO2 pour les centrales au charbon, qui dégagent 40% des gaz à  effet  de  serre (GES) du pays. Une mesure destructrice d'emplois et affaiblissant une économie convalescente, ont ..."
2013-06-29,Libération,1002mots,Ludovic Perrin,Pas d'étoiles à minuit une,"  ...  les brûler, comme j'étais habile à saisir les ailes d'un papillon. Face au  réchauffement  climatique et à la déforestation, on échafaude des tas de scénarios, sans voir la petite flèche ..."
2013-07-05,Libération,428mots,Sylvestre Huet,Qui nettoie le ciel récolte la tempête,"  ... 'on considère les controverses entre chercheurs sur l'évaluation du risque que représente sur ce point le  changement  climatique en cours, certains s'inquiétant de tempêtes plus fortes et plus fréquentes.  ..."
2013-08-20,Libération,630mots,Michel Henry,"La planète se réchauffe, le Bangladesh se noie","  Quel sera l'impact du  changement  climatique au Bangladesh, où deux tiers des terres ne dépassent pas les 5 mètres audessus du niveau de la mer ? Nul ne le sait vraiment ..."
2013-08-30,Libération,362mots,Sylvestre Huet,Le Pacifique dirige le temps,"  ...  était vu comme un retardateur du bouleversement provoqué par nos émissions massives de gaz à  effet  de  serre. Sur un an ou deux, savaiton, il rivalise avec les éruptions volcaniques stratosphériques ..."
2013-09-06,Libération,1084mots,Pascal BRUCKNER,"Ecologie, le nouveau catéchisme de l'austérité","  ...  milliards d'êtres humains ? Tout est dit dans cet article, par ailleurs très contesté : le  changement  climatique est avant tout une arme pour punir le genre humain et l'amener à faire ..."
2013-09-10,Libération,556mots,Noël Mamère,Bruckner et le bréviaire des écolophobes,  ...  pour échapper au goulag vert. Refrain bien connu sur une  «élite dictatoriale»  qui ferait du  réchauffement  climatique  «une arme pour punir le genre humain» !  Que de poncifs et lieux communs qui tournent ...
2013-09-10,Libération,1327mots,Cécile DAUMAS|Recueilli par Cécile Daumas,«Nous vivons toujours dans la mystique de la croissance»,  ...  accès à des moyens convenables d'existence de réduire leur consommation au nom d'un  changement  climatique susceptible d'intervenir en 2050. Il faut reconnaître de surcroît le caractère addictif et profondément ...
2013-09-12,Libération,656mots,Coralie Schaub,"Fiscalité verte, explication de taxe","  ...  sertelle ? La fiscalité verte consiste à taxer davantage les activités polluantes ou contribuant au  changement  climatique. En appliquant le principe «pollueur payeur», pour, in fine, orienter les comportements et réduire les ..."
2013-09-12,Libération,642mots,Pascal Canfin|Par Pascal Canfin Ministre chargé du Développement (Europe Ecologie-les Verts),"L'écologie, une nouvelle prospérité",  ...  les lobbys industriels quels que soient les sujets. Les groupes qui nient aujourd'hui le  réchauffement  climatique utilisent les mêmes arguments que ceux qui niaient hier le caractère cancérigène de la cigarette ...
2013-09-20,Libération,1266mots,Sylvestre Huet,«La décennie 2000 est la plus chaude»,"  ...  d'années. Pour la période actuelle, l'évolution due à nos émissions de gaz à  effet  de  serre est d'environ 0,10,2° C par décennie sur la moyenne planétaire ..."
2013-09-23,Libération,608mots,Sylvestre Huet,Le Giec sort sa science,"  ... 'hui et surtout demain, en fonction de sa perturbation par les émissions de gaz à  effet  de  serre. Un retour du climat sur l'agenda international, alors que la crise financière et ..."
2013-09-23,Libération,589mots,Sylvestre Huet|Recueilli par Sylvestre HUET,«La géo-ingénierie est le sujet le plus controversé»,"  ...  en particulier celui du carbone, puisque nos émissions de CO2 constituent le principal facteur de  changement  climatique. Il faut traiter l'évolution des relations entre cycle du carbone et climat dans le ..."
2013-09-27,Libération,717mots,"Pierre Larrouturou|Edgar MORIN|Pierre Rabhi|Edmond Maire|Par Michel Rocard, Edmond Maire, Edgar Morin, Nicolas Hulot, Pierre Rabhi...",«Notre maison brûle et nous regardons ailleurs»,"  ...  qui est, hélas, celui que suit la courbe actuelle de nos émissions de gaz à  effet  de  serre. La situation s'aggrave et les échéances se rapprochent dangereusement. Rien n'a changé ..."
2013-09-28,Libération,244mots,Sylvestre Huet|S. H.,Des décisions guidées par l'économie,"  ...  depuis 1990, s'appuyer sur cette expertise pour conduire leurs débats sur l'appréciation des risques d'un  changement  climatique violent versus le recours massif et sans autolimitation aux énergies fossiles.  ..."
2013-09-28,Libération,708mots,Sylvestre Huet,Changement climatique : le Giec chaud bouillant,"  ...  les climatologues. Le climat change, vite, fort, à cause de nos émissions de gaz à  effet  de  serre. Et si on continue sur ce rythme, la planète va changer de visage. C ..."
2013-10-01,Libération,582mots,Sibylle Vincendon|Fabrice Drouzy,"Un quotidien, deux histoires","  ... 'un temps qui a vu deux chocs pétroliers, l'émergence du sida, Tchernobyl et le  réchauffement  climatique mais aussi la chute du Mur, la libération des moeurs, l'Europe, un monde connecté ..."
2013-10-11,Libération,1211mots,Gilbert Laval,Les villes mettent l'écologie à leur agenda,"  ...  région d'entrer dans le développement durable grâce à un programme d'actions sur le  changement  climatique, la biodiversité, la cohésion sociale ou la consommation responsable. La démarche consiste aussi à réunir ..."
2013-10-24,Libération,331mots,Coralie Schaub|Recueilli par Coralie Schaub,«Moscou fait un exemple avant les JO de Sotchi»,  ...  la liberté d'expression et l'action contre l'exploitation de l'Arctique et le  réchauffement  climatique. Ce n'est pas raisonnable pour un pays qui accueillera la conférence climat et prétend ...
2013-11-04,Libération,320mots,Jean-Christophe Féraud,CO2 : Une recherche Google égale une tasse de thé,"  ...  1 de Greenpeace et autres  ecowarriors  qui traquent les industries émettrices de CO2 responsables du  réchauffement  climatique ? La question surprendra le candide ou indifférera le  nolife . De fait, la virtualité froide ..."
2013-11-11,Libération,381mots,Luc Mathieu,Typhons : le changement climatique mis en cause,"  Le typhon Haiyan qui a dévasté les Philippines atil été provoqué par le  réchauffement  climatique? Comme après chaque cyclone, que ce soit Sandy aux EtatsUnis en octobre 2012 ou ..."
2013-11-18,Libération,510mots,Guillaume Maincent,De l'énergie à coups de grisou,"  ...  et évite un dégagement non contrôlé à l'atmosphère, qui contribuerait fortement à renforcer l'effet  de  serre»,  faisaient valoir Gazonor et GRTgaz, gestionnaire du réseau de transport de gaz naturel, à ..."
2013-11-18,Libération,258mots,Laure Noualhat,Un sommet du charbon assombrit celui du climat,"  ...  Eurocoal, le sommet s'emploie même à parler du charbon comme d'une solution... au  changement  climatique ! Durant deux jours, responsables politiques polonais (dont les électeurs sont en partie des mineurs soucieux ..."
2013-11-22,Libération,535mots,Sylvestre Huet,La planète s'approche de la «zone rouge»,"  ...  proviennent d'une compilation critique de tous les «inventaires nationaux» d'émissions de gaz à  effet  de  serre qu'un consortium scientifique international, le Global Carbon Project, réalise depuis 2001. Et ils ..."
2013-12-06,Libération,348mots,Par plusieurs organisations de la société civile francophone,Parlons aussi de la crise climatique,  ...  ce sommet doit poser les premières bases d'un développement peu émetteur de gaz à  effet  de  serre et capable de résister aux impacts des changements climatiques. La crise climatique n'est ...
2013-12-06,Libération,545mots,Eva Joly,"L'OMC, voie sacrée pour les pays pauvres ?","  ...  irriguant des marchés principalement locaux, régionaux et nationaux, moins génératrice d'émissions de gaz à  effet  de  serre, plutôt qu'une économie dominée par des multinationales taillées pour un marché mondial. En ..."
2013-12-13,Libération,1245mots,Eliane Patriarca|Recueilli par Eliane Patriarca,"«Les maladies chroniques, la nouvelle crise écologique»","  ...  mauvais rapport de l'homme avec son environnement au sens large, et tout comme le  réchauffement  climatique, elle est générée par notre mode de vie : alimentation, sédentarité, contamination chimique, pollution atmosphérique...  ..."
2013-12-26,Libération,569mots,Patrice Geoffron|Michel Derdevet,"De Varsovie 2013 à Paris 2015, sept cent trente jours pour sauver le climat",  ...  Varsovie 2013 qui aura eu ce mérite de révéler spectaculairement que la lutte contre le  changement  climatique se joue face à une profusion d'énergies fossiles : le soussol recèle des centaines ...
2013-12-27,Libération,375mots,Sylvestre Huet,Les gaz de schiste loin des slogans,"  ...  France. L'ouvrage passe en revue les problèmes posés, de l'émission de gaz à  effet  de  serre accentuant le  changement  climatique au risque de déclencher des séismes. Il présente un panorama ..."
2014-01-03,Libération,690mots,Eliane Patriarca,"Plancton, le microbestiaire méconnu le poumon bleu de la planète le grand oublié du vivant","  ...  en bâtit le programme scientifique : l'analyse des écosystèmes planctoniques et de leur sensibilité au  changement  climatique. Car depuis quelques décennies, les concentrations en plancton semblent nettement diminuer dans les océans sous ..."
2014-01-07,Libération,380mots,Luc Peillon,"Le passage du nord-ouest, la voie glacée","  ... Charbon.  Longtemps impraticable en raison de la glace, cette route commence,  réchauffement  climatique oblige, à être de plus en plus accessible aux navires. Pour la première fois dans l'histoire du transport ..."
2014-01-17,Libération,159mots,,Cour des comptes : Didier Migaud blâme la transition énergétique,"...  L'objet de l'évaluation, via un rapport de 600 pages ? La politique contre le  changement  climatique de la France, traduction nationale très pâle du paquet énergieclimat de l'Union européenne ..."
2014-01-22,Libération,583mots,Coralie Schaub,Climat : l'heure du choix pour l'UE,"  ...  L'Europe resteratelle le moteur des négociations internationales visant à lutter contre le  changement  climatique ? Le président de la Commission européenne, José Manuel Barroso, doit dévoiler aujourd'hui un projet ..."
2014-01-22,Libération,603mots,Michel Rocard,Vers une gouvernance mondiale,"  ...  de la 21e conférence des parties à la convention cadre sur la lutte contre le  changement  climatique Paris  climat 2015. Il s'agit ici de la France, donc du président François Hollande ..."
2014-01-27,Libération,321mots,Coralie Schaub,Le Forum de Davos chaud pour parler climat,"  A Davos, les «grands» de ce monde ont aussi parlé  changement  climatique. Si, si. Vendredi, une journée entière de débats y a été consacrée, à la demande du secrétaire général des Nations ..."
2014-02-04,Libération,495mots,Maud Fontenoy,De l'eau dans le gaz de schiste ? Pas si sûr,  ...  auraitil renoncé à protéger l'environnement et à diminuer les émissions de gaz à  effet  de  serre ? Serionsnous les seuls à lire les rapports du Giec sur l'urgence à ...
2014-02-11,Libération,747mots,Laure Bretton,Gaz de schiste : Fabius relance les frictions,"  ...  engagements contraignants de la communauté internationale, notamment sur la réduction des émissions de gaz à  effet  de  serre, on peut difficilement, côté face, se faire le chantre d'une énergie carbonée.Selon ..."
2014-02-18,Libération,524mots,Denis BAUPIN|Yannick Jadot|Ronan Dantec,Relancer l'Europe par la transition énergétique,"  ...  d'ici à 2020 à réduire d'au moins 20% ses émissions de gaz à  effet  de  serre par rapport à 1990, à avoir 20% d'énergies renouvelables dans son «mix» énergétique ..."
2014-02-28,Libération,1145mots,Eliane Patriarca,"Aquitaine,des plages assaillies par la mer","  ...  du trait de côte. Le premier des facteurs qui contribuent à l'érosion est le  réchauffement  climatique de la planète, en cours depuis la dernière glaciation, entre 80 000 et 10 000 ..."
2014-03-18,Libération,541mots,Christian Losson|Recueilli par Christian Losson,«Les citoyens veulent monter l'escalier environnemental marche par marche»,"  ...  plan dans l'opinion française les questions d'environnement, d'énergie et plus largement de  changement  climatique. Le travail pédagogique de fond n'est pas réalisé par les acteurs politiques, administratifs et ..."
2014-03-19,Libération,241mots,Coralie Schaub|Recueilli par Coralie Schaub,Climat : «La barre de l'ambition risque d'être au plus bas»,"  ...  des citoyens de l'UE : selon un sondage Eurobaromètre, 9 sur 10 considèrent que le  changement  climatique est un «problème grave». Tendronsnous vers un système nonpolluant, efficace et 100% renouvelable ..."
2014-04-01,Libération,601mots,Eliane Patriarca,Climat : quelques degrés de plus et un risque de conflits violents,"  Le  changement  climatique générera des tensions internationales : c'est l'alerte lancée par le Groupe d'experts intergouvernemental sur l'évolution du climat (Giec), dans le volet 2 de son 5e rapport ..."
2014-04-14,Libération,266mots,Vittorio De Filippis,Réchauffement : le Giec met les Etats dos au mur,"  ...  recommandations : réduire, d'ici à 2050, de 40 à 70% les émissions de gaz à  effet  de  serre.  «Le message de la science est clair : pour éviter des interférences dangereuses avec le ..."
2014-04-15,Libération,288mots,Sylvestre Huet,L'objectif des 2° C échauffe les esprits,  Une politique mondiale qui permettrait de contenir le  changement  climatique sous les 2° C de plus qu'en 1750 ? C'est l'objet du rapport du groupe III du Groupe d'experts ...
