,YearMonth,publication,text,topic_nr,topic_name
0,2013-01,Le Monde,"Avec le réchauffement, les tourbières se transforment en émetteurs de CO2.  ...  pourraient se comporter non plus en puits, mais en sources de CO2. Renforçant ainsi l'effet  de  serre au lieu de l'atténuer. C'est ce que montre pour la première fois ...",1,1_carbone_france_gaz effet de_émissions de
1,2013-01,Le Monde,"Christophe de Margerie : « Le changement climatique, c'est sérieux... ».  ...  population mondiale, 2 % des énergies primaires consommées et 1,2 % des émissions de gaz à  effet  de  serre. François Hollande appelle à la création d'une communauté européenne de l'énergie. Y ...",2,2_europe_union_bruxelles_émissions de
2,2013-01,Le Monde,"Transition énergétique : le clair-obscur de l'Académie.  ...  la transition énergétique n'a de vrai sens qu'en regard des menaces que le  changement  climatique fait peser sur la planète. Or, devant les journalistes, M. Candel a fait état de ...",1,1_carbone_france_gaz effet de_émissions de
3,2013-01,Le Monde,"Les particules du diesel et des feux de bois, deuxième facteur du réchauffement.  ...  évaluation de la contribution des suies  ces particules carbonées produites par des combustions incomplètes  au  changement  climatique et parvient à un résultat saisissant. Selon Tami Bond (université de l'Illinois à Urbana ...",1,1_carbone_france_gaz effet de_émissions de
4,2013-01,Le Monde,"L'Amérique solidaire et égalitaire de M. Obama.  ... 'égalité pour les homosexuels dans un discours d'investiture, ainsi que la lutte contre le  changement  climatique :  « Nous répondrons à la menace de  changement  climatique, sachant que ne pas le faire serait ...",3,3_joe biden_américain_son_plan
5,2013-01,Le Monde,Fortes émanations de gaz « non toxique » dans une usine de Rouen.... (AFP.) Un surcoût de 700 milliards de dollars par an pour éviter les dégâts du  changement  climatique Le monde devrait dépenser 700 milliards de dollars (524 milliards d'euros) supplémentaires par an ...,4,4_macron_les villes_entreprises_dollars
6,2013-01,Le Monde,"Au Forum de Davos, la question des risques naturels ravive les enjeux du long terme.  ...  inégalités de revenus, la dérive des budgets et la hausse des émissions de gaz à  effet  de  serre. En termes d'impact, le risque le plus grave serait une faillite financière généralisée ...",36,36_stables_les émissions mondiales_vont continuer grimper_37 ici
7,2013-02,Le Monde,M. Obama de nouveau face aux défis d'une politique écologique.  ...  l'arme réglementaire et l'EPA pour tenter de limiter les émissions de gaz à  effet  de  serre. Autre question : M. Obama maintiendratil son vieil engagement de  « créer 5 millions ...,3,3_joe biden_américain_son_plan
8,2013-02,Le Monde,Changement climatique : près de soixante études par jour.  Vouloir rendre compte de la recherche sur le  changement  climatique est à la fois impossible et déprimant. Déprimant parce que la majorité des études publiées dressent un tableau assez sombre de l ...,0,0_cop_paris_changement_accord
9,2013-02,Le Monde,"Notre civilisation pourrait-elle s'effondrer ? Personne ne veut y croire.  ...  et déterminant partiellement le tout, deux phénomènes globaux liés à nos émissions de gaz à  effet  de  serre : le  réchauffement  climatique et l'acidification des océans. L'humanité a donc devant elle ...",0,0_cop_paris_changement_accord
10,2013-02,Le Monde,"La résistance inattendue des glaces du Groenland.  ...  n'est pas un analogue parfait du climat actuel, réchauffé par une augmentation de l'effet  de  serre. Une étude comparative publiée en 2011 dans  Climate of the Past , montre de grandes ...",6,6_des glaciers_stations_les alpes_glaces
11,2013-02,Le Monde,Hasan Mahmud : « Il y a déjà des centaines de milliers de réfugiés climatiques dans le pays ».  ...  pays pollueurs pour aider des pays comme le sien à faire face aux conséquences du  changement  climatique. Le Bangladesh estil déjà affecté par le  changement  climatique ? Toute la population du Bangladesh ...,33,33_bangladesh_les réfugiés climatiques_climatique crée plus_utilise étranger comme
