number_volume,number_issue,number_article,year,period,type_decide,type_1,type_2,name_book,name_book_words,name_book_len,keyword,author_number,author_info,country_list,author_mutiple_country,judge_mutiple_country_article,page_start,page_end,page_quant,date_receive,date_accept,date_online,views,Crossref,Web_of_Science
1,1,1,1999,1999-1,introduction,introduction,Introduction,introduction,['introduction'],12.0,[],1,"[('Thomas P. Boje', 'male', ""['Sweden']"", ' Department of Sociology, Umeå University', 'https://www.tandfonline.com/author/Boje%2C+Thomas+P')]","[('Sweden', 1)]",0,0,1,7,7,,,21 Oct 2013,26,1,0
1,1,2,1999,1999-1,article,Article,Original Articles,national models for making and legitimating elites,"['national', 'model', 'making', 'legitimating', 'elite']",50.0,"['business elites', 'corporate governance', 'legitimacy', 'ruling class', 'business schools', 'careers', 'top executives', 'Germany', 'Great Britain', 'France']",2,"[('Michel Bauer', 'male', ""['France']"", ' Observatoire des Dirigeants, CNRS, Paris', 'https://www.tandfonline.com/author/Bauer%2C+Michel'), ('Bénédicte Bertin-Mourot', 'female', ""['France']"", ' Observatoire des Dirigeants, CNRS, Paris', 'https://www.tandfonline.com/author/Bertin-Mourot%2C+B%C3%A9n%C3%A9dicte')]","[('France', 2)]",0,0,9,31,23,,,21 Oct 2013,78,14,0
1,1,3,1999,1999-1,article,Article,Original Articles,"models of the family, women’s role and social policy","['model', 'family', 'woman', 'role', 'social', 'policy']",52.0,"['social policy', 'family', 'women’s roles', 'Europe', 'equal opportunities', 'childlessness']",1,"[('Catherine Hakim', 'female', ""['United Kingdom']"", ' London School of Economics', 'https://www.tandfonline.com/author/Hakim%2C+Catherine')]","[('United Kingdom', 1)]",0,0,33,58,26,,,21 Oct 2013,441,15,0
1,1,4,1999,1999-1,article,Article,Original Articles,the european union and equal opportunities policies,"['european', 'union', 'equal', 'opportunity', 'policy']",51.0,"['gender', 'equal opportunities', 'European Union', 'employment', 'law', 'regulation']",1,"[('Sylvia Walby', 'female', ""['United Kingdom']"", ' University of Leeds', 'https://www.tandfonline.com/author/Walby%2C+Sylvia')]","[('United Kingdom', 1)]",0,0,59,80,22,,,21 Oct 2013,142,13,0
1,1,5,1999,1999-1,article,Article,Original Articles,private and public transfers between generations: linking the family and the state,"['private', 'public', 'transfer', 'generation', 'linking', 'family', 'state']",82.0,"['generations', 'family', 'social policy', 'aging']",1,"[('Martin Kohli', 'male', ""['Germany']"", ' Free University of Berlin', 'https://www.tandfonline.com/author/Kohli%2C+Martin')]","[('Germany', 1)]",0,0,81,104,24,,,21 Oct 2013,371,194,0
1,1,6,1999,1999-1,article,Article,Original Articles,"ethnicity, multiculturalism and the problem of culture","['ethnicity', 'multiculturalism', 'problem', 'culture']",54.0,"['Ethnicity', 'multiculturalism', 'Sweden', 'culture', 'essentialism', 'hybridity']",1,"[('Aleksandra Ålund', 'female', ""['Sweden']"", ' University of Umeå, Sweden', 'https://www.tandfonline.com/author/%C3%85lund%2C+Aleksandra')]","[('Sweden', 1)]",0,0,105,116,12,,,21 Oct 2013,284,7,0
1,1,7,1999,1999-1,book review,book review,Book Reviews,book reviews,"['book', 'review']",12.0,[],6,"[('Carlo Ruzza', 'male', ""['United Kingdom']"", ' Dept of Sociology, University of Essex.', 'https://www.tandfonline.com/author/Ruzza%2C+Carlo'), ('Mike Savage', 'male', ""['United Kingdom']"", ' University of Manchester.', 'https://www.tandfonline.com/author/Savage%2C+Mike'), ('Brendan Halpin', 'male', ""['United Kingdom']"", ' Institute for Social and Economic Research, University of Essex.', 'https://www.tandfonline.com/author/Halpin%2C+Brendan'), ('Peter Rosner', 'male', ""['Austria']"", ' Department of Economics, University of Vienna.', 'https://www.tandfonline.com/author/Rosner%2C+Peter'), ('Mats Franzén', 'male', ""['Sweden']"", ' Institute for Housing Research, Uppsala University, Sweden.', 'https://www.tandfonline.com/author/Franz%C3%A9n%2C+Mats'), ('Fiona Wilson', 'female', ""['United Kingdom']"", ' Dept of Management, University of St Andrews', 'https://www.tandfonline.com/author/Wilson%2C+Fiona')]","[('United Kingdom', 4), ('Austria', 1), ('Sweden', 1)]",0,1,117,131,15,,,21 Oct 2013,19,0,0
1,2,1,1999,1999-2,introduction,introduction,Introduction,introduction,['introduction'],12.0,[],1,"[('Thomas P. Boje', 'male', ""['Sweden']"", ' Department of Sociology, Umeå University', 'https://www.tandfonline.com/author/Boje%2C+Thomas+P')]","[('Sweden', 1)]",0,0,133,138,6,,,21 Oct 2013,8,1,0
1,2,2,1999,1999-2,article,Article,Original Articles,unemployment and social exclusion in the european union,"['unemployment', 'social', 'exclusion', 'european', 'union']",55.0,"['unemployment', 'social exclusion', 'social networks', 'psychological distress']",1,"[('Duncan Gallie', 'unknown', ""['United Kingdom']"", ' University of Oxford', 'https://www.tandfonline.com/author/Gallie%2C+Duncan')]","[('United Kingdom', 1)]",0,0,139,167,29,,,21 Oct 2013,494,22,0
1,2,3,1999,1999-2,article,Article,Original Articles,"unemployment, employment and poverty","['unemployment', 'employment', 'poverty']",36.0,"['unemployment', 'poverty', 'social policy models']",1,"[('Anita Haataja', 'female', ""['Finland']"", ' Ministry of Social Affairs and Health, Helsinki', 'https://www.tandfonline.com/author/Haataja%2C+Anita')]","[('Finland', 1)]",0,0,169,196,28,,,21 Oct 2013,381,0,0
1,2,4,1999,1999-2,article,Article,Original Articles,gender politics in the european union,"['gender', 'politics', 'european', 'union']",37.0,"['public opinion', 'gender gap', 'equality policy', 'governance', 'European Union']",1,"[('Ulrike Liebert', 'female', ""['Germany']"", ' University of Bremen', 'https://www.tandfonline.com/author/Liebert%2C+Ulrike')]","[('Germany', 1)]",0,0,197,239,43,,,21 Oct 2013,217,16,0
1,2,5,1999,1999-2,article,Article,Original Articles,political trust and attitudes towards redistribution,"['political', 'trust', 'attitude', 'towards', 'redistribution']",52.0,"['attitudes', 'political trust', 'welfare state', 'redistribution', 'Sweden', 'Norway', 'comparative research']",1,"[('Stefan Svallfors', 'male', ""['Sweden']"", ' Umeå University', 'https://www.tandfonline.com/author/Svallfors%2C+Stefan')]","[('Sweden', 1)]",0,0,241,268,28,,,21 Oct 2013,475,25,3
1,2,6,1999,1999-2,book review,,Review Article,"identity politics, globalization and the national state","['identity', 'politics', 'globalization', 'national', 'state']",55.0,[],1,"[('Don Kalb', 'unknown', ""['Netherlands', 'Austria']"", ' Utrecht University, Institute for Human Sciences/IWM, Vienna', 'https://www.tandfonline.com/author/Kalb%2C+Don')]","[('Netherlands', 1), ('Austria', 1)]",1,1,269,287,19,,,21 Oct 2013,116,0,0
1,2,7,1999,1999-2,book review,book review,Book Reviews,book reviews,"['book', 'review']",12.0,[],13,"[('Richard Breen', 'male', ""['Italy']"", ' Department of Political and Social Sciences, European University Institute, Florence.', 'https://www.tandfonline.com/author/Breen%2C+Richard'), ('Joe Bailey', 'male', ""['United Kingdom']"", ' Kingston University, UK.', 'https://www.tandfonline.com/author/Bailey%2C+Joe'), ('Geoff Payne', 'male', ""['United Kingdom']"", ' University of Plymouth, UK.', 'https://www.tandfonline.com/author/Payne%2C+Geoff'), ('Jacques Coenen-Huther', 'male', ""['Switzerland']"", ' University of Geneva, Department of Sociology.', 'https://www.tandfonline.com/author/Coenen-Huther%2C+Jacques'), ('Olaf Struck', 'male', ""['Germany']"", ' University of Bremen, Germany.', 'https://www.tandfonline.com/author/Struck%2C+Olaf'), ('Bo Rothstein', 'male', ""['Sweden']"", ' Department of Political Science, Göteborg University.', 'https://www.tandfonline.com/author/Rothstein%2C+Bo'), ('Klaus Rasborg', 'male', ""['Denmark']"", ' Department of Social Science and Economics Roskilde University, Denmark.', 'https://www.tandfonline.com/author/Rasborg%2C+Klaus'), ('John Scott', 'male', ""['United Kingdom']"", ' University of Essex, UK.', 'https://www.tandfonline.com/author/Scott%2C+John'), ('Richard Jenkins', 'male', ""['United Kingdom']"", ' University of Sheffield, UK.', 'https://www.tandfonline.com/author/Jenkins%2C+Richard'), ('Luis Moreno', 'male', ""['Italy']"", ' European University Institute, Italy.', 'https://www.tandfonline.com/author/Moreno%2C+Luis'), ('Celia Valiente', 'female', ""['Spain']"", ' Universidad Carlos III de Madrid, Spain', 'https://www.tandfonline.com/author/Valiente%2C+Celia'), ('Jacques Coenen-Huther', 'male', ""['Switzerland']"", ' Department of Sociology, University of Geneva.', 'https://www.tandfonline.com/author/Coenen-Huther%2C+Jacques'), ('Göran Ahrne', 'male', ""['Sweden']"", ' Department of Sociology, Stockholm University.', 'https://www.tandfonline.com/author/Ahrne%2C+G%C3%B6ran')]","[('Italy', 2), ('United Kingdom', 4), ('Switzerland', 2), ('Germany', 1), ('Sweden', 2), ('Denmark', 1), ('Spain', 1)]",0,1,289,318,30,,,21 Oct 2013,19,0,0
1,3,1,1999,1999-3,article,Article,Original Articles,how penal common sense comes to europeans,"['penal', 'common', 'sense', 'come', 'european']",41.0,"['neoliberalism', 'dominant ideology', 'urban violence', 'criminalization of poverty', 'welfare state', 'law and order', 'prison', 'penal policy', 'think-tanks']",1,"[('Loïc Wacquant', 'male', ""['France']"", ' Centre de sociologie européenne du Collège de France University of California-Berkeley', 'https://www.tandfonline.com/author/Wacquant%2C+Lo%C3%AFc')]","[('France', 1)]",0,0,319,352,34,,,21 Oct 2013,620,68,0
1,3,2,1999,1999-3,article,Article,Original Articles,‘death is not the same always and everywhere’ – sociocultural aspects of brain death and the legislation of organ transplantation,"['‘', 'death', 'always', 'everywhere', '–', 'sociocultural', 'aspect', 'brain', 'death', 'legislation', 'organ', 'transplantation']",129.0,"['death and dying', 'brain death', 'organ transplantation act', 'reflexive modernisation', 'cultural change', 'Germany', 'comparison of cultures']",1,"[('Werner Schneider', 'male', ""['Germany']"", ' Institute of Sociology, Ludwig Maximilians University, Munich', 'https://www.tandfonline.com/author/Schneider%2C+Werner')]","[('Germany', 1)]",0,0,353,389,37,,,21 Oct 2013,49,0,1
1,3,3,1999,1999-3,article,Article,Original Articles,economic standard of living,"['economic', 'standard', 'living']",27.0,"['economic resources', 'income distribution', 'poverty', 'living conditions', 'living standard', 'structural equation modeling']",1,"[('Björn Halleröd', 'male', ""['Sweden']"", ' Department of Sociology, Umeå University, Sweden', 'https://www.tandfonline.com/author/Haller%C3%B6d%2C+Bj%C3%B6rn')]","[('Sweden', 1)]",0,0,391,418,28,,,21 Oct 2013,23,5,0
1,3,4,1999,1999-3,article,Article,Original Articles,managing money in british and swedish households,"['managing', 'money', 'british', 'swedish', 'household']",48.0,"['money', 'marriage', 'gender', 'power', 'ideology', 'discourse', 'household breadwinning']",2,"[('Christine Roman', 'female', ""['Sweden', 'United Kingdom']"", ' Uppsala University, Sweden, and City University, London, UK', 'https://www.tandfonline.com/author/Roman%2C+Christine'), ('Carolyn Vogler', 'female', ""['Sweden', 'United Kingdom']"", ' Uppsala University, Sweden, and City University, London, UK', 'https://www.tandfonline.com/author/Vogler%2C+Carolyn')]","[('Sweden', 2), ('United Kingdom', 2)]",2,1,419,456,38,,,21 Oct 2013,105,19,0
