,date,publication,words,author,title,intro
0,2021-11-02,La Croix,582mots,Audrey Dufour,"« Tipping points », si le climat basculait","    ...  prévoir quel coup de patte sera celui de trop. De la même façon, le réchauffement  climatique de l'ère industrielle est largement connu, documenté, analysé et répété. Pourtant, il est difficile, voire ...  "
1,2021-11-08,La Croix,427mots,Marine Lamoureux,Sécuriser l'avenir de ses enfants,"    Pour elle, l'enjeu  climatique n'est pas une compilation de données abstraites. C'est une menace existentielle. Il suffit de lire la phrase que Tina Stege a choisie pour son compte ...  "
2,2021-11-02,La Croix,406mots,Dorian Malovic,"Xie Zhenhua, le visage chinois de la diplomatie climatique","    ...  entier depuis plus de dix ans, pour négocier et trouver des accords acceptables sur le  climat ? Le président chinois Xi Jinping n'a pas hésité à le nommer une nouvelle fois en ...  "
3,2021-09-29,La Croix,656mots,Delphine Nerbollier,Des pèlerins marchent pour le changement climatique,    ...  km au total dans le but de participer à la 26e Conférence internationale pour le  climat qui s'ouvre le 1er novembre prochain dans la grande ville écossaise. Si le nombre des ...  
4,2021-11-12,La Croix,569mots,Marine Lamoureux,Un « accord » Chine - Etats-Unis de dernière minute bienvenu,"    ...  spéciaux, John Kerry et Xie Zhenhua, ont affirmé leur engagement commun à renforcer leur action  climatique. Tout en reconnaissant  « la gravité et l'urgence de la crise  climatique »,  les deux puissances s ...  "
5,2021-10-30,La Croix,2548mots,Recueilli par Marine LamoureuxPhoto : Marco Kesseler pour La Croix L'Hebdo,Satish Kumar« Les grands bouleversements commencent à petite échelle »,"    ... 'ouvrir le 1er novembre au RoyaumeUni, votre pays d'adoption. Alors que le dérèglement  climatique s'accélère sous nos yeux, cette conférence  climat atelle une utilité, selon vous ?  Oui ...  "
6,2021-11-05,La Croix,375mots,Agnès Rotivel,Un banquier qui ose parler d'environnement,"    ...  risques, le Lloyd's de Londres. Il dénonce un monde financier aveuglé face au réchauffement  climatique.  « Une fois que le changement  climatique devient un sujet pour la stabilité financière, il peut être ...  "
7,2021-11-02,La Croix,634mots,Camille Richir,Les dirigeants du monde appelés à l'action,"    ... 'exposition de Glasgow et siège des négociations de la 26e Conférence des parties sur le  climat (COP26). Disséminées au comptegouttes, leurs déclarations doivent donner le ton des discussions à venir. L ...  "
8,2021-10-29,La Croix,1465mots,Marine Lamoureux et Camille Richir,Cinq leviers pour limiter le réchauffement,"    ...  la combustion d'énergies fossiles, estime le Groupe d'experts intergouvernemental sur l'évolution du  climat (Giec) dans son rapport d'août 2021. Toutes n'ont pas le même impact : une centrale ...  "
9,2021-10-29,La Croix,568mots,François d'Alançon,"Climat, le choc des puissances","    ...  effet de serre , se disputent le rôle de leader dans la lutte contre le changement  climatique, sans totalement convaincre sur la crédibilité de leurs engagements. Sous l'impulsion de Joe Biden, les ...  "
10,2021-11-02,La Croix,755mots,Alexis Jenni,"COP combien, déjà ?","    ...  une belle une le weekend d'avant :  « Ils ont vingt jours pour sauver le  climat »,  avec une photo de neuf dirigeants prise au G7 de juin dernier, en groupe mais avec ...  "
11,2021-11-15,La Croix,1518mots,Marine Lamoureux et Camille Richir,"Climat, trois questions pour une décennie cruciale","    ...  dès la prochaine décennie si les émissions ne sont pas réduites rapidement, avait alerté le Groupe d'experts sur l'évolution du  climat (Giec) dans son rapport publié l'été dernier.  ...  "
12,2021-11-02,La Croix,495mots,Audrey Dufour,"Pour la biodiversité, des points de bascule bien visibles","    ... La plupart du temps, bascule  climatique et bascule biologique sont étroitement liées. Si, en raison du réchauffement  climatique, la forêt amazonienne venait à se transformer en savane, comme elle existe plus au ...  "
13,2021-12-04,La Croix,868mots,Recueilli par Isabelle de Gaulmyn,"Cyril Dion« La réponse à l'éco-anxiété, c'est la créativité »","     Votre nouveau film, Animal, met en scène deux jeunes très concernés par le  climat. On parle beaucoup, pour cette génération, d'une « écoanxiété », une sorte de désespoir, qui peut prendre parfois ...  "
14,2021-10-21,La Croix,806mots,Jean-Claude Bourbon,TotalEnergies doit faire face à son histoire,"    ...  nié, pendant des années, l'impact de ses activités pétrolières et gazières sur le réchauffement  climatique. Ils se fondent à la fois sur des documents internes, partiellement accessibles aux chercheurs, et des ...  "
15,2021-10-02,La Croix,828mots,Aziliz Claquin avec Rachel Notteau et Olivier Tallès,Vous avez cinq minutes ?,"    ...  15 minutes   Prenez la température du  climat  Et sinon, en France, ça va bien le  climat ? Disons que c'est mitigé... Le Haut Conseil pour le  climat, organisme indépendant chargé d'évaluer ...  "
16,2021-09-23,La Croix,592mots,François d'Alançon,Le duel à distance à l'ONU entre Joe Biden et Xi Jinping,"    ...  de l'ONU. Seul point de convergence notable entre Joe Biden et Xi Jinping, le  climat. Dans son premier discours onusien, le président américain a annoncé vouloir doubler le soutien financier aux ...  "
17,2021-09-29,La Croix,1263mots,Aude Carasco,Les médias accélèrent leur transition écologique,"    ...  plus lu au monde, vise la neutralité carbone en 2030. Agir face à l'urgence  climatique est  « le défi le plus important de notre époque »,  justifiait fin janvier 2020 le quotidien britannique ...  "
18,2021-10-25,La Croix,817mots,Fletcher HarperRévérend et directeur exécutif de GreenFaithMartin KoppÉcothéologien et chargé de mobilisation chez GreenFaith,"Nous, croyants, demandons à TotalEnergies de mériter son nouveau nom","    Gouvernements, entreprises et grand public ont découvert le changement  climatique il y a des décennies. La crise  climatique présente un défi systémique de sortie rapide de la dépendance aux énergies fossiles, en ...  "
19,2021-09-14,La Croix,1813mots,Recueilli par Mathieu Castagnet et Emmanuelle Réju,« Il n'y aura pas de tsunami de faillites »,"    ...  bien plus que l'Allemagne, à 60 %. On parle à juste titre de la dette  climatique que nous transmettons à nos enfants. La dette financière, c'est la même chose. Nous ne ...  "
20,2021-10-23,La Croix,2673mots,Alain Guillemoles et Emmanuelle RéjuPhotos : Serge Picard pour La Croix Hebdo,Laurence Boone« Le numérique et le climat sont au coeur de tout »,"    ... 'après » est plus armé scientifiquement, plus endetté, plus numérique et plus conscient de l'enjeu  climatique. Le numérique et le  climat sont au coeur de tout, partout. Tout le monde ne parle ...  "
21,2021-11-04,La Croix,662mots,Vanessa Dougnac,Sauver Bombay des eaux,"    ...  et la mer d'Arabie, est l'une des villes les plus vulnérables au changement  climatique. Elle est à la merci de la montée du niveau de la mer qui pourrait submerger ...  "
22,2021-09-09,La Croix,1010mots,,L'ONU a-t-elle raison de maintenir la COP26 ?,        ...  aurait un coût politique élevé et viendrait servir les intérêts des moinsallants sur le  climat. Plusieurs pays n'ont pas encore rendu leurs engagements révisés de réduction des gaz à effet ...  
23,2021-12-01,La Croix,491mots,,Courrier,        ...  les moyens de se chauffer et qui auraient froid en hiver. Face à l'urgence  climatique qui nous menace et à la nécessité absolue d'arrêter de brûler le charbon et le ...  
24,2021-11-09,La Croix,458mots,"Marine Lamoureux, journaliste",Petit lexique de survie à l'usage des COP,"    ...  du monde entier. Néanmoins, les participants partagent un langage commun, inimitable jargon de la discussion  climatique. Petit lexique de survie.  NDCs. Prononcez à l'anglaise : « Ndiciz ». L'acronyme indispensable à tout visiteur ...  "
25,2021-11-04,La Croix,620mots,Marine Lamoureux,"Après la crise sanitaire, les émissions rebondissent","    ...  que nous sommes accros au carbone,  complète Philippe Ciais, chercheur au Laboratoire des sciences du  climat et de l'environnement.  Même au coeur de la crise, nous avons continué d'en émettre ...  "
26,2021-11-05,La Croix,604mots,Camille Richir,Avalanche d'annonces et de promesses,"    ...  promis par les pays riches aux pays du Sud dans la lutte contre le changement  climatique. De nombreuses annonces et engagements, dont certains très ambitieux, s'avèrent en outre non contraignants, limitant ...  "
27,2021-11-10,La Croix,615mots,Marine Lamoureux,L'enjeu des « pertes irrémédiables » bouscule la COP,"    ...  ce dossier.  « C'est une question absolument cruciale, que l'on ne peut plus ignorer, avec la multiplication des désastres climatiques » , souligne ce militant indien du réseau Action  climat international (CAN).  ...  "
28,2021-11-09,La Croix,621mots,Marine Lamoureux,"A la COP, la voix de la France porte moins","    ...  gardienne de son « esprit ». Longtemps, la France a eu une voix propre lors des conférences  climat, en particulier depuis la COP21 de 2015 et l'adoption, sur son sol, du premier accord ...  "
29,2021-10-25,La Croix,468mots,Camille Richir,"Entre climat et justice sociale, un difficile équilibre","    ...  un dilemme de taille : éviter la crise sociale, tout en ne pénalisant pas sa politique  climatique. L'autre option envisagée au départ portait sur une baisse des taxes sur les carburants. Outre ...  "
30,2021-12-27,La Croix,1920mots,Loup Besmond de Senneville,"Desmond Tutu, l'infatigable défenseur des opprimés","    ...  la vie publique. Ces dernières années, il avait pris fait et cause pour la question  climatique. Au sommet de Copenhague, en 2009, il avait même été l'une des figures de proue ...  "
31,2021-11-22,La Croix,901mots,Gaël Giraud (1)Prêtre jésuite et économisteLoïc GiacconeJournaliste et doctorant,"Face au désastre écologique, les « petites avancées » sont des reculs","    ...  gazières russes laissent échapper 20 % de fuites de méthane, absentes des statistiques officielles. La justice  climatique est la principale perdante de cette COP. Les pays industrialisés renâclent toujours à fournir les fonds ...  "
32,2021-12-07,La Croix,478mots,"Marine Lamoureux, journaliste",L'éléphant dans la pièce,"    ...  2021. Notamment par la paléoclimatologue Valérie MassonDelmotte, rencontrée au pavillon sciences de la conférence  climat.  « Tout le monde parle de neutralité carbone en 2050 ; mais sans vraiment admettre que, sans une ...  "
33,2021-10-29,La Croix,798mots,Marine Lamoureux,Les épineux défis de la « COP » de Glasgow,"    ...  au fond, une COP ? »  L'interrogation revient à chaque conférence des parties sur le changement  climatique. Mais on peut aussi retourner la question. Où en serait la lutte pour le  climat sans ...  "
34,2021-11-13,La Croix,865mots,Recueilli par Antoine d'Abbundo,Éric Bocquet« La lutte contre l'évasion fiscale est la mère des batailles »,"    ...  somme pour répondre aux grands défis du moment que sont la lutte contre le dérèglement  climatique et la réduction des inégalités !  Dans votre livre, vous faites référence à l'encyclique Laudato si ...  "
35,2021-09-13,La Croix,1239mots,François d'Alançon,"La forêt, un mythe germanique sous la menace climatique","    ...  d'étranges survivants. L'épicéa, arbre emblématique de la forêt allemande, se meurt. Le changement  climatique n'est plus une catastrophe lointaine et les forestiers de Thuringe sont en première ligne. « Un ...  "
36,2021-09-15,La Croix,269mots,,Les essentiels Monde,"        ...  compliquées, car l'exécutif catalan réclame la tenue d'un nouveau référendum sur l'indépendance, ce à quoi s'oppose Madrid.    Climat 216  millions de déplacés climatiques d'ici à 2050   ...  "
37,2021-12-22,La Croix,513mots,Camille Richir,"La « taxonomie », pierre angulaire de l'investissement vert","    ...  une  « contribution substantielle »  positive sur au moins l'un des points suivants : atténuation du changement  climatique, adaptation, utilisation durable des ressources en eau, économie circulaire, contrôle de la pollution ou encore biodiversité ...  "
