,date,publication,words,author,title,intro
0,2017-12-12,Le Monde,1813mots,Simon Roger,La déflagration américaine,"    ...  doctrine défendue par son successeur à la Maison Blanche. Mais les ­acteurs de la gouvernance  climatique ne s'y trompent pas. L'annonce, début juin, du ­retrait du deuxième plus gros émetteur ...  "
1,2017-12-13,Le Monde,3230mots,"Propos recueillis par Bastien Bonnefous, Luc Bronner, Sophie Landrin et Simon Roger",Emmanuel Macron : « Il faut un choc dans nos modes de production »,"    Emmanuel Macron, qui organisait mardi 12 décembre un sommet sur le  climat, le One Planet Summit, à BoulogneBillancourt (HautsdeSeine), veut relancer la mobilisation internationale en faveur de la lutte ...  "
2,2017-12-09,Le Monde,1062mots,,"« Nous n'acceptons pas que l'humanité se dirige, sans réagir, vers le chaos climatique »","        ...  de destins, n'acceptons pas que l'humanité se dirige, sans réagir, vers le chaos  climatique. Le 31 octobre 2017, l'ONU nous alertait solennellement sur l'écart « catastrophique » qui existe entre ...  "
3,2017-09-09,Le Monde,1677mots,Stéphane Foucart,Climat : la planète subit de plein fouet les dérèglements,"    ...  et de feu, résume Bill McKibben, le fondateur du mouvement de lutte contre le changement  climatique 350.org. Après les dix mille ans qu'a duré l'holocène, nous sommes désormais sur ...  "
4,2017-12-19,Le Monde,1463mots,,"Climat : "" On ne mesure pas l'ampleur du danger ""","        ...  l'un des responsables politiques américains les plus emblématiques de la lutte contre le changement  climatique et qui, depuis quarante ans, a mis la préservation de l'environnement au coeur de son ...  "
5,2017-12-09,Le Monde,1331mots,Marie Charrel et Simon Roger,Mille milliards d'euros pour le climat,"    ...  l'environnement. Alors que la France s'apprête à accueillir, le 12 décembre, le sommet  climat imaginé pour les deux ans de l'accord de Paris, c'est un rassemblement d'économistes ...  "
6,2017-12-12,Le Monde,715mots,Simon Roger,La Russie cultive une position ambivalente,"    Pour les acteurs russes du  climat  scientifiques, ­dirigeants, ONG, entrepreneurs , le 12 décembre est un rendezvous important. C'est la date d'ouverture d'Ecotech, une rencontre internationale de trois jours ...  "
7,2017-11-08,Le Monde,941mots,Simon Roger,Climat : le pari risqué de l'Elysée,"    ...  imaginé par la France pour le deuxième anniversaire de l'accord de Paris sur le  climat, le 12 décembre, sort peu à peu des limbes. L'intitulé, le lieu et l'architecture ...  "
8,2017-11-15,Le Monde,652mots,propos recueillis par C. My,Gilles Ramstein : « l'art est très utile pour penser l'avenir du climat »,    Gilles Ramstein est directeur de recherches au ­Laboratoire des sciences du  climat et de l'environnement (LSCE). Il est l'auteur de Voyage à travers les climats de la Terre (Odile Jacob ...  
9,2017-12-12,Le Monde,2558mots,"Rémy Barroux, Audrey Garric, Pierre Le Hir et Simon Roger",Des solutions pour enrayer la surchauffe,"    ...  priorités : laisser enfouies dans le soussol les ressources fossiles, qui sont les fossoyeurs du  climat. A eux trois, le charbon, le pétrole et le gaz naturel sont à l'origine de ...  "
10,2017-11-20,Le Monde,1048mots,Simon Roger,Les énergies fossiles ont pollué la COP23,"    Pendant toute la durée de la conférence sur le  climat, dont les travaux se sont prolongés jusqu'à samedi 18 novembre, les participants à la COP23 ont pu vivre une expérience originale ...  "
11,2017-11-03,Le Monde,921mots,Simon Roger,Le nombre de déplacés climatiques explose,"    ...  figure pas à l'ordre du jour de la conférence des Nations unies sur le  climat, la COP23, qui débute lundi 6 novembre à Bonn (Allemagne), mais elle surgira inévitablement dans les ...  "
12,2017-12-12,Le Monde,1039mots,Corine Lesnes,L'autre Amérique contre-attaque,"    ...  la caisse de résonance que leur donne leur ­notoriété. Ce sont des stars pour le  climat. Milliardaires, élus, chefs d'entreprise, icônes d'Hollywood. Depuis l'élection de Donald Trump, ils se ...  "
13,2017-11-17,Le Monde,803mots,Simon Roger,Climat : Merkel et Macron en chefs de file,"    ...  il était invité à s'exprimer mercredi 15 novembre devant les délégués de la conférence  climat, Emmanuel Macron s'est assuré de pouvoir prendre la parole dans la foulée de la chancelière ...  "
14,2017-12-13,Le Monde,810mots,Audrey Tonnelier et Simon Roger,"Au sommet de Paris, des annonces disparates","    ...  qui devait être dévoilé, mardi 12 décembre, au One Planet Summit, le sommet sur le  climat organisé par la France à l'occasion des deux ans de l'accord de Paris. Cette ...  "
15,2017-12-12,Le Monde,1383mots,Propos recueillis parJean-Michel Bezat Propos recueillis parJean-Michel Bezat,Climat : « Il faut plus de ressources financières »,"    ...  et du Medef mobiliseront plus de 300 milliards d'euros sur 20162020 pour le  climat. Quel est votre sentiment, deux ans après la COP21 ? Mon sentiment, c'est que la cause ...  "
16,2017-12-29,Le Monde,1045mots,Stéphane Foucart,"Réchauffement : 2017, troisième année record d'affilée","    ...  fait ainsi valoir la climatologue Valérie MassonDelmotte, chercheuse (CEA) au Laboratoire des sciences du  climat et de l'environnement et coprésidente de l'un des trois panels du Groupe d'experts ...  "
17,2017-10-11,Le Monde,2556mots,"Simon Roger Simon Roger, Ile de Samoïlov, Tiksi, Iakoutsk (Sibérie),envoyé spécial Ile de Samoïlov, Tiksi, Iakoutsk (Sibérie),envoyé spécial","Le permafrost, l'autre menace climatique","    ...  de 5 km2 pâtit surtout de la dégradation du permafrost sous l'effet du réchauffement  climatique. Appelés aussi pergélisol, ces sols dont la couche supérieure dégèle en saison chaude conservent en profondeur ...  "
18,2017-09-02,Le Monde,818mots,propos recueillis parRémi Barroux et Simon Roger propos recueillis parRémi Barroux et Simon Roger,Climat : « Ce qui arrive était exactement prévu »,    ...  grande partie de la planète subit déjà l'aggravation des phénomènes extrêmes due au réchauffement  climatique. Nous observons simultanément des inondations dramatiques à Bombay et à Houston. Ce phénomène estil inédit ...  
19,2017-09-30,Le Monde,2348mots,Catherine Vincent,Hulot face au marché,"    ...  Et bien sûr « la solidarité avec nos enfants, avec ceux qui sont victimes du changement  climatique . Deux mois plus tard, l'exenvoyé spécial de François Hollande pour le  climat crée la ...  "
20,2017-09-20,Le Monde,782mots,,"Le climat, priorité française aux Nations unies","        ...  priorités à New York "",  assureton à l'Elysée. La lutte contre le changement  climatique figure en bonne place dans l'agenda du président de la République arrivé lundi 18 septembre ...  "
21,2017-12-12,Le Monde,948mots,par Jean-Michel Bezat,Un bon climat pour Macron,"    ... 'il vaut mieux ne pas fêter, et celui de l'accord de Paris sur le  climat est de ceuxlà. En décembre 2015, François Hollande avait remporté un éclatant succès diplomatique grâce ...  "
22,2017-09-09,Le Monde,531mots,,Climat : la terrible inconséquence américaine,"        ...  entièrement dévastées, ont déjà fait l'amère expérience. Mais alors que les effets du changement  climatique en cours  élévation du niveau de la mer, intensification des précipitations, etc.  ­rendent la côte est ...  "
23,2017-12-23,Le Monde,876mots,Simon Roger,Le climat entraînera un afflux de migrants en Europe,"    ...  assez inédit. » Poussant plus loin leur réflexion, les universitaires ont revisité les modèles de réchauffement  climatique élaborés par le Groupe d'experts intergouvernemental sur l'évolution du  climat à partir de leurs ...  "
24,2017-12-13,Le Monde,551mots,Véronique Chocron,Les banques multiplient leurs promesses vertes,"    ...  un parterre d'acteurs mondiaux de la finance, en prélude au sommet international sur le  climat organisé le lendemain. Le ministre de la transition écologique a finalement répondu par l'affirmative, disant ...  "
25,2017-12-21,Le Monde,663mots,Collectif,Le commerce mondial est aussi un enjeu climatique,"    ...  d'un pays du Nord à faire explicitement le lien entre le commerce et le  climat. Pour que ses propos ne restent pas lettre morte, il est urgent de soumettre les règles ...  "
26,2017-12-30,Le Monde,1574mots,Propos recueillispar Catherine Vincent Propos recueillispar Catherine Vincent,Vous ne prendrez pas le réchauffement climatique comme une fatalité,"    ...  serons capables de créer face aux conséquences de ce que nous avons provoqué . Le changement  climatique dans lequel nous sommes embarqués requiert d'être capables de changer nos concepts, nos idées, et ...  "
27,2017-12-12,Le Monde,970mots,Stéphane Foucart,"Depuis la première COP, le climat s'est emballé",    ...  les Etats tergiversent encore sur les moyens à mettre en oeuvre pour endiguer le changement  climatique en cours. C'est peu dire qu'en près d'un quart de siècle la diplomatie ...  
28,2017-10-17,Le Monde,816mots,Simon Roger,L'Europe réduit ses ambitions sur le climat,"    ...  chaque rendezvous international, elle entend assumer son « leadership » dans la lutte contre le réchauffement  climatique. Elle ne devrait pas varier de discours pendant le sommet préparatoire de la COP23 (ou « pré ...  "
29,2017-12-12,Le Monde,665mots,Éric Albert,Les organisations patronales font encore de l'obstruction,"    Le grand sommet sur le  climat organisé par la France, mardi 12 décembre, à l'initiative du président Emmanuel Macron, sera l'occasion de faire un état des lieux très mitigé sur ...  "
