,date,publication,words,author,title,intro
0,2016-04-21,Le Parisien - Paris ,825mots,Propos recueillis par|Frédéric Mouchon,"Au lendemain de la COP21, vous étiez","    ...  victoire. Si nous avions échoué sur le plan diplomatique, nous aurions définitivement perdu la bataille  climatique. Pour autant, tout reste à faire pour sauver le  climat. A New York, 160 pays et ...  "
1,2016-01-27,Le Parisien,222mots,Q.L.,Un mois pour évoquer le climat sens dessus dessous,"    ...  écolo. Un peu plus d'un mois après la COP21, la grande conférence sur le  climat, la commune du Plateau briard veut s'attaquer à « cette triste réalité écologique » qu'est le ...  "
2,2016-04-20,Le Parisien - Paris ,374mots,Florence Méréo,Allergies : la faute au climat,"    ...  cabinet du XII e arrondissement de la capitale des patients éternueurs depuis février. « Le réchauffement  climatique a un effet incontestable sur les allergies, notetelle. Rien que pour cette année, l ...  "
3,2016-02-14,Le Parisien,560mots,Jannick Alimi Et Philippe Martinat,"Fabius, le cumul qui passe mal","    ...  qui se termine le 17 novembre, date à laquelle le Maroc présidera la nouvelle conférence  climatique, la COP22. Or ce rôle implique de nombreux déplacements internationaux et, pour l'assumer, Fabius a ...  "
4,2016-04-04,Le Parisien - Paris,323mots,C.H.,"Hidalgo candidate au C40, le réseau des villes-monde",    ...  pour objectif d'accélérer la mobilisation des villesmonde dans la lutte contre le dérèglement  climatique et d'aider à faire entendre la voix des territoires et des métropoles dans ce domaine ...  
5,2016-02-06,Le Parisien,263mots,Hendrik Delaire,Les satellites d'Airbus surveillent le réchauffement climatique,"    ... 'obServation de la terre depuis l'espace est indispensable pour comprendre les mécanismes du réchauffement  climatique. Selon un rapport du Giec* sur les cinquante variables à l'origine du réchauffement  climatique, vingt ...  "
6,2016-01-14,Le Parisien,243mots,J.H.,Ce qui attend le plateau de Saclay en 2100,"    ...  petite phrase du tableau de l'exposition « Le plateau de Saclay sous le prisme du  climat », présentée jusqu'au 23 janvier dans le hall de la mairie de VerrièresleBuisson. Dans ...  "
7,2016-02-24,Le Parisien - Paris ,226mots,Renaud Baronian,"Le climat, son combat","    ... 'environnement. En 1998, la star a créé la DiCaprio Foundation, qui multiplie les actions pour « préserver les derniers espaces sauvages de la planète », défendre la biodiversité, lutter contre le réchauffement  climatique.   ...  "
8,2016-01-25,Le Parisien,314mots,Quentin Laurent,174 associations alliées contre les nuisances aériennes,"    ... Effet sur le  climat, pollution de l'air « On a beaucoup plus insisté qu'avant sur la question des gaz à effets de serre », explique Françoise Brochot, une des têtes de la ...  "
9,2016-01-27,Le Parisien,135mots,,Le réchauffement climatique expliqué aux jeunes,"        ...  culturel du Fort d'IssylesMoulineaux, propose de découvrir l'exposition « 2° C : Le  climat, la météo et moi », proposée par la Maison de la nature de Meudon, dans le cadre ...  "
10,2016-02-18,Le Parisien,118mots,,Aidez le climat en observant les champignons,        Mesurer l'impact du réchauffement  climatique en observant les champignons. C'est l'idée développée par l'IASEF (Initiatives et actions pour la sauvegarde de l'environnement et des forêts) qui propose ...  
11,2016-01-01,Le Parisien,491mots,Émilie Torgemen,Chaud... même au pôle Nord,"    ... ce une première ? « Difficile à dire, répond Gerhard Krinner, directeur de recherche CNRS, spécialiste du  climat des régions polaires. Parce que le pôle Nord, contrairement au pôle Sud, n'est qu'un ...  "
12,2016-02-29,Le Parisien - Val d'Oise,125mots,,Observez le réchauffement climatique,"        ...  chacun livre ses observations sur le terrain pour permettre de voir les conséquences du réchauffement  climatique sur les champignons », explique ce guide à la Société mycologique de France. Pour participer, il suffit ...  "
13,2016-04-14,Le Parisien - Oise,442mots,Étienne Martin,"Maëva Contion, aux Antilles pour voir Rio","    ... Le même  climat qu'au Brésil De là à espérer décrocher les minima en fin de stage, lors du 400 m haies de BaieMahault (Guadeloupe) ? « C'est rare de faire les ...  "
14,2016-03-04,Le Parisien - Paris ,356mots,Émilie Torgemen,On vit un « non-hiver »,"    ...  LE RÉCHAUFFEMENT  climatique, ça se passe en ce moment ! » C'est Leonardo DiCaprio qui l'a rappelé dimanche en serrant le cône doré de son Oscar. Nos compatriotes qui ont eux dévoré ...  "
15,2016-04-12,Le Parisien - Val de Marne,106mots,,Un film autour de la crise climatique,"        ...  de l'eau et du développement durable du ValdeMarne. Suivra une rencontre avec Jade Lindgaard, auteur de « Je crise  climatique, la planète ma chaudière et moi », publié en 2014.  ...  "
16,2016-03-29,Le Parisien - Oise,110mots,,Exposition sur les effets du réchauffement climatique,"        L'association Femmes Solidaires présente une exposition intitulée « Les conséquences du dérèglement  climatique sur les populations », dans ses locaux de l'espace ElsaTriolet, du 4 au 29 avril. Inondations, tempêtes, montée ...  "
17,2016-04-05,Le Parisien - Paris,312mots,Marie-Anne Gairaud,Hidalgo favorite pour la présidence du C40,"    ...  Eduardo Paes, regroupe 83 des plus grandes villes du monde. Objectif : lutter contre le dérèglement  climatique. La candidature d'Anne Hidalgo à la présidence de ce réseau est un peu la suite ...  "
18,2016-04-11,Le Parisien - Val de Marne,133mots,,Le projet de la ZAC Chantereine grand prix de l'aménagement,        ... 'urbanisme 2014. Alfortville fait partie des 22 lauréats « qui illustrent la diversité des approches et la capacité d'adapter et de composer la ville avec la nature et le changement  climatique ».  ...  
19,2016-02-12,Le Parisien,80mots,,Le réchauffement climatique en musique,"        Ne pas tomber dans la morosité. Pour évoquer la question du réchauffement  climatique, ChillyMazarin et l'association « Swing qui peut » ont choisi d'organiser une conférence musicale, ce soir, au cinéma ...  "
20,2016-03-09,Le Parisien - Paris ,150mots,Sylvain Merle,Comment la météo influence nos achats,"    ...  Anticiper peut se révéler crucial et les conseils personnalisés se développent. Prévenu par son conseil  climatique d'une canicule, Kronenbourg a augmenté sa production en amont et a pu répondre à la ...  "
21,2016-03-16,Le Parisien - Seine et Marne Nord ,85mots,,Le changement climatique en débat,"        ...  conférence scientifique sur le thème : « les villes face aux défis de l'adaptation au changement  climatique », avec Frédérique Vincent, professeur en sciences de l'environnement et directrice de l'Institut supérieur d ...  "
22,2016-02-15,Le Parisien,127mots,,Les écoles plantent des arbres pour le climat,"        ...  de France de juin 2015, la municipalité a organisé l'opération « Un arbre pour le  climat ». Jeudi, 250 élèves de primaires se sont retrouvés dans le parc Pic. 23 arbres y ont ...  "
23,2016-04-07,Le Parisien - Val de Marne,110mots,,L'après COP21 en débat,"        ...  une rencontredébat sur le thème « La COP 21 et après ? » La conférence sur le  climat a vu naître l'accord de Paris au mois de décembre 2015. Pour autant, nombreuses sont ...  "
24,2016-02-10,Le Parisien,123mots,,Et si la Révolution française était due au climat ?,"        Et si le  climat était à l'origine de la Révolution française ? C'est à cette question que répondront André Gailing, professeur agrégé d'histoire et ancien maire de Coulommiers, et Frédéric ...  "
25,2016-01-06,Le Parisien,383mots,Nicolas Goinard,La méteo joue les trouble-fêtes dans les champs et jardins de l'Oise,"    ...  donner en spectacle sur la voie publique.  « Ça m'étonne à moitié au regard du  climat doux des dernières semaines, réagit Thierry Leblanc, vendeur chez le pépiniériste Baobab, une jardinerie à Crépy ...  "
26,2016-01-14,Le Parisien,454mots,Nathalie Revenu,L'hôpital privé de La Roseraie sur le chemin de la guérison,"    ...  levée avec la fin du redressement judiciaire.Cette situation financière difficile se doublait d'un  climat social explosif. En 2012, la direction avait décidé de ne plus verser la prime de fin ...  "
27,2016-01-14,Le Parisien,140mots,N.R.,« Le climat social est redevenu sain et efficace »,"    ... La Roseraie dresse le même constat qu'Abdelhak Oumeraci, le délégué de la CFDT : « Le  climat social est redevenu sain et efficace », souligne le DRH. Aldric Lauer, en revanche, n'épargne pas ...  "
28,2016-04-11,Le Parisien - Paris ,402mots,Propos recueillis par|Ch.B.,« Un climat prérévolutionnaire »,"    ... Comment analysezvous les slogans de la place de la République ? Ils traduisent un  climat prérévolutionnaire, avec des mots qu'on pensait révolus : on parle de capital, de travailleurs, de révolution. Comme ...  "
29,2016-03-10,Le Parisien - Essonne,91mots,,Tout savoir sur l'après-Cop 21,"        ...  à 20 h 30 à JuvisysurOrge, une soirée doit se tenir sur la conférence du  climat. Le conseiller énergieclimat à la ville de Paris animera ce rendezvous.  ...  "
30,2016-04-25,Le Parisien - Yvelines,390mots,Hendrik Delaire,La maison performante veut séduire les acheteurs,    ...  le chantier samedi à l'initiative de l'Agence locale de l'énergie et du  climat de SaintQuentinenYvelines (Alec SQY). Spécificité de cette construction d'une surface de 200 ...  
31,2016-04-29,Le Parisien - Val de Marne,160mots,F.D.,« Un climat de soupçon et de parano »,"    ... 'escale. « On est tous à fleur de peau », glisse, fébrile, ce syndicaliste, qui évoque « un  climat de soupçon et de parano ». « C'est tout nouveau, ce délire. Et tout le monde peut ...  "
32,2016-01-11,Le Parisien,564mots,Éric Le mitouard,Paris by night change de couleur,"    ...  ont conquis pour la première fois, juste avant la COP21 (la conférence mondiale sur le  climat), les artères historiques de capitale. La partie piétonne des ChampsElysées y est passée (380 lanternes ...  "
33,2016-01-04,Le Parisien,107mots,M.Len.,Un climat toujours tendu dans son pays natal,"    ...  de la République démocratique du Congo, des centaines d'autres ont été libérés. Mais le  climat politique reste tendu. La date de l'élection présidentielle, qui doit se tenir courant 2016, n ...  "
34,2016-02-16,Le Parisien,223mots,D.M.,Présidence de la COP21 : Fabius renonce,"    ...  future fonction de président du Conseil constitutionnel avec la présidence de la COP21 sur le  climat. Face à la polémique qui enflait sur la compatibilité de ces deux fonctions, l'exministre ...  "
35,2016-03-19,Le Parisien - Paris ,433mots,Michel Valentin,L'apocalypse du samedi,"    ...  l'atmosphère, de l'espace, de la bêtise des humains qui tentent de contrôler le  climat... Ça finit toujours aussi mal et les dégâts sont massifs, pour l'environnement et pour la ...  "
36,2016-04-23,Le Parisien - Paris ,349mots,Ava Djamshidi,Hollande sacré par le « Time »,"    ...  plaisir lors de la cérémonie officielle de signature de l'accord de Paris sur le  climat, négocié en décembre. Le chef de l'Etat  qui était accompagné de la ministre de l ...  "
37,2016-01-12,Le Parisien,99mots,,Ciné débat sur la planète et le climat,"        ... 'échange avec le réalisateur, scientifique, explorateur et l'agence locale de l'énergie et du  climat MVE. Soirée clôturée par une discosalade, un buffet bio, organisée avec l'association vincennoise les ...  "
38,2016-02-09,Le Parisien,339mots,Anthony Lieures,« Le maire a créé un climat anxiogène pour les agents »,"    ...  du syndicat FO. Depuis son élection il y a deux ans, il a créé un  climat anxiogène pour les agents. » Joseph Belorgane parle ainsi de « pressions » exercées sur des employés des services ...  "
39,2016-03-07,Le Parisien - Paris ,375mots,Ph.M.,Ça tangue au PS,"    ... Au moment où s'ouvrent les négociations avec les partenaires sociaux, le  climat n'est pas à la franche camaraderie au sein de la famille socialiste. Dans un entretien hier au « Journal ...  "
40,2016-02-11,Le Parisien,505mots,Julien Duffé,« Le climat est explosif et on veut nous supprimer une classe »,"    ...  d'Aubervilliers, l'équipe enseignante, pourtant soudée et motivée, ne cache pas son dépit. « Le  climat est explosif et on veut nous supprimer une classe », soupire Cécile, 36 ans, qui égrène les ...  "
41,2016-02-29,Le Parisien - Oise,111mots,,Grève demain à l'Erea,        ... 'élèves. Le personnel a déposé un préavis de grève pour demain. Les enseignants dénoncent « le  climat de violence qui règne dans l'enceinte de l'établissement ainsi que les pressions inacceptables sur ...  
42,2016-01-10,Le Parisien,289mots,Hubert Lizé,"« Demain », le film qui redonne espoir","    ... 'agriculture, l'économie, l'éducation, l'énergie, la démocratie, pour résoudre les problèmes de réchauffement  climatique et les accidents écologiques. Les gens applaudissent souvent à la fin de la séance et alimentent ...  "
43,2016-02-02,Le Parisien,104mots,,L'ambassadrice de la COP 21 aux Journées de l'environnement,"        ...  Département, l'université Paris Diderot et l'Ecole des Ponts ParisTech, porte sur « L'urgence  climatique : la COP 21 et après ? ». Les journées se poursuivront du 9 au 11 février à l ...  "
44,2016-02-19,Le Parisien,409mots,Stéphanie Forestier,« ONF m'a tué » : des tags contre les coupes d'arbres,"    ...  bois, préférant remplacer certaines essences d'arbres contre d'autres plus appropriées à l'évolution  climatique et donc plus résistantes. Pour cela, des coupes sont pratiquées sur des parcelles entières. Ce qui ...  "
45,2016-03-21,Le Parisien - Paris ,141mots,,Incroyables virus,"        ...  bien sûr celle des virus. Rhume, grippe, Ebola, MERS, chikungunya, ils sont partout. Le changement  climatique conduiratil à des épidémies encore plus mortelles ? Les virus que l'on croyait disparus ...  "
46,2016-04-06,Le Parisien - Paris ,207mots,(avec Martine Chevalet),Quel est le point commun entre Laurent,"    ...  estimentils, convaincus d'avoir oeuvré au bien de la planète. Lutte contre le réchauffement  climatique pour l'un, électrification de l'Afrique pour l'autre, accès des plus démunis aux médicaments ...  "
47,2016-04-04,Le Parisien - Essonne,96mots,,A quoi ressemblera l'écologie en 2051 ?,"        Le changement  climatique, enjeu du XXI e siècle ? A partir d'aujourd'hui et jusqu'au 6 mai, la ville de ParayVieillePoste consacre à l'espace EricTabarly une exposition ...  "
48,2016-04-12,Le Parisien - Paris ,553mots,Pauline Théveniaud,A quoi jouent Macron et Hulot ?,"    ...  hommes se rapprochent. « Hulot porte des préoccupations très partagées sur les enjeux liés au réchauffement  climatique et la croissance vertueuse », estimetil. Pascal Terrasse, autre soutien du ministre de l'Economie ...  "
49,2016-01-09,Le Parisien,468mots,Propos recueillis par Marie-Anne Gairaud,« Nous allons ouvrir une ferme urbaine de 2 500 m2 dans Paris »,"    ...  verts à Paris... La végétalisation a une vraie utilité dans la lutte contre le réchauffement  climatique : elle apporte un confort important en matière thermique dans une ville, et elle participe au maintien ...  "
50,2016-04-23,Le Parisien - Oise,295mots,Cindy Belhomme,Il sonde le terrain pour préserver l'environnement,"    ...  la qualité de l'eau, sur la biodiversité et sur la lutte contre le réchauffement  climatique. » Ainsi, chaque projet qui sortira de terre sur ces zones devra répondre à une démarche « ERC ...  "
51,2016-01-01,Le Parisien,101mots,,Des stations météo dans toutes les écoles,"        Pour sensibiliser les écoliers de NogentsurOise sur les problématiques du réchauffement  climatique, la municipalité va installer des stations météorologiques dans toutes ses écoles. L'objectif est aussi de développer l ...  "
52,2016-03-01,Le Parisien - Paris ,434mots,Alain Grasset,"DiCaprio, le revenant des Oscars","    ...  il le fait très régulièrement, a appelé le monde à se mobiliser contre le changement  climatique, l'un de ses grands combats. « C'est la menace la plus urgente pesant sur notre ...  "
53,2016-03-24,Le Parisien - Seine St Denis,448mots,Marie-Pierre Bologna,Découvrez les merveilles du Jardin d'Alice,"    ...  souvient Anastasia. Depuis, les membres d'Alternatiba, qui se veulent pourvoyeurs d'alternatives au changement  climatique, tiennent souvent leur réunion au Jardin. Fervents défenseurs de l'environnement, favorable à une culture bio ...  "
54,2016-02-17,Le Parisien,102mots,,Venez trouver un nouveau chemin vers l'écologie,"        ... 'association entend mobiliser tous les habitants de la ville pour agir ensemble face au dérèglement  climatique, au pic pétrolier, aux crises économiques et sociales et à leurs conséquences profondes. Si vous avez ...  "
55,2016-04-13,Le Parisien - Paris ,78mots,,Royal et les acteurs,"        ...  New York la semaine prochaine pour ratifier l'accord de la COP21 contre le réchauffement  climatique, la ministre de l'Ecologie y croisera Leonardo DiCaprio. Mais ce n'est pas tout : Royal ...  "
56,2016-04-14,Le Parisien - Seine St Denis,439mots,Nathalie Revenu avec B.S.,"La Nuit debout de Saint-Denis, lieu de toutes les revendications","    ...  garde à vue sans motif ». Une femme au look BCBG intervient pour parler d'urgence  climatique. Les débats continuent dans une ambiance bon enfant, sous la lumière du soleil couchant. Après une ...  "
57,2016-04-05,Le Parisien - Hauts-de-Seine,240mots,Anne-Sophie Damecour,François Hollande a rencontré les salariés de Netatmo,"    ...  dans le monde entier pour montrer des applications concrètes afin de lutter contre le réchauffement  climatique ». Le Président fait notamment référence au thermostat pour smartphone commercialisé depuis 2013, et qui permet aux ...  "
58,2016-04-20,Le Parisien - Paris ,154mots,,En bref La prolifération de moustiques liée,"        La prolifération de moustiques liée au réchauffement  climatique devrait entraîner une accélération des contaminations de Zika et de ce type de virus, ont indiqué des scientifiques hier. « La menace est de voir ...  "
59,2016-01-21,Le Parisien,108mots,,Bienvenue chez les Inuits,        ...  NouveauQuébec) dans ce spectacle. Il pose également des questions d'adulte sur le réchauffement  climatique ou encore sur le conflit entre tradition et modernité. La musique et les textes du spectacle ...  
60,2016-01-31,Le Parisien,451mots,G.W.,"Trump, le roi des populistes","    ...  Et en racontant souvent n'importe quoi. Comme lorsque ce businessman milliardaire dénonce le réchauffement  climatique comme une invention des... Chinois. « Ici, 57 % des républicains qui participent au caucus sont chrétiens, souligne ...  "
61,2016-03-11,Le Parisien - Seine St Denis,374mots,Marie-Pierre Bologna,Piétons et vélos ont toute leur place en centre-ville,"    ...  lire cidessous). « Nous nous engageons sur huit points pour lutter localement contre le réchauffement  climatique. Après les leçons tirées de la COP21, il nous est apparu évident qu'il revient à ...  "
62,2016-03-24,Le Parisien - Paris ,497mots,Frédéric Mouchon,La bataille de l'ammoniac,"    ...  de tout son poids afin d'arracher un accord mondial de lutte contre le réchauffement  climatique. Mais le même mois, à Bruxelles, la France menait en coulisses avec d'autres pays et ...  "
63,2016-03-21,Le Parisien - Val d'Oise,361mots,Édith Lasry-Segura,Déjà 200 familles séduites par le bilan thermique,"    ...  consentir à l'idée. C'est une action qui permet de lutter contre le réchauffement  climatique, une priorité dans notre ville ». Eaubonne est la première commune du Vald'Oise à réaliser ...  "
64,2016-04-18,Le Parisien - Essonne,299mots,Mélanie Pinto,Biodiversité : les feux passent au vert,"    ...  l'environnement, ont signé une « convention de biodiversité urbaine ». Un engagement local contre le réchauffement  climatique qui court jusqu'en 2020 et qui récompense « les efforts effectués depuis deux ans pour faire ...  "
65,2016-01-24,Le Parisien,272mots,Florence Deguen,Le mont Blanc à portée de clic,"    ...  de réalité virtuelle Google Cardboard... Et puis, audelà du frisson virtuel, cet état des lieux numérique inédit permettra, aussi, d'évaluer l'impact du réchauffement  climatique sur cette montagne mythique.  ...  "
66,2016-02-25,Le Parisien - Paris ,189mots,F.M.,Des algues à la place du pétrole,"    ...  construite sur du pergélisol. Cette surface de glace de plusieurs mètres d'épaisseur, gelée depuis des milliers d'années, a en effet tendance à fondre sous l'effet du réchauffement  climatique.  ...  "
67,2016-03-16,Le Parisien - Val de Marne,127mots,,Visitez les serres horticoles de la ville de Paris,"        ...  pépinières. La ville de Paris y emploie 130 jardiniers ainsi que des équipements de haute technologie : serres performantes, semoirs automatiques, robots pour le repiquage, automates de régulation  climatique, stations de fertilisation.  ...  "
68,2016-03-17,Le Parisien - Val de Marne,124mots,,La visite des serres de Paris réservée aux professionnels,"        ...  La Ville de Paris y emploie 130 jardiniers ainsi que des équipements de haute technologie : serres performantes, semoirs automatiques, robots pour le repiquage, automates de régulation  climatique et stations de fertilisation.  ...  "
69,2016-01-01,Le Parisien,141mots,,Mammouth,"        ...  a quatre mille ans, en Sibérie. Ce déclin rapide serait dû à un brusque réchauffement  climatique survenu il y a dix mille ans et qui a modifié en profondeur leur habitat, ainsi ...  "
70,2016-03-15,Le Parisien - Paris ,615mots,Émilie Torgemen,Bordeaux ose les tours... en bois,"    ...  sont l'avenir de la construction, au moment où l'on lutte contre le réchauffement  climatique. « Par rapport au même appartement en béton, un logement de 60 m 2 en CLT fait ...  "
71,2016-02-01,Le Parisien,95mots,,Ensemble ! 94 appelle à l'action collective,"        ... Seine. Seront notamment abordés les thèmes de l'état d'urgence, du chômage, du réchauffement  climatique, du racisme ou encore la loi Macron. « Ne cédons pas à la démoralisation. Inventons, réfléchissons ensemble ...  "
72,2016-03-21,Le Parisien - Paris ,414mots,Frédéric Mouchon,Pourquoi les sardines rétrécissent,"    ...  état de santé de la grande bleue. « Ajoutés au stress de la surpêche, le dérèglement  climatique qui affecte la température de l'eau et la pollution du Rhône qui se jette dans ...  "
73,2016-01-08,Le Parisien,493mots,Frédéric Mouchon,Fuite de gaz géante,"    ...  la production de gaz à effet de serre, connu pour son impact sur le réchauffement  climatique, pour toute la côte de 25 % ! « C'est l'équivalent de trois quarts des émissions de ...  "
74,2016-01-22,Le Parisien,111mots,,Ségolène Royal marathon woman,"        ...  le nombre de kilomètres parcourus dans les allées de la grande conférence contre le réchauffement  climatique au Bourget (SeineSaintDenis), qui s'est tenue début décembre : « Dix kilomètres par jour, donc ...  "
75,2016-02-16,Le Parisien,115mots,,Débat sur une métropole durable,"        ...  Paris, le 1 er janvier. « Le Grand Paris estil une des réponses au défi  climatique ? En quoi la métropole estelle durable ? » sont autant de questions abordées par Mireille Ferri, directrice ...  "
76,2016-02-18,Le Parisien,119mots,,Rhabillez le mobilier urbain pour l'hiver,"        ...  festival EcoZone qui se déroulera du 14 au 22 mai, sur le thème du dérèglement  climatique. Tous ceux qui aiment travailler la laine ou le crochet sont invités à participer. Réservation des ...  "
77,2016-02-04,Le Parisien,135mots,Donat Vidal Revel,Les villes au pouvoir,"    ...  communauté et doivent faire preuve de pragmatisme. Les défis d'aujourd'hui, comme le changement  climatique, la pauvreté, l'éducation ou encore la sécurité, doivent être portés et initiés par les maires ...  "
78,2016-02-24,Le Parisien - Paris ,697mots,Propos recueillis par|Alain Grasset,« Il faisait si froid que les caméras gelaient »,    ...  Canada a considérablement retardé le tournage... Oui. Voilà l'une des conséquences terribles du réchauffement  climatique. La neige fondait sous nos pieds. Nous avons donc fini le film en Patagonie. Il faisait ...  
79,2016-03-19,Le Parisien - Paris,108mots,,La tour Eiffel s'éteindra ce soir une heure,"        ...  économiques sont invités à éteindre les lumières pour témoigner de leur engagement contre le dérèglement  climatique. Cette année, ce sont plus de 7 000 villes dans 162 pays qui participent à cette ...  "
80,2016-01-19,Le Parisien,343mots,,Pourquoi pas une taxe sur les matchs de foot,"        ...  l'effet de la multiplication des conflits et des catastrophes naturelles aggravées par le changement  climatique, la demande a été multipliée par dix en quinze ans, passant de 2 Mds$ (1,83 ...  "
81,2016-02-24,Le Parisien - Yvelines,148mots,,Jean-Marie Tétart (LR) s'occupera de la coopération au sein de son parti,"        ...  de réfugiés sur l'ensemble de la planète, à celle enfin des enjeux du changement  climatique, la coopération et l'aide au développement sont au coeur de notre avenir », a affirmé l ...  "
82,2016-02-17,Le Parisien,218mots,Carine Didier,Drôles d'oiseaux,"    ...  feuillu. « Mais ces oiseaux vivent sous les tropiques... Ils sont là à cause du réchauffement  climatique ? » demande votre ado. Rien ne va plus. Bientôt, on verra des Aras bleus dans Paris...  ...  "
83,2016-01-13,Le Parisien,548mots,Olivier Beaumont,Bertrand fait ses cartons,"    ...  les députés ont montrée quelques mois plus tard, après ceux du 13 novembre, lui ont laissé un goût amer : « Ce jourlà, le  climat général aurait réclamé plus de dignité. » @olivierbeaumont  ...  "
