,date,publication,words,author,title,intro
0,2019-06-13,Le Parisien - Seine St Denis,636mots,Élodie Soulié,"Vipulan, 15 ans, résistant climatique","    ...  Greta Thunberg, jeune suédoise, a appelé la jeunesse à se mettre en grève pour le  climat. Vipulan avait trouvé la portevoix mondiale de convictions qu'il s'efforçait déjà de faire ...  "
1,2019-05-19,Le Parisien - Edition Principale ,829mots,,"« Pas de sujet tabou, ils pourront discuter de tout »","        ...  jeudi ? FRANÇOIS DE RUGY Le chef de l'Etat veut une mobilisation générale sur le  climat, la biodiversité et les questions écologiques en général : nous nous mettons donc en ordre de marche ...  "
2,2019-07-29,Le Parisien - Paris,531mots,@leparisien_75,Comment faire de l'ombre à la canicule ?,"    ...  les années à venir ? Les prévisionnistes le disent : d'ici quelque temps, avec le réchauffement  climatique, les épisodes caniculaires vont se multiplier et le  climat de Paris ressemblera à celui de Canberra ...  "
3,2019-05-04,Le Parisien - Edition Principale ,691mots,,« Nos enfants nous rendent écolo »,        Par Valentine Watrin Le réchauffement  climatique prend désormais des allures d'ultimatum. Et les jeunes sont les meilleurs ambassadeurs de l'urgence  climatique. Vanessa et Brigitte incarnent cet écart intergénérationnel face au ...  
4,2019-06-27,Le Parisien - Edition Principale ,394mots,,Le gouvernement en fait-il trop avec la,        ...  technologiques réalisés dans les prévisions. Les Français sont prêts à changer. Leur sensibilité au changement  climatique et à la pollution de l'air est beaucoup plus importante qu'il y a dix ...  
5,2019-06-13,Le Parisien - Yvelines,609mots,,"A 15 ans, il est un « résistant climatique »","        ...  suédoise au visage poupin a appelé la jeunesse à se mettre en grève pour le  climat. Avec Greta Thunberg, pasionaria à peine plus âgée que lui, Vipulan avait trouvé la portevoix ...  "
6,2019-05-25,Le Parisien - Paris ,576mots,,"« Les grèves n'ont rien donné, on passe à l'action »","        ...  militants s'installent dans le grand escalier et entonnent : « On est plus chauds que le  climat » ou encore « Petit Macron, tu trouveras dans tes poumons la pollution que tu nous as laissée ...  "
7,2019-05-28,Le Parisien - Paris ,657mots,,"« Le climat, les vieux s'en foutent »","        ...  oeillets, une ancienne usine transformée en lieu de culture et d'enseignement. « Les experts du  climat le disent : il reste deux ans pour agir, après il sera trop tard pour lutter contre ...  "
8,2019-08-28,Le Parisien - Edition Principale ,629mots,,L'école verdit ses cours et ses programmes L'ÉCOLE EN VERT,"        ...  classe, seront choisis par leurs pairs pour porter en leur nom les enjeux du réchauffement  climatique ou de la biodiversité. La mesure figure parmi les huit idées de l'Education nationale pour ...  "
9,2019-05-28,Le Parisien - Paris ,734mots,,LA CLASSE VERTE PASSE À L'ACTION,"        ...  vote nous oblige à être à ses côtés. Il nous oblige à agir sur le  climat, le vivant, la solidarité. » Si la tête de liste Europe Ecologieles Verts a été propulsée ...  "
10,2019-08-04,Le Parisien - Edition Principale ,1459mots,,"Écologie « Ministre, ce n'est pas un CDI »",        ...  fait en sorte que ces accords soient transparents et démocratiques. Le principe d'un veto  climatique a été introduit dans le Ceta pour garantir nos règles environnementales et sanitaires. Mais il est ...  
11,2019-05-09,Le Parisien - Paris ,731mots,,Décryptage d'une polémique,"        ...  Bloom et du mouvement Place publique avec Raphaël Glucksmann, était invitée à parler du réchauffement  climatique. Les échanges ont vite dérapé, notamment entre la candidate aux européennes et Elisabeth Lévy, polémiste et ...  "
12,2019-08-14,Le Parisien - Edition Principale ,369mots,,"Sur votre compte Twitter, vous vous présentez",        ...  dit en même temps qu'elle est supérieure aux autres. Son appel à sauver le  climat ne vous touche pas ? Comprenonsnous bien : je suis parfaitement en phase avec les différents scénarios ...  
13,2019-07-22,Le Parisien - Paris,372mots,,65 ours blancs « lâchés » dans les rues,"        ...  jungle de Paris », comme il la qualifie, pour attirer les passants et « échanger sur le  climat ». Le choix d'ours polaires cette foisci relève d'une double coïncidence : « la troisième canicule ...  "
14,2019-06-26,Le Parisien - Essonne,138mots,,Le plan climat passe au vote,"        ...  Orsay*. Parmi les 53 points à l'ordre du jour, ils doivent adopter le plan  climat. « Il s'agit d'un programme de 126 actions pour ralentir le réchauffement  climatique, détaille l ...  "
15,2019-07-10,Le Parisien - Paris ,682mots,,Rien ne va plus entre la gauche et le préfet de police,"        ... Anne Gairaud Alors que ce Conseil de Paris n'a cessé de parler de réchauffement  climatique, hier aprèsmidi, l'ambiance était plutôt glaciale dans l'hémicycle. Depuis quelques semaines, la tension ...  "
16,2019-08-14,Le Parisien - Edition Principale ,307mots,,Greta Thunberg sert-elle le climat ?,"        ... 'une des porteparole. » A 16 ans, l'icône de la lutte contre le réchauffement  climatique, qui s'est fait connaître en s'installant tous les vendredis devant le Parlement de Stockholm ...  "
17,2019-07-30,Le Parisien - Edition Principale ,706mots,,"« D'ici à 2050, les canicules vont être deux fois plus nombreuses »","        ...  MassonDelmotte, paléoclimatologue et coprésidente du Giec (Groupe d'experts intergouvernemental sur l'évolution du  climat), décrypte concrètement ce que vivre dans un monde plus chaud implique. A + 1,5, + 2 ou ...  "
18,2019-05-30,Le Parisien - Oise,175mots,,Plan climat à l'échelle locale,"        ...  préoccupations. Une tendance sur laquelle le Pays de Sources et Vallées entend bien surfer, au moment où le territoire du Nord Compiégnois élabore son plan  climat pour la période 20202025.  ...  "
19,2019-07-28,Le Parisien - Paris ,607mots,,« L'Allemagne doit fermer ses centrales à charbon »,"        ... 'ENS DE GÉOLOGIE Notre jeunesse s'inquiète de son avenir et de l'évolution du  climat. Pour limiter l'accroissement de température de la surface terrestre à des valeurs encore supportables, il ...  "
20,2019-07-04,Le Parisien - Val d'Oise,120mots,,Votre avis sur le climat compte,"        VAL Parisis Chacun a un rôle à jouer dans le  climat. A partir de cette réflexion l'agglomération du Val Parisis organise, une consultation publique sur le Plan  Climat Air Energie Territorial ...  "
21,2019-08-25,Le Parisien - Edition Principale ,489mots,,dossier réalisé Par Émilie Torgemen La banquise,        ...  santé mentale est en jeu L'Association psychanalytique internationale a d'ailleurs reconnu le changement  climatique comme « la plus grande menace de santé publique du XXI e siècle ». Il ne s'agit ...  
