,date,publication,words,author,title,intro
0,2017-09-27,Le Parisien - Paris ,569mots,,Pourquoi tant de cyclones ?,"        ...  pu éviter les ouragans Irma, José ou Maria si nous n'avions pas déréglé le  climat avec nos gaz à effet de serre ? « Non, assure Fabrice Chauvet, du Centre national de recherche ...  "
1,2017-11-01,Le Parisien - Edition Principale ,187mots,,CLIMAT Le changement climatique a déjà un,"  CLIMAT Le changement  climatique a déjà un impact sur notre santé, tranche un rapport publié hier dans la revue médicale britannique « The Lancet ». Par exemple, le nombre de personnes affectées par des ...  "
2,2017-12-09,Le Parisien - Paris ,515mots,,"Le pôle Nord a chaud, ici on grelotte",        ...  spécialiste de l'évolution des glaces de mer arctiques. Ce qui est vrai à long terme pour le  climat l'est aussi à court terme pour la rigueur de nos hivers.  ...  
3,2017-12-11,Le Parisien - Edition Principale ,518mots,,Un sommet climat pour quoi faire ?,"        ...  Rajoy, et des stars comme Leonardo DiCaprio, très engagé dans la lutte contre le réchauffement  climatique, sont attendus au sommet  climat One Planet Summit qui se tiendra demain à BoulogneBillancourt (Hauts ...  "
4,2017-09-21,Le Parisien - Edition Principale ,590mots,,« Trump voudrait le beurre et l'argent du beurre... »,        ...  mène tambour battant la bataille pour la préservation de l'accord de Paris sur le  climat. Le chef de l'Etat a présidé mardi une première réunion consacrée à un futur « pacte ...  
5,2017-11-08,Le Parisien - Paris ,532mots,Propos recueillis parcharles De Saint-Sauveur,« Il gère son pays comme une entreprise »,"    ...  livre son regard sur le président Trump, alors que Paris prépare son sommet sur le  climat. L'Elysée a annoncé hier que, pour l'instant, Donald Trump n'était pas invité, le ...  "
6,2017-12-28,Le Parisien - Edition Principale ,565mots,,Trump en guerre contre la science,"        ...  sciences. Midécembre, le locataire de la MaisonBlanche a d'ailleurs retiré le changement  climatique de la liste des plus grands périls qui menacent la sécurité nationale des EtatsUnis. Il ...  "
7,2017-12-16,Le Parisien - Paris,97mots,,Venez parler climat,        ...  habitants au Comité d'initiative et de consultation (CICA) consacré à la déclinaison du plan  climat parisien dans l'arrondissement. Cette nouvelle feuille de route pour le  climat a pour ambition de ...  
8,2017-11-17,Le Parisien - Edition Principale ,237mots,É.T.,"COP23, et après ?","    ...  196 pays qui avaient signé l'accord de Paris en 2015 pour limiter le réchauffement  climatique, de nouveau réunis à Bonn (Allemagne), ont semblé cette fois peiner à concrétiser leurs engagements. « C ...  "
9,2017-09-27,Le Parisien - Edition Principale ,306mots,Catherine Balle,Climat : Al Gore en remet une couche,"    ...  solutions existent. Dix ans après « Une vérité qui dérange », son documentaire choc sur la crise  climatique qui avait décroché un Oscar, Al Gore présente « Une suite qui dérange ». Cette foisci, le ...  "
10,2017-11-14,Le Parisien - Paris ,625mots,,"Climat : « Ce n'est pas fichu, mais... »","        ... 'hui ? Laurent Fabius. Je vais porter un message très clair : sur la question du réchauffement  climatique, il y a aujourd'hui alerte rouge. Il faut mobiliser davantage et plus rapidement. Compte tenu ...  "
11,2017-11-08,Le Parisien - Paris ,461mots,,La lutte s'intensifie contre le réchauffement climatique,"        ...  La mairie de Paris a dévoilé hier son nouveau plan de bataille contre le réchauffement  climatique. Parmi les 500 mesures envisagées, les plus emblématiques portent sur l'amélioration de la qualité de ...  "
12,2017-10-07,Le Parisien - Val de Marne,266mots,,"Festigreen, un festival pour « changer le système, pas le climat »","        ...  Alternatiba, Festigreen est leur premier festival. Avec la formule choc « changeons le système, pas le  climat », le collectif espère bien donner une impulsion encore plus grande à l'action de 50 organisations ...  "
13,2017-11-20,Le Parisien - Hauts-de-Seine,96mots,,Une exposition sur le plan climat,"        levalloisperret Le Plan  climatairénergie territorial (PCAET) est un projet de développement durable destiné à préserver la qualité de l'air, lutter contre le changement  climatique et en réduire les ...  "
14,2017-12-12,Le Parisien - Edition Principale ,871mots,@henrivernet,Sommet climat à Paris : « J'attends les 100 milliards promis »,"    ...  nigérien, les dirigeants africains doivent assumer leurs responsabilités dans la crise des migrants. Le sommet  climat à Paris, estce juste un sommet de plus ? MAHAMADOU ISSOUFOU. Il a son utilité, car ...  "
15,2017-10-23,Le Parisien - Seine-et-Marne ,543mots,,"Interdiction des véhicules diesel à Paris, « irréaliste » selon les artisans","        ...  de la circulation auto envisagées par la mairie (PS) de Paris dans son futur plan  climat. Anne Hidalgo, qui a reçu hier les maires du C40 ( NDLR : les grandes métropoles engagées dans ...  "
16,2017-12-12,Le Parisien - Oise ,71mots,J.-G.B.,"Sommet climat à Paris, gare aux bouchons","    ... 'hui au coeur de Paris et en banlieue ouest, en raison du sommet sur le  climat, qui se tient à l'île Seguin. Une grande partie des quais de Seine, de Paris ...  "
17,2017-11-14,Le Parisien - Essonne,527mots,@leparisien_91,L'Expo universelle a-t-elle le soutien de l'Etat ?,"    ...  Saclay, sélectionné pour accueillir le village global ? A l'occasion du lancement jeudi du Plan  climat de la communauté d'agglomération de ParisSaclay, le collectif Urgence Saclay, une association de citoyens ...  "
18,2017-12-12,Le Parisien - Paris ,474mots,@leparisien_75,Chefs d'Etat et stars à l'île Seguin vont rendre chèvre les Parisiens,"    ...  d'Etat et de gouvernement ou des stars engagées dans la lutte contre le réchauffement  climatique, sont attendus. « Avec la loi du 30 octobre 2017, nous avons délimité une zone à l ...  "
19,2017-09-14,Le Parisien - Edition Principale ,201mots,,NUCLÉAIRE La centrale de Belleville-sur-Loire (Cher) a,"        ... 'ancre au large d'Athènes. Il a laissé s'échapper 2 500 t de carburant.  CLIMAT La fonte des glaciers alpins s'accélère à cause du réchauffement  climatique, selon le laboratoire de ...  "
20,2017-12-12,Le Parisien - Hauts-de-Seine,529mots,@leparisien_92,"Pour recevoir la planète, l'île Seguin coupée du monde","    ...  accueille le temps d'une journée le One Planet Summit, le nouveau sommet pour le  climat, deux ans jour pour jour après l'accord de la COP 21 signé à Paris. Le ...  "
21,2017-12-29,Le Parisien - Edition Principale ,398mots,Charles De Saint Sauveur,"Pas très guillerets, les conseils de lecture du FN","    ...  essai signé Laurent Obertone qui démontre à quel point la société française évolue vers un  climat de violence accrue. « Soumission », le livre choc de Michel Houellebecq, trône en majesté dans la sélection ...  "
22,2017-11-02,Le Parisien - Paris ,254mots,,Pas de catastrophe,"        Par Michel Valentin Dans un futur proche, face aux conséquences dramatiques du réchauffement  climatique, l'humanité a construit un réseau de satellites pour empêcher les phénomènes extrêmes : ouragans, sécheresses et autres inondations ...  "
23,2017-11-30,Le Parisien - Val de Marne,175mots,,Le territoire adhère à Airparif,"        ...  Bernard, ont ainsi entériné la volonté des 13 communes* de s'engager contre le réchauffement  climatique et la pollution de l'air. « Le territoire est confronté à des problématiques de particules fines ...  "
24,2017-12-13,Le Parisien - Paris ,149mots,,La fondation Bill Gates a promis à,"        ...  consacrer 315 M$ pour aider les agriculteurs, notamment en Afrique, à s'adapter au changement  climatique. La menace d'une grève s'est précisée hier chez Ryanair, dont des pilotes italiens et ...  "
25,2017-11-21,Le Parisien - Paris ,532mots,,Où est passée la pluie ?,"        ...  de géographie. Mais il va peutêtre falloir réviser nos manuels. « Du fait du réchauffement  climatique, les anticyclones subtropicaux sont désormais situés à des latitudes plus élevées, ce qui explique que l ...  "
26,2017-09-20,Le Parisien - Edition Principale ,371mots,A.D. (à New York),La folle menace du président américain,"    ... 'assemblée générale des Nations unies, Donald Trump n'a pas dit un mot sur le  climat. Rien. Comme s'il faisait peu de cas de ces voix qui s'élèvent, y compris ...  "
27,2017-12-25,Le Parisien - Paris ,267mots,,"Fausse victime, vrai symbole","        ...  famélique filmé agonisant est devenue virale parce qu'elle semblait la triste preuve du réchauffement  climatique. « Si la Terre continue de se réchauffer, nous perdrons des écosystèmes polaires entiers. Ce gros ours ...  "
28,2017-09-05,Le Parisien - Paris ,453mots,V.V.,Hulot ferme les vannes de pétrole,    ...  et antarctiques françaises. L'objectif du projet de loi est de lutter contre le réchauffement  climatique. Le Groupe d'experts intergouvernemental sur l'évolution du  climat (Giec) estime qu'il faut délaisser ...  
29,2017-11-05,Le Parisien - Paris ,611mots,,Climat : peut-on encore y arriver ?,"        ... Même si les émissions mondiales de CO 2, responsables du réchauffement  climatique, semblent se stabiliser, notamment grâce à la Chine, qui a réduit sa dépendance au charbon, les efforts engagés ne sont ...  "
30,2017-09-29,Le Parisien - Val de Marne,253mots,,Joignez-vous au tour à vélo de l'énergie citoyenne,"        ...  Paris. L'objectif ? Sensibiliser le plus grand nombre aux enjeux de la mobilité et du  climat. Pour vous joindre au cortège, départ à 17 heures devant l'incinérateur d'Ivry, direction Vitry ...  "
31,2017-12-03,Le Parisien - Edition Principale ,555mots,,Obama en guest star à Paris,        ...  des inégalités et le développement des hyperfortunes. L'une de ces peurs  le réchauffement  climatique  lui donne l'occasion de tacler Donald Trump qui est sorti de l'accord de Paris ...  
32,2017-11-28,Le Parisien - Edition Principale ,152mots,,SANTÉ Un nouveau portail Internet rassemble toutes,        ... CLIMAT Le réchauffement  climatique a un effet sur les souris. Certaines migrent au Nord grâce à des hivers plus doux. C'est ce que montre une étude publiée hier et portant sur ...  
33,2017-09-27,Le Parisien - Val d'Oise,442mots,,Les terrains d'EuropaCity rendus constructibles dans un climat houleux,"        ...  que ses orientations sont « incompatibles avec le pilier environnemental, par ses impacts sur le changement  climatique, la destruction de ressources et l'atteinte à la biodiversité ». Mais la ville avait rapidement annoncé ...  "
34,2017-10-28,Le Parisien - Paris ,587mots,,Et si le chocolat venait à manquer ?,"        ...  la filière s'est réunie à Paris pour tirer la sonnette d'alarme : le réchauffement  climatique pourrait bien mettre en péril la production de l'or brun, tant apprécié des Français ( voir ...  "
35,2017-12-05,Le Parisien - Val de Marne,371mots,,Les drôles de négociations des élèves pour sauver la planète,"        ...  les grandes puissances ont négocié toute la journée pour s'engager à limiter le réchauffement  climatique. Pour la troisième année, ce jeu de rôles géant a fait un tabac au collège du ...  "
36,2017-11-06,Le Parisien - Paris ,524mots,,500 projets pour une capitale verte,"        ...  fait grand bruit le 12 octobre. Dans le cadre d'une réunion liée au plan  Climat, la Ville de Paris et sa maire (PS), Anne Hidalgo ont annoncé un nouvel objectif : après ...  "
37,2017-09-13,Le Parisien - Hauts-de-Seine,276mots,A.L.,Les artistes dénoncent le réchauffement climatique,"    ...  contemporain abordera donc toutes les questions entourant la nature, sa beauté, mais aussi le dérèglement  climatique et les conséquences de l'intervention humaine. Soixantetrois artistes sont invités. Les visiteurs, qui étaient ...  "
38,2017-10-11,Le Parisien - Edition Principale ,397mots,F.M.,Nemo a trop chaud,"    ...  prémunir, il allait se blottir dans les tentacules d'une anémone. Sauf que le réchauffement  climatique est en train de détruire cet abri naturel. D'après une enquête du CNRS, publiée aujourd ...  "
39,2017-11-09,Le Parisien - Val d'Oise,376mots,,Mal-être à la maison de retraite,"        ... selon La direction, le  climat social est bon Rassemblés plus de deux heures devant l'Ehpad (Etablissement d'hébergement pour personnes âgées dépendantes), les soutiens ont dénoncé « un  climat de répression » qui ...  "
40,2017-11-07,Le Parisien - Paris ,520mots,,L'étonnant scénario du refroidissement Le mercure pourrait chuter en mer du Labrador,"        ...  publié hier à l'occasion de l'ouverture de la 23 e conférence sur le  climat de l'ONU (COP23), à Bonn, en Allemagne. Le réchauffement a déjà des conséquences au Royaume ...  "
41,2017-09-15,Le Parisien - Seine-et-Marne,326mots,,Découvrez des pistes pour protéger la planète,"        Lieusaint Par Marine Legrand Trouver des solutions au dérèglement  climatique. Voilà l'ambition volontairement élevée d'Alternatiba qui tiendra sa 2 e édition à Sénart, aujourd'hui, à Lieusaint. Près de 80 ...  "
42,2017-09-24,Le Parisien - Edition Principale ,898mots,,Le survivant du Grand Nord,"        ...  Vendée avant de jeter l'ancre aux Canaries et de laisser Bourgnon continuer seul. Réchauffement  climatique Rien n'arrête le bonhomme. Lors du fameux périple sur son catamaran rebaptisé « Ma Louloutte », Yvan ...  "
43,2017-10-13,Le Parisien - Paris ,539mots,,« Nous sommes en capacité de le faire »,        ...  rapprochées. Le C40 que je préside regroupe 91 grandes métropoles engagées pour la défense du  climat et qui partagent la même ambition que Paris. Nous sommes des prescripteurs visàvis du ...  
44,2017-12-19,Le Parisien - Seine-et-Marne,131mots,J.O.,Un plan climat énergie,"    ...  de coopération intercommunale de plus de 20 000 habitants de mettre en place un Plan  climat air énergie territorial. D'ici fin 2018, la PVM s'engagera à établir un « plan climat ...  "
45,2017-10-23,Le Parisien - Edition Principale ,525mots,,Unis contre la pollution,"        ...  du C40, sont depuis hier et jusqu'à ce soir dans la capitale pour y rencontrer notamment les cadres dirigeants de plusieurs multinationales afin de trouver des solutions au changement  climatique.  ...  "
46,2017-12-13,Le Parisien - Val de Marne,138mots,,Un chercheur américain à l'université,"        ...  chercheurs, entrepreneurs, associations... pour rejoindre la France et travailler à la lutte contre le réchauffement  climatique. Christopher Allen Cantrell, jusqu'alors chercheur en chimie atmosphérique à l'University Colorado de Boulder (USA ...  "
47,2017-09-07,Le Parisien - Paris ,396mots,Propos recueillis par Frédéric Mouchon,« On s'attend à des cyclones encore plus intenses »,"    ...  étant source de chaleur, cela peut contribuer à entretenir la dynamique du cyclone. Le réchauffement  climatique estil en cause ? Avant les années 1970, nous n'avons pas été en mesure de ...  "
48,2017-10-25,Le Parisien - Val de Marne,477mots,,La logistique au coeur de la ville,        ...  Amont] son projet d'hôtel logistique prévu dans la ZAC de la gare des Ardoines à Vitry à l'horizon 2020. « mieux organiser les flux pour lutter contre le dérèglement  climatique »  ...  
