,date,publication,words,author,title,intro
0,2013-12-16,Le Parisien,81mots,,Le changement climatique et ses impacts,"        ...  de la récente publication du rapport du Groupe d'experts intergouvernemental sur l'évolution du  climat (Giec), Sciences Essonne organise une table ronde et un débat sur le thème « l'Homme et ...  "
1,2013-09-14,Le Parisien,257mots,Marie d'Ornellas,Les paysages préhistoriques d'Etiolles,"    ...  période avec les gens, ils ont une idée très floue de ce qu'étaient le  climat et les paysages, constate Emmanuelle Brunet, archéologue au conseil général. Comme on sait qu'il y ...  "
2,2013-11-26,Le Parisien,72mots,,La conférence climat au Bourget en 2015,"        La grande conférence mondiale sur le  climat s'est achevée le weekend dernier à Varsovie, en Pologne. Etats et organisations non gouvernementales (ONG) se sont d'ores et déjà donné rendez ...  "
3,2013-10-31,Le Parisien,66mots,,Moins d'avalanches grâce au réchauffement climatique,"        Les études sur le réchauffement  climatique affirment toutes que les montagnes, et notamment les Alpes, connaîtront moins d'enneigement au cours des décennies à venir. Effet inattendu de cette modification du climat ...  "
4,2013-11-20,Le Parisien,200mots,J.L.,"A l'Insep, on s'entraîne au chaud","    C'est l'autre effet plus ludique du réchauffement  climatique. Face à la multiplication des compétitions sportives dans des milieux tropicaux ou continentaux, l'Insep (Institut national du sport, de l'expertise ...  "
5,2013-11-19,Le Parisien,109mots,,Un plan local contre le changement climatique,        Comment faire pour minimiser autant que possible l'empreinte de son territoire sur le changement  climatique? C'est l'enjeu auquel souhaite répondre la communauté de communes de l'Arpajonnais qui présente ...  
6,2013-11-30,Le Parisien,171mots,F.M.,Il prépare la Conférence climat de 2015 à Paris,    ...  passe ses semaines à sillonner la planète pour préparer la Conférence internationale sur le changement  climatique qui sera organisée en France en 2015. En déplacement aujourd'hui au Botswana où il participe ...  
7,2013-11-21,Le Parisien,557mots,Frédéric Mouchon avec E.B.,L'hiver sera-t-il rude?,"    ...  neige précoces, vagues de froid exceptionnelles, tempêtes hors du commun, cyclones dévastateurs... les experts du  climat constatent depuis quelques années une recrudescence des phénomènes météo extrêmes. « L'année dernière, nous avons dû ...  "
8,2013-10-07,Le Parisien,302mots,,Plus de neige à Noël... en 2100!,        ...  fois en France cette année. Rares sont encore les spécialistes à douter que le réchauffement  climatique ne prive les sommets français d'or blanc dans les décennies qui viennent. Dans le massif ...  
9,2013-11-30,Le Parisien,737mots,Frédéric Mouchon,Hulot remet les gants,"    ...  public. Personne ne doute que la catastrophe survenue aux Philippines est une manifestation du changement  climatique. Un jour ou l'autre, notre pays et notre économie seront eux aussi impactés par ces ...  "
10,2013-12-05,Le Parisien,94mots,,La voiture électrique pas toujours écolo...,"        La voiture électrique ne serait pas systématiquement meilleure pour le  climat, selon une étude pilotée par l'Ademe, principale agence environnementale française. Dans l'Hexagone, elle représente un atout contre le réchauffement ...  "
11,2013-09-17,Le Parisien,634mots,Propos recueillis parRosalie Lucas,« Nous attendons des actes forts »,"    ...  devons utiliser, ce n'est pas la seule solution.  Hollande a annoncé que la contribution  climaténergie n'aurait pas d'effet avant 2014. Cela vatil assez vite? Il faut ...  "
12,2013-12-01,Le Parisien,106mots,M.P.R.,L'atlas des émissions de CO2 en ligne,"    ...  de ces émissions à l'échelle mondiale, principal levier de la lutte contre le réchauffement  climatique, vient d'être rediscutée lors de la conférence de Varsovie sur le  climat et doit faire ...  "
13,2013-09-09,Le Parisien,420mots,,Comment les entreprises gèrent les caprices du ciel,"        ...  des variations de consommation. « On dit qu'un tiers du PIB est influencé par le  climat. Ce qui veut dire que sur 1 000 entreprises, plus de 300 sont dites météosensibles ...  "
14,2013-09-09,Le Parisien,291mots,,L'avis de...,"        ...  températures les plus hautes et les plus basses jamais vues. A mesure que la variabilité  climatique a augmenté, les entreprises ont pris conscience que la météo a un impact significatif sur les ...  "
15,2013-12-16,Le Parisien,554mots,Propos recueillis par Henri Vernet,« Le Qatar prend une place inquiétante dans notre économie »,"    ... E NTRETIEN. Roger Cukierman, le président du Crif, reçu aujourd'hui par François Hollande, s'inquiète aussi d'un  climat général propice à l'antisémitisme en France.   ...  "
