,date,publication,words,author,title,intro
0,2020-11-16,Les Echos,957mots,JOEL COSSARDEAUX,"« Dès 2021, l'ensemble de nos financements seront alignés à 100 % sur l'Accord de Paris »",    ...  l'unanimité que la Banque européenned'investissement (BEI) ne financerait plus aucun projet préjudiciable au  climat à compter de 2021.Le « bras armé » de la politique d'investissement de l'Europe a ...  
1,2020-12-11,Les Echos,1026mots,MURYEL JACQUE,« On voit le mur se rapprocher »,"    ... Directrice générale de la Fondation européenne sur le  climat, et ancienne ambassadrice de la France chargée des négociations sur le changement  climatique lors de la COP21  ...  "
2,2020-12-16,Les Echos,583mots,JACQUES DELPLA,Des vaccins pour le climat,"    ...  de l'Environnement, a déclaré :  « Malheureusement, il n'y a pas de vaccin pour le  climat »  . C'est vrai au sens littéral, mais faux pour les politiques publiques du  climat dont elle ...  "
3,2020-09-21,Les Echos,1422mots,PAUL MOLGA,Pôles : la grande débâcle,"    C'est un nouveau témoignage accablant du réchauffement  climatique que nous a fourni, il y a quelques jours, le satellite CryoSat de l'Agence spatiale européenne : les photos prises lors de son ...  "
4,2020-09-16,Les Echos,500mots,VERONIQUE LE BILLON,"Trump conteste le changement climatique, à rebours de l'opinion américaine","    ... De passage en Californie lundi, le président américain a contesté la réalité du changement  climatique, estimant que les incendies sont davantage liés à la gestion des forêts.  ...  "
5,2020-10-08,Les Echos,612mots,JOEL COSSARDEAUX,L'Union européenne fera subir des « stress tests climatiques » aux projets qu'elle finance,    ... La loi  climat débattue à Bruxelles s'enrichit d'un dispositif visant à éviter les surcoûts liés au financement d'infrastructures insuffisamment adaptées aux chocs climatiques à venir.  ...  
6,2020-10-05,Les Echos,1043mots,DOMINIQUE MOISI,Quand le réchauffement climatique s'invite dans la géopolitique,    ... Les analyses géopolitiques ne peuvent plus faire l'impasse sur la dimension écologique et les bouleversements que le réchauffement  climatique font peser sur les relations entre Etats et régions du monde.  ...  
7,2020-12-14,Les Echos,886mots,JOEL COSSARDEAUX,Les Etats lésinent encore sur leurs nouveaux engagements climatiques,"    ...  général de l'ONU, a lancé samedi un appel à « déclarer l'état d'urgence  climatique » . Le niveau d'ambition des engagements présentés lors du sommet virtuel demande encore à être relevé ...  "
8,2020-11-20,Les Echos,673mots,JOEL COSSARDEAUX,Climat : la justice enjoint l'Etat de s'expliquer sur ses reculades,"    ...  éloigné de cet objectif fixé dans le cadre de l'Accord de Paris sur le  climat. Le Conseil d'Etat, dans un arrêt rendu public jeudi, lui enjoint de fournir sa réponse ...  "
9,2020-11-16,Les Echos,472mots,SOPHIE ROLLAND,Les entreprises sommées d'intégrer les risques liés au climat dans leurs états financiers,"    ...  du fonds TCI, ont voté en faveur d'un plan d'action contre le changement  climatique. Les cas où la pression des actionnaires conduit les entreprises à adopter des objectifs précis en ...  "
10,2020-09-10,Les Echos,506mots,LAURENCE BOISSEAU,Climat : un régulateur américain alerte sur le risque pour les marchés,"    ...  Paris en 2017 et dont l'administration est enracinée dans le déni de la menace  climatique, c'est une avancée majeure. Pour la première fois sous l'ère Trump, un régulateur financier ...  "
11,2020-09-10,Les Echos,729mots,MURYEL JACQUE,Le confinement mondial n'a offert aucun répit sur le front du climat,"    ...  Si de nombreux aspects de notre vie ont été bouleversés en 2020, le changement  climatique quant à lui s'est poursuivi sans relâche. »  Le secrétaire général de l'Organisation météorologique mondiale (OMM ...  "
12,2020-09-21,Les Echos,917mots,,Cause climatique : trois raisons d'y croire,"        ... Face à la multiplication des événements extrêmes liés au changement  climatique, il est facile de céder au désespoir ou au fatalisme. Pourtant, il existe aussi de nombreuses raisons d'être optimiste sur ...  "
