,date,publication,words,author,title,intro
0,2017-06-02,Libération,1711mots,Estelle Pattée,"Diplomatie, emplois... Pourquoi les Etats-Unis ont tout à perdre","    ...  ambitions, mais une sortie pure et simple de l'accord de Paris. Contenir le réchauffement  climatique sous le seuil des 2° C sera forcément plus difficile après le retrait du deuxième plus ...  "
1,2017-08-31,Libération,1105mots,Aude Massiot,Climat : Harvey met un vent à Trump,"    Comme une ritournelle, la question revient à l'esprit à chaque catastrophe naturelle : le changement  climatique, exacerbé par l'activité humaine, y estil pour quelque chose ? Alors que le Texas et ...  "
2,2017-05-20,Libération,1315mots,Estelle Pattée,"Le climat d'abord, les Etats-Unis après","    ...  la décision américaine, cela n'a pas eu lieu, décrit Lucile Dufour, du Réseau action  climat.  Il y a eu comme un consensus : quoi qu'il arrive, on continue.» «On ne fait ...  "
3,2017-08-29,Libération,1317mots,Aude Massiot,Pétrole et climat : un secteur menteur par essence,"    ...  depuis des décennies les effets dévastateurs de l'exploitation des énergies fossiles sur le changement  climatique. Mais n'en a pas averti le public, ni ses investisseurs. Exxon avait, à l'époque ...  "
4,2017-06-02,Libération,1029mots,Aude Massiot,"Accord de Paris, mode d'emploi","    ...  la campagne électorale, décider de sortir la première économie mondiale de l'accord sur le  climat signé en France ? L'enjeu est de taille car la lutte  climatique repose largement sur cette ...  "
5,2017-06-09,Libération,756mots,Sandra Laugier,Trump coupable comme nous tous,"    ...  de  Libération au lendemain du retrait de Trump de l'accord de Paris sur le  climat, a été un des grands exemples récents de l'ambition pédagogique de la culture populaire, même ...  "
6,2017-08-05,Libération,1479mots,Camille Gévaudan,"Venµs en orbite, l'étude du climat au zénith","    ...  le décollage, et la Planète bleue compte aujourd'hui un nouvel observateur de son changement  climatique. Un tout petit observateur, d'ailleurs : le caractère «µ» de l'acronyme Venµs rappelle qu'il ...  "
7,2017-06-26,Libération,349mots,Christian Losson,"Macron et le climat, un selfie ne suffira pas","    ...  Trump à l'issue de sa piteuse sortie de l'accord de Paris sur le  climat. En maître des horloges, Emmanuel Macron a le sens du timing. C'est ainsi qu'il ...  "
8,2017-06-03,Libération,815mots,Coralie Schaub,"Après Trump, le déluge","    ... 'annonce par Donald Trump d'un retrait américain de l'accord de Paris sur le  climat n'en a pas moins constitué un gigantesque choc. Qui provoque, depuis jeudi soir, un tsunami ...  "
9,2017-06-19,Libération,572mots,,COP 21 : les villes françaises s'engagent,"        ...  elles incarnent une nouvelle forme de diplomatie aux côtés des Etats, notamment sur le plan  climatique. En effet, audelà du consensus historique entre les Etats, c'est bien la mobilisation de ...  "
