,date,publication,words,author,title,intro
0,2022-11-05,Le Monde,3064mots,Audrey Garric,"Antonio Guterres, voix ardente pour le climat","    ...  climat sont devenues sa marque de fabrique. L’ «alerte rouge pour l’humanité» , le dérèglement  climatique qui atteint  « une portée destructrice inouïe»  ou la  «course contre la montre que l’on est ...  "
1,2022-11-10,Le Monde,1115mots,Carole Dieterich,"Après les inondations, le Pakistan demande des réparations","    ...  de gaz à effet de serre, est l’une des nations les plus vulnérables au  changement  climatique. Le premier ministre, Shehbaz Sharif, n’a pas manqué de le rappeler, lors de son ...  "
2,2022-11-21,Le Monde,1013mots,Irene Monasterolo,Irene Monasterolo Il devient urgent que la finance internationale fasse sa révolution,"    ... àdire l’écart entre la somme que nous devrions investir pour nous adapter au  changement  climatique et les montants réellement investis – ne cesse d’augmenter. Selon Climate Policy Initiative, une ONG ...  "
3,2022-11-16,Le Monde,1124mots,,Josef Aschbacher et Thomas Pesquet L’espace peut nous aider à relever les défis du climat,"        ...  plus de vingt jours, a vu se concrétiser trois des principaux risques associés au réchauffement  climatique : les dommages sur la santé humaine et les écosystèmes terrestres et marins, les pénuries d’eau ...  "
4,2022-11-19,Le Monde,1270mots,Audrey Garric,La COP achoppe sur les pertes et dommages,"    ...  COP27. Le dossier brûlant des « pertes et dommages », ces dégâts irréversibles causés par la crise  climatique, restait la pierre d’achoppement de la conférence mondiale sur le climat de Charm ElCheikh ...  "
5,2022-11-08,Le Monde,940mots,,"C’est maintenant ou jamais si nous voulons maintenir l’objectif de 1,5°C de réchauffement climatique","        La crise  climatique s’accélère et ses effets s’aggravent. La sécheresse en Europe, les récentes inondations au Pakistan, l’ouragan Ian dans les Caraïbes et en Floride et la famine dans ...  "
6,2022-11-21,Le Monde,1102mots,Rémi Barroux,Les sites classés sous la menace climatique,"    ...  les djihadistes qui menacent les monuments de cette ancienne capitale intellectuelle et spirituelle, mais le  changement  climatique et l’avancée du désert. Les tempêtes de sable, notamment, érodent les sites ancestraux construits ...  "
7,2022-09-10,Le Monde,948mots,,François Gemenne Le changement climatique est déjà un des premiers facteurs de migration,"        ... ’un plan national d’adaptation, pour améliorer la résilience du pays face aux impacts du  changement  climatique. Mais que peut l’adaptation face à des inondations qui touchent des dizaines de millions ...  "
8,2022-11-16,Le Monde,791mots,Lan Wei,Le changement climatique pourrait faire monter la haine en ligne,"    Le  changement des températures influence la quantité des discours de haine sur Twitter, c’est ce que révèle une étude parue le 1er septembre dans la revue The Lancet Planetary Health. Réalisée ...  "
9,2022-09-15,Le Monde,1202mots,Audrey Garric,L’ONU alerte sur le «chaos climatique» à venir,"    ... ’empirer, battant des records à une fréquence toujours plus alarmante. Sans mesures radicales, la crise  climatique sera de plus en plus dévastatrice, touchant en premier lieu les populations les plus vulnérables, prévient ...  "
10,2022-12-13,Le Monde,2192mots,Audrey Garric et Perrine Mouterde,Climat et biodiversité : deux crises liées,"    Cette bataille contre le dérèglement  climatique est de manière indissociable une bataille pour la biodiversité, et ces deux combats sont jumeaux. »  Lors de la COP27 pour le climat en Egypte début novembre ...  "
11,2022-10-28,Le Monde,1075mots,Delphine Roucaute,Les impacts du réchauffement climatique sur la santé humaine,"    ...  tous les pays du monde, meurent chaque année des conséquences directes et indirectes du réchauffement  climatique. Vagues de chaleur, fortes précipitations, feux de forêt, tempêtes et sécheresses: l’augmentation de la probabilité ...  "
12,2022-10-07,Le Monde,1099mots,Audrey Garric,Climat: la sécheresse de cet été liée au réchauffement,"    ...  été frappée par une sécheresse historique. Selon une étude publiée mercredi 5 octobre, le dérèglement  climatique d’origine humaine a rendu ces épisodes au moins vingt fois plus probables, réduisant les récoltes ...  "
13,2022-11-16,Le Monde,2096mots,Audrey Garric,"Climat : l’objectif de + 1,5 °C est-il obsolète ?","    L’objectif de contenir le réchauffement  climatique à 1,5 0C estil  « mort »  ? Dans une tribune publiée par le groupe de désobéissance civile Scientist Rebellion, fin octobre, plus de 1 000 ...  "
14,2022-11-05,Le Monde,1952mots,Audrey Garric,Une COP pour garder le climat au premier plan,    C’est un cruel paradoxe. Jamais l’action  climatique n’aura été si urgente qu’après cet été de catastrophes en cascade. La crise  climatique a frappé toutes les régions du monde ...  
15,2022-10-06,Le Monde,892mots,Claire Legros,Adaptation,    ...  avec et à s’y adapter. L’idée n’est pas nouvelle?: l’adaptation au  changement  climatique fait l’objet de nombreux travaux de recherche depuis vingt ans. Elle est aussi au ...  
16,2022-11-12,Le Monde,1180mots,,Rémy Rioux et Valérie Verdier Le Sud est une source de solutions face au dérèglement climatique,"        Urgence  climatique et érosion de la biodiversité. Loin d’être distincts, ces deux défis n’en forment qu’un : le  changement  climatique menace la biodiversité et des écosystèmes riches en biodiversité peuvent ...  "
17,2022-09-19,Le Monde,1052mots,Carole Dieterich,Le Pakistan pâtit d’infrastructures vétustes,"    ...  des émissions de gaz à effet de serre, attribue la lourdeur de ce bilan au  changement  climatique. Mais il a aussi été exacerbé par la présence de constructions en zones inondables, une ...  "
18,2022-11-21,Le Monde,808mots,Rishikesh Ram Bhandary,Rishikesh Ram Bhandary Trois missions pour les banques de développement,"    ...  En premier lieu, les BMD peuvent faire infiniment plus pour accroître l’ampleur du financement  climatique. Au début de l’été, le G20 a publié le rapport d’un panel indépendant concluant ...  "
19,2022-09-30,Le Monde,1058mots,Audrey Garric,Climat: le manque de financements dénoncé,"    ... Rappelant qu’il existe des  «écarts énormes»  entre l’action  climatique des Etats et ce qui serait nécessaire pour respecter l’accord de Paris, Wael Aboulmagd a exposé les attentes de l ...  "
20,2022-10-21,Le Monde,838mots,Propos recueillis par Au. G.,"«En2050, dépasser 30  0 C en octobre ne sera plus exceptionnel»",    ...  Cet épisode prolonge une année particulièrement chaude… On coche toutes les cases des effets du  changement  climatique?: la hausse de la fréquence des vagues de chaleur – on en est à la cinquième ...  
21,2022-09-22,Le Monde,880mots,Audrey Garric,Guterres plaide pour taxer les profits dans les énergies fossiles,"    ...  Etats riches à taxer ces profits pour les redistribuer aux pays victimes des conséquences du  changement  climatique et aux populations touchées par l’inflation. Les industriels du charbon, du pétrole et du ...  "
22,2022-12-22,Le Monde,1067mots,Isabelle Dellerba et Audrey Garric (à Paris),Le Vanuatu porte le climat devant la justice internationale,"    Recourir au droit pour pousser les gouvernements à agir face à la crise  climatique. C’est le pari lancé non pas par des ONG ou des citoyens, mais par dixhuit pays ...  "
23,2022-11-14,Le Monde,933mots,Laure Stephan,Joe Biden juge les efforts pour le climat « plus urgents que jamais »,"    ...  au pas de course, pour celui qui se présente comme un champion de la lutte  climatique : le président Joe Biden a passé trois heures en Egypte, vendredi 11 novembre, à la conférence ...  "
24,2022-11-05,Le Monde,1377mots,Audrey Garric,L’enjeu crucial des réparations financières,"    ...  de réduction des émissions de gaz à effet de serre ni par l’adaptation au  changement  climatique. Au Pakistan, où plus de 1700 personnes sont mortes et où la facture est ...  "
25,2022-10-22,Le Monde,1262mots,Propos recueillis par Audrey Garric (à Paris) Propos recueillis par Audrey Garric (à Paris) et Thomas Wieder,"«Face au réchauffement, chaque Etat doit sortir de sa zone de confort»","    Jennifer Morgan, secrétaire d’Etat et représentante spéciale pour la politique  climatique internationale auprès du ministère des affaires étrangères allemand, a effectué son premier déplacement officiel à Paris, jeudi 20 octobre. Dans ...  "
