,year,month,number
0,2013,1,3120
1,2013,2,3145
2,2013,3,3512
3,2013,4,3196
4,2013,5,3451
5,2013,6,3291
6,2013,7,2997
7,2013,8,2417
8,2013,9,3078
9,2013,10,3195
10,2013,11,3158
11,2013,12,2862
12,2014,1,2862
13,2014,2,2826
14,2014,3,3255
15,2014,4,3589
16,2014,5,5084
17,2014,6,4948
18,2014,7,4799
19,2014,8,4022
20,2014,9,5924
21,2014,10,8593
22,2014,11,7879
23,2014,12,3605
24,2015,1,3300
25,2015,2,3218
26,2015,3,3785
27,2015,4,3410
28,2015,5,3299
29,2015,6,3382
30,2015,7,3035
31,2015,8,2399
32,2015,9,3596
33,2015,10,3693
34,2015,11,3256
35,2015,12,3474
36,2016,1,3188
37,2016,2,3138
38,2016,3,3448
39,2016,4,3310
40,2016,5,3619
41,2016,6,3688
42,2016,7,3027
43,2016,8,2555
44,2016,9,3525
45,2016,10,3358
46,2016,11,3377
47,2016,12,3490
48,2017,1,3259
49,2017,2,3150
50,2017,3,3700
51,2017,4,3464
52,2017,5,3837
53,2017,6,3793
54,2017,7,2910
55,2017,8,2404
56,2017,9,3729
57,2017,10,3348
58,2017,11,3392
59,2017,12,3442
60,2018,1,3382
61,2018,2,3271
62,2018,3,3758
63,2018,4,3272
64,2018,5,3629
65,2018,6,3918
66,2018,7,2874
67,2018,8,2495
68,2018,9,3512
69,2018,10,3584
70,2018,11,3468
71,2018,12,3440
72,2019,1,4374
73,2019,2,3214
74,2019,3,3311
75,2019,4,2751
76,2019,5,2381
77,2019,6,2242
78,2019,7,2082
79,2019,8,1757
80,2019,9,2379
81,2019,10,2532
82,2019,11,2122
83,2019,12,2197
84,2020,1,2280
85,2020,2,2288
86,2020,3,2067
87,2020,4,1755
88,2020,5,1762
89,2020,6,2038
90,2020,7,1825
91,2020,8,1496
92,2020,9,2311
93,2020,10,2336
94,2020,11,1957
95,2020,12,2103
96,2021,1,2097
97,2021,2,2012
98,2021,3,2257
99,2021,4,2140
100,2021,5,2023
101,2021,6,2537
102,2021,7,2057
103,2021,8,1527
104,2021,9,2322
105,2021,10,2430
106,2021,11,2166
107,2021,12,2241
108,2022,1,2142
109,2022,2,2120
110,2022,3,2439
111,2022,4,2555
112,2022,5,2229
113,2022,6,2534
114,2022,7,1919
115,2022,8,1561
116,2022,9,2335
117,2022,10,2329
118,2022,11,2192
119,2022,12,2079
