,date,publication,words,author,title,intro
0,2022-11-05,Le Monde,3064mots,Audrey Garric,"Antonio Guterres, voix ardente pour le climat","    Les formules chocs sur le  climat sont devenues sa marque de fabrique. L’ «alerte rouge pour l’humanité» , le dérèglement climatique qui atteint  « une portée destructrice inouïe»  ou la  «course contre la ...  "
1,2022-11-05,Le Monde,1280mots,Mathilde Gérard,L’agriculture et l’alimentation oubliées,"    Achaque conférence mondiale sur le  climat, la critique est récurrente, émanant d’ONG, de scientifiques, et même d’institutions internationales?: dans les débats officiels, l’agriculture et l’alimentation sont reléguées au ...  "
2,2022-10-22,Le Monde,1262mots,Propos recueillis par Audrey Garric (à Paris) Propos recueillis par Audrey Garric (à Paris) et Thomas Wieder,"« Face au réchauffement, chaque Etat doit sortir de sa zone de confort »","    ...  qui rend plus difficile la lutte contre le changement climatique, avant la conférence mondiale sur le  climat (COP27), qui se tiendra, du 6 au 18 novembre, à Charm ElCheikh (Egypte).   ...  "
3,2022-10-28,Le Monde,1288mots,Audrey Garric,"Pour le climat, « une année gâchée »","    ...  un nouvel avertissement pour les gouvernements, à dix jours de la conférence mondiale sur le  climat (COP27), qui se tiendra du 6 au 18 novembre à CharmElCheikh, en Egypte. Malgré ...  "
4,2022-11-05,Le Monde,1952mots,Audrey Garric,Une COP pour garder le climat au premier plan,"    ...  temps, jamais le contexte géopolitique n’aura été aussi tendu, reléguant la bataille pour le  climat au second plan. Tandis que les crises énergétique, alimentaire, de l’inflation et de la dette ...  "
5,2022-11-17,Le Monde,1395mots,Audrey Garric,COP27 : des progrès ténus,"    Comme souvent à miparcours des conférences mondiales sur le  climat, le décalage est grand entre l’urgence climatique, martelée à longueur de discours, et la réalité des avancées. Après une semaine ...  "
6,2022-11-30,Le Monde,1535mots,Matthieu Goar,Macron et la ligne de crête de l’écologie,"    ...  ministériels, elle réapparaît depuis plusieurs mois, toujours en off, notamment lorsqu’il est question d’écologie et de  climat, un domaine sensible où de nombreux acteurs réclament des contraintes plus fortes.  ...  "
7,2022-11-15,Le Monde,2304mots,Véronique Richebois,Pub : une mue contre-nature,    ...  bateau et des millions de déchets de plus à retraiter ». Le cadre de la loi  Climat Depuis les années 1960 et la grande époque des publicitaires tels que décrits dans la série ...  
8,2022-10-15,Le Monde,1143mots,Audrey Garric,Le sursaut « fragile » des investissements pour le climat en France,"    ...  d’espoir et des motifs d’inquiétude, indique l’Institut de l’économie pour le  climat (I4CE) dans son panorama annuel, publié vendredi 14 octobre, en plein débat budgétaire. Le cercle de ...  "
9,2022-11-18,Le Monde,1081mots,Audrey Garric,COP27 : Lula promet un « leadership » sur le climat,"    ...  Brésil, a donné un discours digne d’une rockstar à la conférence mondiale sur le  climat de Charm ElCheikh (Egypte), mercredi 16 novembre. Accompagné jusqu’à l’estrade par Sameh Choukri ...  "
10,2022-11-24,Le Monde,1842mots,Cécile Boutelet,"Allemagne : Lützerath, un village au bord de la mine","    Alma, l’activiste du  climat qui nous accompagne, a grimpé la première. L’échelle de bois est raide et branlante, le premier étage est à 4 mètres de hauteur. Pour monter à ...  "
11,2022-11-05,Le Monde,1611mots,Texte Anne-Françoise Hivert,"En Suède, l'extrême retournement d'une jeune libérale.","    ...  la présentation du nouveau gouvernement. À la surprise générale, Romina Pourmokhtari est nommée ministre du  climat et de l'environnement et devient ainsi, à 26 ans, la plus jeune ministre de l ...  "
12,2022-11-18,Le Monde,927mots,Perrine Mouterde,La COP15 biodiversité en quête de soutien,"    ...  réchauffement climatique passe aussi par la protection de la nature. Depuis la COP27 sur le  climat, qui se poursuit à Charm ElCheikh en Egypte, les appels à faire de la COP15 ...  "
13,2022-11-09,Le Monde,999mots,Audrey Garric (à Paris) et L. S.,Macron plaide pour une réforme des financements pour le climat,"    ...  du poids pour porter cette réforme systémique des institutions financières,  réagit Lola Vallejo, la directrice  climat de l’Institut du développement durable et des relations internationales.  Cela répond à la demande du ...  "
14,2022-10-14,Le Monde,746mots,Perrine Mouterde,"Le réchauffement climatique, une menace majeure et croissante","    ...  moyenne en moins de cinquante ans. Selon les spécialistes mondiaux de la biodiversité et du  climat, qui ont publié un document conjoint en juin 2021, l’impact du dérèglement climatique devrait surpasser ...  "
15,2022-10-24,Le Monde,864mots,Rémi Barroux,Le Conseil national de la refondation va devoir prouver son utilité,"    ...  incarner et expliquer quelles seront les missions du Conseil national de la refondation (CNR) version  «climat et biodiversité» , lancé vendredi 21 octobre dans les locaux de La Recyclerie, dans le 18e arrondissement ...  "
16,2022-11-05,Le Monde,1377mots,Audrey Garric,L’enjeu crucial des réparations financières,"    ...  le réchauffement s’impose actuellement comme le sujet le plus brûlant des négociations sur le  climat. Ce dossier, appelé «pertes et dommages», est devenu une ligne rouge pour de nombreux Etats en ...  "
17,2022-11-10,Le Monde,729mots,Laure Stephan,La Barbade plaide pour une nouvelle relation Nord-Sud sur le climat,"    ... ’agenda pour la première fois dans l’histoire des conférences de l’ONU sur le  climat. Pendant des années, Européens et Occidentaux n’ont pas voulu entendre parler de réparations. En amont ...  "
18,2022-11-22,Le Monde,998mots,Mathilde Gérard,COP27 : peu d’avancées sur l’agriculture et l’alimentation,"    La présidence égyptienne de la 27e conférence mondiale pour le  climat (COP27) s’était engagée à accorder aux questions agricoles et alimentaires une place plus centrale. Jusqu’à présent, ce secteur, qui ...  "
19,2022-10-08,Le Monde,1359mots,Matthieu Goar,Macron cherche sa planification écologique,"    ...  se pencher sur six thèmes, en reprenant les sujets de la convention citoyenne pour le  climat (se nourrir, se loger, travailler, se déplacer, consommer) et en en ajoutant un, la préservation des ...  "
20,2022-11-19,Le Monde,1168mots,Julie Carriat et Sandrine Cassini,Les écologistes ne convainquent pas la jeunesse militante,    ...  main au bitume… chaque jour appelle une nouvelle action directe de jeunes militants pour le  climat en Europe et audelà. Si les jeunes et l’écologie occupent le débat public et ...  
21,2022-10-07,Le Monde,1099mots,Audrey Garric,Climat : la sécheresse de cet été liée au réchauffement,"    ...  modèles associés à des observations de terrain, les climatologues ont comparé cette situation, dans un  climat réchauffé de 1,2 °C, avec le  climat du passé. L’équipe conclut que le changement ...  "
22,2022-10-21,Le Monde,1034mots,Audrey Garric,Climat : un réchauffement aggravé en France,"    ...  mais de tels niveaux de réchauffement ne peuvent être exclus, en cas d’emballement du  climat lié à des événements tels qu’un fort relargage de méthane par la fonte du pergélisol ...  "
23,2022-10-25,Le Monde,996mots,Perrine Mouterde,Le rôle des forêts pour le climat sous-estimé,"    ...  sont encore plus importantes que les décideurs ne le pensent habituellement pour la régulation du  climat: audelà du cycle du carbone, elles ont des effets sur les températures et les précipitations ...  "
24,2022-11-05,Le Monde,1894mots,Laurence Caramel,L’Afrique ne veut pas sacrifier son développement,"    Le développement de l’Afrique doitil, encore, attendre que l’on sauve le  climat?? A force de promesses non tenues et de double langage, les discours sur la transition vers un ...  "
25,2022-11-05,Le Monde,992mots,Arnaud Leparmentier,"Le plan climat américain jugé ambitieux, mais protectionniste","    ...  fut d’abord le retour des EtatsUnis dans l’accord de Paris sur le  climat, le soir de son installation à la Maison Blanche, en janvier 2021. C’est surtout son ...  "
26,2022-11-19,Le Monde,940mots,,"Yves Contassot Pour la rénovation énergétique, utilisons le bras armé financier de l’Etat","        ...  villes comme Paris qui s’engagent fortement, avec l’appui de l’Agence parisienne du  climat et la Métropole du Grand Paris, ne parviennent pas à massifier les rénovations. Les raisons sont ...  "
27,2022-12-01,Le Monde,1904mots,Adrien Sénécat,La grande tromperie des fonds d’investissement « verts »,"    ...  Money ,  Le Monde  a découvert que la plupart des acteurs financiers qui promettent à leurs investisseurs de mettre leur épargne au service du  climat financent en réalité toujours des entreprises polluantes.  ...  "
28,2022-11-16,Le Monde,1173mots,Matthieu Goar,"Entre Macron et la jeunesse, le grand froid","    ... ’Elysée a publié sur de nombreux réseaux sociaux une vidéo d’Emmanuel Macron sur le  climat. Parmi les plus de 28 000 questions posées, le président de la République et son équipe ...  "
29,2022-11-28,Le Monde,653mots,Anne-Françoise Hivert,Climat : 636 jeunes Suédois portent plainte,"    ...  l’homme » contre l’Etat, qu’ils accusent de ne pas faire assez pour le  climat. Inédite par son ampleur, cette action en justice intervient alors que le nouveau gouvernement suédois, composé ...  "
30,2022-11-05,Le Monde,407mots,Audrey Garric,Climat : un sommet entre ambition et fatalisme,"    Si la conférence mondiale sur le  climat prend cette année pour décor une cité balnéaire paradisiaque, elle se déroule en réalité avec de multiples crises en toile de fond. A la COP27 ...  "
31,2022-11-08,Le Monde,1030mots,,Morgane Créach Notre système de transport doit rompre radicalement avec les habitudes du passé,"        ... ’un plan global pour une transition organisée et cohérente, bénéfique à la fois pour le  climat et la justice sociale, les finances publiques et les emplois. Cette planification doit agir sur plusieurs ...  "
32,2022-11-08,Le Monde,940mots,,"C’est maintenant ou jamais si nous voulons maintenir l’objectif de 1,5 °C de réchauffement climatique","        ...  de mettre en œuvre l’accord de Paris et le pacte de Glasgow pour le  climat. Nous ne pouvons plus attendre. Pour y parvenir, nous devons nous unir autour de quatre priorités ...  "
33,2022-10-13,Le Monde,1010mots,Rémi Barroux,Ecologie : les zones d’ombre du « budget vert »,"    ...  lesquels la communication est plus périlleuse. Les dépenses «brunes», défavorables à l’environnement et au  climat, sont, elles,  «globalement stabilisées» , précise le communiqué du ministère de l’économie et des finances. Elles ...  "
34,2022-11-22,Le Monde,1881mots,Audrey Garric,"COP : un accord minimal, loin de l’urgence","    ...  l’avance ni le nombre d’actes ni le registre. La conférence mondiale sur le  climat (COP27), qui s’est tenue avec pour toile de fond la station balnéaire de Charm El ...  "
35,2022-11-22,Le Monde,877mots,propos recueillis par Lan Wei,La sortie des énergies fossiles « reste désespérément taboue »,"    Evénement crucial pour le  climat, la 27e conférence des parties (COP), organisée par l’ONU, s’est tenue du 6 au 20 novembre à Charm ElCheikh, en Egypte. Aurore Mathieu, responsable ...  "
36,2022-11-14,Le Monde,933mots,Laure Stephan,Joe Biden juge les efforts pour le climat « plus urgents que jamais »,"    ...  a passé trois heures en Egypte, vendredi 11 novembre, à la conférence mondiale sur le  climat qui se tient à Charm ElCheikh, avant de s’envoler vers l’Asie, où il ...  "
