number_volume,number_issue,article_quant,article_one_quant,article_one_share,article_judge_quant,article_judge_share,year,period,name_book_len_mean,name_book_len_std,page_start,page_end,page_start_mod,page_end_mod,page_quant_1,page_quant_2,page_quant_mean,page_quant_std,page_quant_min,page_quant_max,author_number_mean,author_number_std,author_number_min,author_number_max,theme,special_1
1,1,7,5,0.7142857142857143,1,0.14285714285714285,1999,1999-1,44.714285714285715,24.95806005892209,1,131,1,131,131,129,18.428571428571427,7.138093649734567,7,26,1.8571428571428568,1.8644544714716087,1,6,,0
1,2,7,6,0.8571428571428571,2,0.2857142857142857,1999,1999-2,37.0,18.814887722226786,133,318,133,318,186,183,26.142857142857146,11.334733807028305,6,43,2.7142857142857144,4.535573676110727,1,13,,0
1,3,6,3,0.5,2,0.3333333333333333,1999,1999-3,45.66666666666666,43.070484866862905,319,499,319,499,181,180,30.0,13.870832707519762,3,40,2.833333333333333,4.535048695071164,0,12,,0
2,1,6,2,0.3333333333333333,0,0.0,2000,2000-1,25.66666666666667,11.944315244779274,1,108,1,108,108,110,18.33333333333333,9.500877152487904,2,28,1.3333333333333333,0.8164965809277259,0,2,,0
2,2,5,3,0.6,0,0.0,2000,2000-2,34.0,23.227139298673873,113,238,113,238,126,124,24.8,2.7748873851023217,22,28,1.0,0.7071067811865476,0,2,,0
2,3,5,3,0.6,1,0.2,2000,2000-3,61.8,33.108911187171344,243,389,243,389,147,145,29.0,5.873670062235365,24,39,1.0,0.7071067811865476,0,2,,0
2,4,8,4,0.5,0,0.0,2000,2000-4,69.5,41.65847538531111,397,563,397,563,167,166,20.75,10.430039035675481,1,34,1.25,1.2817398889233116,0,4,,0
3,1,7,5,0.7142857142857143,0,0.0,2001,2001-1,46.714285714285715,37.16052693254984,1,130,1,130,130,134,19.142857142857142,6.542898731412842,6,27,1.0,0.5773502691896257,0,2,,0
3,2,5,3,0.6,0,0.0,2001,2001-2,69.2,41.11812252523211,135,256,135,256,122,121,24.2,8.07465169527454,12,32,1.0,0.7071067811865476,0,2,,0
3,3,5,4,0.8,0,0.0,2001,2001-3,78.6,45.390527646195075,261,381,261,381,121,119,23.8,8.927485648266257,9,33,0.8,0.4472135954999579,0,1,,0
3,4,6,4,0.6666666666666666,0,0.0,2001,2001-4,77.83333333333333,39.422920575049574,387,538,387,538,152,148,24.66666666666667,6.408327915038887,14,33,1.3333333333333333,1.3662601021279464,0,4,,0
4,1,6,2,0.3333333333333333,0,0.0,2002,2002-1,59.66666666666666,28.83516371839541,1,156,1,156,156,155,25.83333333333333,5.7416606192517765,16,34,1.8333333333333333,1.4719601443879746,0,4,,0
4,2,4,0,0.0,0,0.0,2002,2002-2,93.0,21.57158624981792,161,260,161,260,100,98,24.5,1.2909944487358056,23,26,2.5,0.5773502691896257,2,3,,0
4,3,3,2,0.6666666666666666,0,0.0,2002,2002-3,55.33333333333334,42.66536456346451,265,329,265,329,65,65,21.66666666666667,1.5275252316519463,20,23,1.3333333333333333,0.5773502691896258,1,2,,0
4,4,5,2,0.4,0,0.0,2002,2002-4,65.4,49.21686702747342,331,424,331,424,94,93,18.6,9.208691546577072,6,27,1.2,0.8366600265340756,0,2,,0
5,1,3,1,0.3333333333333333,1,0.3333333333333333,2003,2003-1,71.33333333333333,17.243356208503418,1,90,1,90,90,90,30.0,7.211102550927977,22,36,1.3333333333333333,1.5275252316519468,0,3,,0
5,2,5,1,0.2,1,0.2,2003,2003-2,43.2,22.55437873229941,93,231,93,231,139,135,27.0,14.560219778561034,5,45,1.6,1.1401754250991378,0,3,,0
5,3,5,2,0.4,0,0.0,2003,2003-3,69.2,35.63285001231308,235,345,235,345,111,110,22.0,4.847679857416329,18,30,1.2,0.8366600265340756,0,2,,0
5,4,6,5,0.8333333333333334,0,0.0,2003,2003-4,65.16666666666667,21.92183082378537,349,463,349,463,115,111,18.5,7.893034904268446,3,25,1.1666666666666667,0.40824829046386296,1,2,,0
6,1,6,2,0.3333333333333333,1,0.16666666666666666,2004,2004-1,98.5,33.53058305487693,1,117,1,117,117,115,19.166666666666668,8.183316361150085,3,26,1.8333333333333333,0.7527726527090809,1,3,,0
6,2,10,6,0.6,2,0.2,2004,2004-2,71.2,49.240453107401656,119,260,119,260,142,138,13.8,10.19585972616118,2,32,1.2,0.6324555320336759,0,2,,0
6,3,7,4,0.5714285714285714,0,0.0,2004,2004-3,40.857142857142854,29.974592415514017,263,412,263,412,150,149,21.285714285714285,13.499559075691893,2,36,1.4285714285714286,0.5345224838248488,1,2,,0
6,4,6,0,0.0,0,0.0,2004,2004-4,28.16666666666667,18.443607745413228,421,534,421,534,114,111,18.5,9.481561052906848,1,25,1.8333333333333333,0.983192080250175,0,3,,0
7,1,9,2,0.2222222222222222,0,0.0,2005,2005-1,49.77777777777778,33.666666666666664,1,193,1,193,193,189,21.0,9.643650760992957,2,29,2.2222222222222223,2.2236106773543893,0,7,,0
7,2,8,6,0.75,0,0.0,2005,2005-2,41.5,18.761663039293715,195,375,195,375,181,178,22.25,12.209481093454732,2,35,1.0,0.5345224838248488,0,2,,0
7,3,6,3,0.5,0,0.0,2005,2005-3,57.0,38.884444190447155,377,509,377,509,133,131,21.83333333333333,10.381072520056234,2,29,0.8333333333333334,0.7527726527090809,0,2,,0
7,4,5,3,0.6,0,0.0,2005,2005-4,77.0,75.10326224605694,511,613,511,613,103,102,20.4,12.461942063739505,1,34,0.6,0.5477225575051662,0,1,,0
8,1,9,4,0.4444444444444444,2,0.2222222222222222,2006,2006-1,75.1111111111111,39.60885142378041,1,211,1,211,211,207,23.0,8.74642784226795,2,31,1.2222222222222223,0.97182531580755,0,3,,0
